# s  W0^2        W2^2        W4^2        W6^2        W8^2
3.000000000000000000e+00 6.859494946097923762e-01 1.798515675446496140e-02 3.239096648441788795e-02 3.205056492794196472e-03 3.231619686168136357e-02
3.002159473936182543e+00 6.859257453269546057e-01 1.796707426015997297e-02 3.238658643858541991e-02 3.219431968458340895e-03 3.225873516719873074e-02
3.004320502314925534e+00 6.859020026057243147e-01 1.794902948348273131e-02 3.238217853866153656e-02 3.233776926122170544e-03 3.220138294799231027e-02
3.006483086255154813e+00 6.858782664354108327e-01 1.793102239911040924e-02 3.237774281821634986e-02 3.248091390525377920e-03 3.214414010728471049e-02
3.008647226876601799e+00 6.858545368053233782e-01 1.791305298172017960e-02 3.237327931081999260e-02 3.262375386407671135e-03 3.208700654829851895e-02
3.010812925299804377e+00 6.858308137047703923e-01 1.789512120598918399e-02 3.236878805004256981e-02 3.276628938508752663e-03 3.202998217425628846e-02
3.012980182646106453e+00 6.858070971230613155e-01 1.787722704659461953e-02 3.236426906945419346e-02 3.290852071568317605e-03 3.197306688838067595e-02
3.015149000037659732e+00 6.857833870495051443e-01 1.785937047821363824e-02 3.235972240262498939e-02 3.305044810326075808e-03 3.191626059389420650e-02
3.017319378597422386e+00 6.857596834734106528e-01 1.784155147552339560e-02 3.235514808312506957e-02 3.319207179521723242e-03 3.185956319401950232e-02
3.019491319449162159e+00 6.857359863840871705e-01 1.782377001320108179e-02 3.235054614452455291e-02 3.333339203894958042e-03 3.180297459197916482e-02
3.021664823717455484e+00 6.857122957708434718e-01 1.780602606592384882e-02 3.234591662039355831e-02 3.347440908185490491e-03 3.174649469099576071e-02
3.023839892527687923e+00 6.856886116229882200e-01 1.778831960836886258e-02 3.234125954430219080e-02 3.361512317133012219e-03 3.169012339429189140e-02
3.026016527006055501e+00 6.856649339298314105e-01 1.777065061521329939e-02 3.233657494982058317e-02 3.375553455477235242e-03 3.163386060509015135e-02
3.028194728279564707e+00 6.856412626806811517e-01 1.775301906113430778e-02 3.233186287051883351e-02 3.389564347957849458e-03 3.157770622661310728e-02
3.030374497476032936e+00 6.856175978648467728e-01 1.773542492080907099e-02 3.232712333996707460e-02 3.403545019314567748e-03 3.152166016208337446e-02
3.032555835724090265e+00 6.855939394716373814e-01 1.771786816891474797e-02 3.232235639173542535e-02 3.417495494287081312e-03 3.146572231472354736e-02
3.034738744153178125e+00 6.855702874903615296e-01 1.770034878012850463e-02 3.231756205939397691e-02 3.431415797615100863e-03 3.140989258775616494e-02
3.036923223893551960e+00 6.855466419103289910e-01 1.768286672912751031e-02 3.231274037651287595e-02 3.445305954038319334e-03 3.135417088440387717e-02
3.039109276076280786e+00 6.855230027208482069e-01 1.766542199058892745e-02 3.230789137666221361e-02 3.459165988296446139e-03 3.129855710788924383e-02
3.041296901833246746e+00 6.854993699112281735e-01 1.764801453918991847e-02 3.230301509341211574e-02 3.472995925129179415e-03 3.124305116143485592e-02
3.043486102297147333e+00 6.854757434707783315e-01 1.763064434960766660e-02 3.229811156033270125e-02 3.486795789276214697e-03 3.118765294826332177e-02
3.045676878601494941e+00 6.854521233888073439e-01 1.761331139651933081e-02 3.229318081099409599e-02 3.500565605477259663e-03 3.113236237159722544e-02
3.047869231880619534e+00 6.854285096546242073e-01 1.759601565460207004e-02 3.228822287896640497e-02 3.514305398472014185e-03 3.107717933465914059e-02
3.050063163269665978e+00 6.854049022575379180e-01 1.757875709853304325e-02 3.228323779781973324e-02 3.528015193000184641e-03 3.102210374067164433e-02
3.052258673904596264e+00 6.853813011868580274e-01 1.756153570298944408e-02 3.227822560112422745e-02 3.541695013801465265e-03 3.096713549285738665e-02
