# s Q0 Q2 Q4 Q6 Q8 Q10 Q12
3.009187059999999914e+00 7.360582074626345062e-01 2.221493829281039750e-02 4.721805117241118649e-02 5.131022966009957630e-03 4.225683408653065076e-02 -1.217238211146800565e-02 3.635770385597698190e-02
3.011299873815032058e+00 7.360230556326066154e-01 2.221120964225340236e-02 4.720745262085118688e-02 5.131518876026881087e-03 4.224371624123742647e-02 -1.216117480892888250e-02 3.640813061226590153e-02
3.013414171081284731e+00 7.359879991169192559e-01 2.220753725386138619e-02 4.719653684200027927e-02 5.131944047686267524e-03 4.223062644524670783e-02 -1.214986128502426946e-02 3.645773487823335962e-02
3.015529952840320771e+00 7.359530374547418319e-01 2.220392038606790186e-02 4.718530595098135993e-02 5.132299122502655478e-03 4.221756422020438854e-02 -1.213844201496453584e-02 3.650652095440868466e-02
3.017647220134433095e+00 7.359181701852439694e-01 2.220035829730649182e-02 4.717376206291729740e-02 5.132584741990580020e-03 4.220452908775634143e-02 -1.212691747396004056e-02 3.655449314132115657e-02
3.019765974006647813e+00 7.358833968475951837e-01 2.219685024601068465e-02 4.716190729293094630e-02 5.132801547664577087e-03 4.219152056954843938e-02 -1.211528813722114947e-02 3.660165573950016626e-02
3.021886215500722450e+00 7.358487169809647677e-01 2.219339549061402628e-02 4.714974375614516128e-02 5.132950181039176545e-03 4.217853818722654136e-02 -1.210355447995822148e-02 3.664801304947496591e-02
3.024007945661148611e+00 7.358141301245221255e-01 2.218999328955004874e-02 4.713727356768282473e-02 5.133031283628922137e-03 4.216558146243654798e-02 -1.209171697738161896e-02 3.669356937177493255e-02
3.026131165533149314e+00 7.357796358174369944e-01 2.218664290125230143e-02 4.712449884266678435e-02 5.133045496948344596e-03 4.215264991682432516e-02 -1.207977610470169910e-02 3.673832900692937387e-02
3.028255876162682991e+00 7.357452335988785563e-01 2.218334358415432334e-02 4.711142169621991560e-02 5.132993462511978994e-03 4.213974307203575270e-02 -1.206773233712883468e-02 3.678229625546758363e-02
3.030382078596442597e+00 7.357109230080166595e-01 2.218009459668964650e-02 4.709804424346508700e-02 5.132875821834362133e-03 4.212686044971671040e-02 -1.205558614987337594e-02 3.682547541791891116e-02
3.032509773881854276e+00 7.356767035840204860e-01 2.217689519729181685e-02 4.708436859952515319e-02 5.132693216430030819e-03 4.211400157151307111e-02 -1.204333801814569914e-02 3.686787079481267104e-02
3.034638963067081363e+00 7.356425748660595509e-01 2.217374464439436643e-02 4.707039687952298268e-02 5.132446287813518387e-03 4.210116595907070769e-02 -1.203098841715614931e-02 3.690948668667820565e-02
3.036769647201022604e+00 7.356085363933032584e-01 2.217064219643084463e-02 4.705613119858143012e-02 5.132135677499359908e-03 4.208835313403550688e-02 -1.201853782211510097e-02 3.695032739404480876e-02
3.038901827333312600e+00 7.355745877049213455e-01 2.216758711183478350e-02 4.704157367182338484e-02 5.131762027002093052e-03 4.207556261805333458e-02 -1.200598670823291650e-02 3.699039721744179499e-02
3.041035504514324028e+00 7.355407283400831053e-01 2.216457864903972896e-02 4.702672641437168760e-02 5.131325977836252890e-03 4.206279393277008449e-02 -1.199333555071995135e-02 3.702970045739852750e-02
3.043170679795165867e+00 7.355069578379580530e-01 2.216161606647921653e-02 4.701159154134922080e-02 5.130828171516374492e-03 4.205004659983161558e-02 -1.198058482478657136e-02 3.706824141444431397e-02
3.045307354227685170e+00 7.354732757377155927e-01 2.215869862258678172e-02 4.699617116787884602e-02 5.130269249556991193e-03 4.203732014088381458e-02 -1.196773500564314065e-02 3.710602438910842737e-02
3.047445528864469733e+00 7.354396815785253505e-01 2.215582557579597739e-02 4.698046740908341096e-02 5.129649853472642400e-03 4.202461407757254741e-02 -1.195478656850001292e-02 3.714305368192027251e-02
3.049585204758843204e+00 7.354061748995568415e-01 2.215299618454033212e-02 4.696448238008580495e-02 5.128970624777860580e-03 4.201192793154370775e-02 -1.194173998856755750e-02 3.717933359340912930e-02
3.051726382964870865e+00 7.353727552399791367e-01 2.215020970725338489e-02 4.694821819600886181e-02 5.128232204987181672e-03 4.199926122444314763e-02 -1.192859574105613156e-02 3.721486842410431234e-02
3.053869064537356959e+00 7.353394221389619734e-01 2.214746540236868164e-02 4.693167697197547783e-02 5.127435235615142479e-03 4.198661347791678156e-02 -1.191535430117610442e-02 3.724966247453515011e-02
3.056013250531847358e+00 7.353061751356750886e-01 2.214476252831976133e-02 4.691486082310852151e-02 5.126580358176278940e-03 4.197398421361045462e-02 -1.190201614413783672e-02 3.728372004523096417e-02
3.058158942004628233e+00 7.352730137692873313e-01 2.214210034354015602e-02 4.689777186453080587e-02 5.125668214185123521e-03 4.196137295317003968e-02 -1.188858174515168044e-02 3.731704543672108992e-02
3.060306140012728271e+00 7.352399375789688829e-01 2.213947810646341857e-02 4.688041221136526188e-02 5.124699445156213895e-03 4.194877921824144429e-02 -1.187505157942800836e-02 3.734964294953485586e-02
3.062454845613916898e+00 7.352069461038888143e-01 2.213689507552307062e-02 4.686278397873470253e-02 5.123674692604085132e-03 4.193620253047052049e-02 -1.186142612217718460e-02 3.738151688420154189e-02
3.064605059866707393e+00 7.351740388832164186e-01 2.213435050915266503e-02 4.684488928176202410e-02 5.122594598043271434e-03 4.192364241150314808e-02 -1.184770584860955593e-02 3.741267154125051120e-02
3.066756783830356436e+00 7.351412154561216550e-01 2.213184366578574078e-02 4.682673023557007430e-02 5.121459802988312209e-03 4.191109838298520684e-02 -1.183389123393550034e-02 3.744311122121107838e-02
3.068910018564863229e+00 7.351084753617737055e-01 2.212937380385583339e-02 4.680830895528172858e-02 5.120270948953737321e-03 4.189856996656258353e-02 -1.181998275336537674e-02 3.747284022461255110e-02
3.071064765130972152e+00 7.350758181393421964e-01 2.212694018179648878e-02 4.678962755601984158e-02 5.119028677454087913e-03 4.188605668388115794e-02 -1.180598088210954057e-02 3.750186285198426478e-02
3.073221024590171879e+00 7.350432433279963096e-01 2.212454205804123553e-02 4.677068815290728876e-02 5.117733630003895584e-03 4.187355805658676822e-02 -1.179188609537836115e-02 3.753018340385553403e-02
3.075378798004697156e+00 7.350107504669058933e-01 2.212217869102362303e-02 4.675149286106692476e-02 5.116386448117697140e-03 4.186107360632534274e-02 -1.177769886838219218e-02 3.755780618075569427e-02
