# s Q0 Q2 Q4 Q6 Q8 Q10 Q12
3.009187059999999914e+00 6.611409826190156602e-01 1.755724837493416457e-02 2.541620881401687043e-02 -1.141848334731458475e-03 2.375336998611149442e-02 -8.549061108252426280e-03 2.559631676689929844e-02
3.011299873815032058e+00 6.611164917223655291e-01 1.755664478232141917e-02 2.540348707448632226e-02 -1.153626706401932869e-03 2.382426475198070812e-02 -8.517196970577605580e-03 2.559155755522477330e-02
3.013414171081284731e+00 6.610919986421427419e-01 1.755622360937668380e-02 2.539096882655245482e-02 -1.164973907207726830e-03 2.389421837266708301e-02 -8.485631935139062096e-03 2.558663262463829052e-02
3.015529952840320771e+00 6.610675035308497538e-01 1.755598332685100876e-02 2.537865261767628666e-02 -1.175892823293118138e-03 2.396323595578925617e-02 -8.454364013068951106e-03 2.558154296977490152e-02
3.017647220134433095e+00 6.610430065409891309e-01 1.755592240549542354e-02 2.536653699531883979e-02 -1.186386340802384138e-03 2.403132260896585770e-02 -8.423391215499427889e-03 2.557628958526963689e-02
3.019765974006647813e+00 6.610185078250628843e-01 1.755603931606097151e-02 2.535462050694110847e-02 -1.196457345879812367e-03 2.409848343981558019e-02 -8.392711553562619969e-03 2.557087346575752720e-02
3.021886215500722450e+00 6.609940075355729139e-01 1.755633252929868909e-02 2.534290170000410083e-02 -1.206108724669676703e-03 2.416472355595702601e-02 -8.362323038390684360e-03 2.556529560587360653e-02
3.024007945661148611e+00 6.609695058250218969e-01 1.755680051595961619e-02 2.533137912196882849e-02 -1.215343363316265116e-03 2.423004806500889119e-02 -8.332223681115757258e-03 2.555955700025290198e-02
3.026131165533149314e+00 6.609450028459119553e-01 1.755744174679477881e-02 2.532005132029629957e-02 -1.224164147963854301e-03 2.429446207458980933e-02 -8.302411492869983534e-03 2.555365864353045802e-02
3.028255876162682991e+00 6.609204987507454332e-01 1.755825469255522728e-02 2.530891684244752915e-02 -1.232573964756723123e-03 2.435797069231840362e-02 -8.272884484785518466e-03 2.554760153034130177e-02
3.030382078596442597e+00 6.608959936920243416e-01 1.755923782399199801e-02 2.529797423588351843e-02 -1.240575699839157600e-03 2.442057902581337009e-02 -8.243640667994494783e-03 2.554138665532047422e-02
3.032509773881854276e+00 6.608714878222511357e-01 1.756038961185612743e-02 2.528722204806527901e-02 -1.248172239355433560e-03 2.448229218269332846e-02 -8.214678053629069499e-03 2.553501501310300945e-02
3.034638963067081363e+00 6.608469812939281596e-01 1.756170852689864850e-02 2.527665882645381557e-02 -1.255366469449836373e-03 2.454311527057695050e-02 -8.185994652821371870e-03 2.552848759832392414e-02
3.036769647201022604e+00 6.608224742595574241e-01 1.756319303987060113e-02 2.526628311851014663e-02 -1.262161276266644903e-03 2.460305339708288713e-02 -8.157588476703555441e-03 2.552180540561826624e-02
3.038901827333312600e+00 6.607979668716413846e-01 1.756484162152302519e-02 2.525609347169527341e-02 -1.268559545950137795e-03 2.466211166982975114e-02 -8.129457536407773757e-03 2.551496942962107328e-02
3.041035504514324028e+00 6.607734592826822739e-01 1.756665274260696755e-02 2.524608843347021098e-02 -1.274564164644599769e-03 2.472029519643625245e-02 -8.101599843066152606e-03 2.550798066496737238e-02
