# s Q0 Q2 Q4 Q6 Q8 Q10 Q12
3.009187059999999914e+00 8.566944166338917865e-01 4.453278588214383202e-03 1.059149012180959741e-02 7.950874170433381086e-03 9.139376654573228356e-03 2.813600725929112697e-03 3.162188623687636063e-03
3.011299873815032058e+00 8.566757490633458705e-01 4.460117116716080798e-03 1.060290593259965650e-02 7.944904069731062099e-03 9.144711112053094046e-03 2.821037401066459754e-03 3.178462153564314864e-03
3.013414171081284731e+00 8.566571840051002695e-01 4.466792617708107566e-03 1.061390599434264281e-02 7.938607932781383686e-03 9.150158744299530245e-03 2.828552364225233543e-03 3.194585810534535976e-03
3.015529952840320771e+00 8.566387208034059730e-01 4.473306179501997278e-03 1.062449314397689686e-02 7.931988507883928549e-03 9.155718374649079311e-03 2.836144645750924165e-03 3.210560380198914775e-03
3.017647220134433095e+00 8.566203588025133042e-01 4.479658890409281106e-03 1.063467021844076259e-02 7.925048543338284596e-03 9.161388826438276664e-03 2.843813275989023892e-03 3.226386648158067940e-03
3.019765974006647813e+00 8.566020973466729194e-01 4.485851838741499766e-03 1.064444005467259091e-02 7.917790787444017181e-03 9.167168923003671602e-03 2.851557285285030632e-03 3.242065400012625158e-03
3.021886215500722450e+00 8.565839357801351417e-01 4.491886112810180957e-03 1.065380548961071712e-02 7.910217988500719416e-03 9.173057487681799543e-03 2.859375703984431451e-03 3.257597421363196601e-03
3.024007945661148611e+00 8.565658734471508495e-01 4.497762800926865395e-03 1.066276936019349732e-02 7.902332894807958391e-03 9.179053343809204582e-03 2.867267562432725125e-03 3.272983497810414560e-03
3.026131165533149314e+00 8.565479096919704771e-01 4.503482991403085986e-03 1.067133450335926853e-02 7.894138254665322013e-03 9.185155314722430811e-03 2.875231890975402625e-03 3.288224414954893544e-03
3.028255876162682991e+00 8.565300438588443477e-01 4.509047772550373902e-03 1.067950375604637472e-02 7.885636816372392985e-03 9.191362223758011915e-03 2.883267719957953185e-03 3.303320958397249364e-03
3.030382078596442597e+00 8.565122752920233395e-01 4.514458232680268988e-03 1.068727995519317027e-02 7.876831328228743601e-03 9.197672894252497192e-03 2.891374079725876883e-03 3.318273913738113440e-03
