# s Q0 Q2 Q4 Q6 Q8 Q10 Q12
3.009187059999999914e+00 8.313798838914199241e-01 7.887913047280899551e-03 1.516231322746418829e-02 7.927012029998662182e-03 1.188625378787360951e-02 -6.561018530029631354e-03 5.488689791445671741e-03
3.011299873815032058e+00 8.313560460792451812e-01 7.863903130016102264e-03 1.515033373564784666e-02 7.909775832964538456e-03 1.188038067154254494e-02 -6.534640774400416602e-03 5.512384222688746296e-03
3.013414171081284731e+00 8.313322664567700526e-01 7.840397309458312092e-03 1.513824696175934507e-02 7.892910311560825259e-03 1.187477701695763624e-02 -6.508403322393955560e-03 5.536352559872958351e-03
3.015529952840320771e+00 8.313085448140452582e-01 7.817392208105157503e-03 1.512605391183049347e-02 7.876412511956067120e-03 1.186944050009515993e-02 -6.482305536534152882e-03 5.560591633687426462e-03
3.017647220134433095e+00 8.312848809411217399e-01 7.794884448454275638e-03 1.511375559189309659e-02 7.860279480318801623e-03 1.186436879693138040e-02 -6.456346779344914952e-03 5.585098274821270053e-03
3.019765974006647813e+00 8.312612746280498843e-01 7.772870653003278486e-03 1.510135300797895395e-02 7.844508262817555949e-03 1.185955958344256378e-02 -6.430526413350123004e-03 5.609869313963629367e-03
3.021886215500722450e+00 8.312377256648797452e-01 7.751347444249801454e-03 1.508884716611985990e-02 7.829095905620869419e-03 1.185501053560497967e-02 -6.404843801073688628e-03 5.634901581803612551e-03
3.024007945661148611e+00 8.312142338416630416e-01 7.730311444691459130e-03 1.507623907234762264e-02 7.814039454897276152e-03 1.185071932939489418e-02 -6.379298305039493924e-03 5.660191909030361582e-03
3.026131165533149314e+00 8.311907989484497161e-01 7.709759276825884321e-03 1.506352973269404344e-02 7.799335956815312866e-03 1.184668364078857346e-02 -6.353889287771445279e-03 5.685737126332993281e-03
3.028255876162682991e+00 8.311674207752904886e-01 7.689687563150707228e-03 1.505072015319092529e-02 7.784982457543518017e-03 1.184290114576228709e-02 -6.328616111793444743e-03 5.711534064400624472e-03
3.030382078596442597e+00 8.311440991122361899e-01 7.670092926163541575e-03 1.503781133987006254e-02 7.770976003250418783e-03 1.183936952029229946e-02 -6.303478139629377017e-03 5.737579553922400599e-03
3.032509773881854276e+00 8.311208337493374287e-01 7.650971988362025369e-03 1.502480429876327031e-02 7.757313640104560558e-03 1.183608644035488190e-02 -6.278474733803153691e-03 5.763870425587425475e-03
3.034638963067081363e+00 8.310976244766445920e-01 7.632321372243771468e-03 1.501170003590233254e-02 7.743992414274468786e-03 1.183304958192630055e-02 -6.253605256838657735e-03 5.790403510084843677e-03
3.036769647201022604e+00 8.310744710842085103e-01 7.614137700306413542e-03 1.499849955731906263e-02 7.731009371928681921e-03 1.183025662098281805e-02 -6.228869071259790328e-03 5.817175638103772028e-03
3.038901827333312600e+00 8.310513733620800148e-01 7.596417595047579192e-03 1.498520386904526533e-02 7.718361559235741021e-03 1.182770523350070921e-02 -6.204265539590462196e-03 5.844183640333326483e-03
3.041035504514324028e+00 8.310283311003094919e-01 7.579157678964886478e-03 1.497181397711273322e-02 7.706046022364174131e-03 1.182539309545623842e-02 -6.179794024354551968e-03 5.871424347462649018e-03
3.043170679795165867e+00 8.310053440889478837e-01 7.562354574555968205e-03 1.495833088755327278e-02 7.694059807482518838e-03 1.182331788282567180e-02 -6.155453888075964296e-03 5.898894590180859925e-03
3.045307354227685170e+00 8.309824121180451328e-01 7.546004904318452840e-03 1.494475560639869048e-02 7.682399960759317935e-03 1.182147727158527721e-02 -6.131244493278612505e-03 5.926591199177062147e-03
3.047445528864469733e+00 8.309595349776527362e-01 7.530105290749950636e-03 1.493108913968077718e-02 7.671063528363094262e-03 1.181986893771132426e-02 -6.107165202486363950e-03 5.954511005140419345e-03
3.049585204758843204e+00 8.309367124578210806e-01 7.514652356348099603e-03 1.491733249343133935e-02 7.660047556462388010e-03 1.181849055718007906e-02 -6.083215378223130222e-03 5.982650838760037934e-03
3.051726382964870865e+00 8.309139443486003307e-01 7.499642723610519535e-03 1.490348667368217479e-02 7.649349091225732429e-03 1.181733980596780427e-02 -6.059394383012808166e-03 6.011007530725043409e-03
3.053869064537356959e+00 8.308912304400415394e-01 7.485073015034843236e-03 1.488955268646509691e-02 7.638965178821672045e-03 1.181641436005077470e-02 -6.035701579379304169e-03 6.039577911724554327e-03
3.056013250531847358e+00 8.308685705221956486e-01 7.470939853118693103e-03 1.487553153781190005e-02 7.628892865418735771e-03 1.181571189540525299e-02 -6.012136329846507268e-03 6.068358812447700520e-03
3.058158942004628233e+00 8.308459643851123788e-01 7.457239860359687195e-03 1.486142423375437852e-02 7.619129197185452521e-03 1.181523008800750701e-02 -5.988697996938304770e-03 6.097347063583618762e-03
3.060306140012728271e+00 8.308234118188434492e-01 7.443969659255459184e-03 1.484723178032434400e-02 7.609671220290366821e-03 1.181496661383380983e-02 -5.965385943178605661e-03 6.126539495821426741e-03
3.062454845613916898e+00 8.308009126134389133e-01 7.431125872303635804e-03 1.483295518355360297e-02 7.600515980902012789e-03 1.181491914886042063e-02 -5.942199531091312860e-03 6.155932939850239545e-03
3.064605059866707393e+00 8.307784665589491579e-01 7.418705122001835982e-03 1.481859544947393761e-02 7.591660525188921073e-03 1.181508536906360728e-02 -5.919138123200307598e-03 6.185524226359200017e-03
3.066756783830356436e+00 8.307560734454255691e-01 7.406704030847689919e-03 1.480415358411716654e-02 7.583101899319632730e-03 1.181546295041964630e-02 -5.896201082029497130e-03 6.215310186037424980e-03
3.068910018564863229e+00 8.307337330629182004e-01 7.395119221338826085e-03 1.478963059351509103e-02 7.574837149462679275e-03 1.181604956890479688e-02 -5.873387770102782637e-03 6.245287649574030389e-03
3.071064765130972152e+00 8.307114452014781047e-01 7.383947315972863405e-03 1.477502748369950367e-02 7.566863321786597429e-03 1.181684290049532862e-02 -5.850697549944050557e-03 6.275453447658160822e-03
3.073221024590171879e+00 8.306892096511554469e-01 7.373184937247431216e-03 1.476034526070221266e-02 7.559177462459923044e-03 1.181784062116750592e-02 -5.828129784077209878e-03 6.305804410978920957e-03
3.075378798004697156e+00 8.306670262020011686e-01 7.362828707660152780e-03 1.474558493055501754e-02 7.551776617651188503e-03 1.181904040689760356e-02 -5.805683835026145302e-03 6.336337370225457108e-03
3.077538086437527909e+00 8.306448946440659897e-01 7.352875249708654831e-03 1.473074749928971437e-02 7.544657833528930525e-03 1.182043993366188248e-02 -5.783359065314758012e-03 6.367049156086883495e-03
3.079698890952390133e+00 8.306228147674006301e-01 7.343321185890564103e-03 1.471583397293811657e-02 7.537818156261687566e-03 1.182203687743661226e-02 -5.761154837466951791e-03 6.397936599252327348e-03
3.081861212613756784e+00 8.306007863620552545e-01 7.334163138703508195e-03 1.470084535753202193e-02 7.531254632017992008e-03 1.182382891419806077e-02 -5.739070514006623484e-03 6.428996530410902022e-03
3.084025052486849550e+00 8.305788092180808047e-01 7.325397730645106902e-03 1.468578265910322651e-02 7.524964306966379704e-03 1.182581371992249240e-02 -5.717105457457661265e-03 6.460225780251754694e-03
3.086190411637636188e+00 8.305568831255280005e-01 7.317021584212993028e-03 1.467064688368353853e-02 7.518944227275387374e-03 1.182798897058618022e-02 -5.695259030343974120e-03 6.491621179463989179e-03
3.088357291132833637e+00 8.305350078744474507e-01 7.309031321904783766e-03 1.465543903730475404e-02 7.513191439113546533e-03 1.183035234216538688e-02 -5.673530595189445885e-03 6.523179558736751787e-03
3.090525692039908012e+00 8.305131832548896531e-01 7.301423566218111921e-03 1.464016012599867952e-02 7.507702988649395635e-03 1.183290151063637850e-02 -5.651919514517988151e-03 6.554897748759146332e-03
3.092695615427074607e+00 8.304914090569053275e-01 7.294194939650597287e-03 1.462481115579711451e-02 7.502475922051468800e-03 1.183563415197542990e-02 -5.630425150853483884e-03 6.586772580220320861e-03
3.094867062363299226e+00 8.304696850705450828e-01 7.287342064699870066e-03 1.460939313273186199e-02 7.497507285488301879e-03 1.183854794215879851e-02 -5.609046866719844676e-03 6.618800883809376583e-03
3.097040033918297741e+00 8.304480110858598607e-01 7.280861563863553522e-03 1.459390706283471631e-02 7.492794125128430724e-03 1.184164055716276087e-02 -5.587784024640953494e-03 6.650979490215463280e-03
3.099214531162536979e+00 8.304263868928999370e-01 7.274750059639274388e-03 1.457835395213748740e-02 7.488333487140388586e-03 1.184490967296357791e-02 -5.566635987140715856e-03 6.683305230127692571e-03
3.101390555167235608e+00 8.304048122817160316e-01 7.269004174524656796e-03 1.456273480667198000e-02 7.484122417692713053e-03 1.184835296553751922e-02 -5.545602116743033813e-03 6.715774934235183014e-03
3.103568107004364585e+00 8.303832870423587531e-01 7.263620531017327478e-03 1.454705063246998324e-02 7.480157962953938242e-03 1.185196811086085614e-02 -5.524681775971792067e-03 6.748385433227078317e-03
