# s Q0 Q2 Q4 Q6 Q8 Q10 Q12
3.009187059999999914e+00 7.062086421691842197e-01 3.552833744644124520e-02 2.764537834248407752e-02 2.894665580157588028e-02 2.056582904679358711e-02 9.534476531169996938e-03 1.357471171559606130e-02
3.011299873815032058e+00 7.061840129955291312e-01 3.553564147591616040e-02 2.768257374423249359e-02 2.892089779948209954e-02 2.059131536389665826e-02 9.611952267227249005e-03 1.362319304936396823e-02
3.013414171081284731e+00 7.061593308196520979e-01 3.554267032264875337e-02 2.771882068757352061e-02 2.889506521012671567e-02 2.061633440157726802e-02 9.688199151137210155e-03 1.367141583747226094e-02
3.015529952840320771e+00 7.061345962655182218e-01 3.554942513648658847e-02 2.775412600705809071e-02 2.886915865087831545e-02 2.064088971941329537e-02 9.763224773716303734e-03 1.371937993344097238e-02
3.017647220134433095e+00 7.061098099570926045e-01 3.555590706727718153e-02 2.778849653723712565e-02 2.884317873910547531e-02 2.066498487698261582e-02 9.837036725780954824e-03 1.376708519079013378e-02
3.019765974006647813e+00 7.060849725183405701e-01 3.556211726486810387e-02 2.782193911266158184e-02 2.881712609217675081e-02 2.068862343386312919e-02 9.909642598147657896e-03 1.381453146303982492e-02
3.021886215500722450e+00 7.060600845732273312e-01 3.556805687910686437e-02 2.785446056788234634e-02 2.879100132746071142e-02 2.071180894963269362e-02 9.981049981632813747e-03 1.386171860371005100e-02
3.024007945661148611e+00 7.060351467457181007e-01 3.557372705984102046e-02 2.788606773745040679e-02 2.876480506232592313e-02 2.073454498386922279e-02 1.005126646705291858e-02 1.390864646632089703e-02
3.026131165533149314e+00 7.060101596597780915e-01 3.557912895691810878e-02 2.791676745591664677e-02 2.873853791414095540e-02 2.075683509615057834e-02 1.012029964522439054e-02 1.395531490439238902e-02
3.028255876162682991e+00 7.059851239393721833e-01 3.558426372018566597e-02 2.794656655783201576e-02 2.871220050027438117e-02 2.077868284605464619e-02 1.018815710696366339e-02 1.400172377144455818e-02
3.030382078596442597e+00 7.059600402084659221e-01 3.558913249949125640e-02 2.797547187774745633e-02 2.868579343809475948e-02 2.080009179315932266e-02 1.025484644308722465e-02 1.404787292099748085e-02
3.032509773881854276e+00 7.059349090910244096e-01 3.559373644468238895e-02 2.800349025021387633e-02 2.865931734497067368e-02 2.082106549704247633e-02 1.032037524441148033e-02 1.409376220657117956e-02
3.034638963067081363e+00 7.059097312110127476e-01 3.559807670560662107e-02 2.803062850978223219e-02 2.863277283827066894e-02 2.084160751728200006e-02 1.038475110175292142e-02 1.413939148168571677e-02
3.036769647201022604e+00 7.058845071923963710e-01 3.560215443211149633e-02 2.805689349100343871e-02 2.860616053536332859e-02 2.086172141345577977e-02 1.044798160592796954e-02 1.418476059986113584e-02
3.038901827333312600e+00 7.058592376591403816e-01 3.560597077404455135e-02 2.808229202842842803e-02 2.857948105361722557e-02 2.088141074514168402e-02 1.051007434775306018e-02 1.422986941461746278e-02
3.041035504514324028e+00 7.058339232352099923e-01 3.560952688125333665e-02 2.810683095660814965e-02 2.855273501040091547e-02 2.090067907191760915e-02 1.057103691804467567e-02 1.427471777947477219e-02
3.043170679795165867e+00 7.058085645445704159e-01 3.561282390358537497e-02 2.813051711009352182e-02 2.852592302308297120e-02 2.091952995336144802e-02 1.063087690761924629e-02 1.431930554795309875e-02
3.045307354227685170e+00 7.057831622111866432e-01 3.561586299088820989e-02 2.815335732343545588e-02 2.849904570903197265e-02 2.093796694905104838e-02 1.068960190729318326e-02 1.436363257357245113e-02
3.047445528864469733e+00 7.057577168590241090e-01 3.561864529300941273e-02 2.817535843118492214e-02 2.847210368561646845e-02 2.095599361856433085e-02 1.074721950788300705e-02 1.440769870985294382e-02
3.049585204758843204e+00 7.057322291120480262e-01 3.562117195979648543e-02 2.819652726789283886e-02 2.844509757020503501e-02 2.097361352147917093e-02 1.080373730020512887e-02 1.445150381031458896e-02
3.051726382964870865e+00 7.057066995942232746e-01 3.562344414109698543e-02 2.821687066811012085e-02 2.841802798016623138e-02 2.099083021737343721e-02 1.085916287507599637e-02 1.449504772847742644e-02
3.053869064537356959e+00 7.056811289295155110e-01 3.562546298675846324e-02 2.823639546638772105e-02 2.839089553286864437e-02 2.100764726582502254e-02 1.091350382331203808e-02 1.453833031786149962e-02
3.056013250531847358e+00 7.056555177418896152e-01 3.562722964662843467e-02 2.825510849727655427e-02 2.836370084568083649e-02 2.102406822641181630e-02 1.096676773572972594e-02 1.458135143198686055e-02
3.058158942004628233e+00 7.056298666553108001e-01 3.562874527055446411e-02 2.827301659532755265e-02 2.833644453597135293e-02 2.104009665871168708e-02 1.101896220314551623e-02 1.462411092437356820e-02
3.060306140012728271e+00 7.056041762937445005e-01 3.563001100838409513e-02 2.829012659509167263e-02 2.830912722110879090e-02 2.105573612230253813e-02 1.107009481637584794e-02 1.466660864854166246e-02
3.062454845613916898e+00 7.055784472811557073e-01 3.563102800996484354e-02 2.830644533111981859e-02 2.828174951846170598e-02 2.107099017676223457e-02 1.112017316623714787e-02 1.470884445801116935e-02
3.064605059866707393e+00 7.055526802415096332e-01 3.563179742514426679e-02 2.832197963796293308e-02 2.825431204539866417e-02 2.108586238166867272e-02 1.116920484354589488e-02 1.475081820630215999e-02
3.066756783830356436e+00 7.055268757987716022e-01 3.563232040376990845e-02 2.833673635017195172e-02 2.822681541928823493e-02 2.110035629659973502e-02 1.121719743911852446e-02 1.479252974693467428e-02
3.068910018564863229e+00 7.055010345769068270e-01 3.563259809568931208e-02 2.835072230229778931e-02 2.819926025749900159e-02 2.111447548113329006e-02 1.126415854377146863e-02 1.483397893342873475e-02
3.071064765130972152e+00 7.054751571998805204e-01 3.563263165075001432e-02 2.836394432889140574e-02 2.817164717739951280e-02 2.112822349484724110e-02 1.131009574832120279e-02 1.487516561930442814e-02
3.073221024590171879e+00 7.054492442916574513e-01 3.563242221879953098e-02 2.837640926450369500e-02 2.814397679635834496e-02 2.114160389731945325e-02 1.135501664358414681e-02 1.491608965808175619e-02
3.075378798004697156e+00 7.054232964762033875e-01 3.563197094968545420e-02 2.838812394368562045e-02 2.811624973174405712e-02 2.115462024812782976e-02 1.139892882037677781e-02 1.495675090328080561e-02
3.077538086437527909e+00 7.053973143774832089e-01 3.563127899325528591e-02 2.839909520098810730e-02 2.808846660092522915e-02 2.116727610685023922e-02 1.144183986951552955e-02 1.499714920842160071e-02
3.079698890952390133e+00 7.053712986194623502e-01 3.563034749935658357e-02 2.840932987096208076e-02 2.806062802127042358e-02 2.117957503306457795e-02 1.148375738181685139e-02 1.503728442702419524e-02
3.081861212613756784e+00 7.053452498261058023e-01 3.562917761783686993e-02 2.841883478815846603e-02 2.803273461014820986e-02 2.119152058634871105e-02 1.152468894809717190e-02 1.507715641260861175e-02
3.084025052486849550e+00 7.053191686213787781e-01 3.562777049854371630e-02 2.842761678712821261e-02 2.800478698492715052e-02 2.120311632628053486e-02 1.156464215917297339e-02 1.511676501869493004e-02
3.086190411637636188e+00 7.052930556292467124e-01 3.562612729132463851e-02 2.843568270242223875e-02 2.797678576297583236e-02 2.121436581243792835e-02 1.160362460586067054e-02 1.515611009880316919e-02
3.088357291132833637e+00 7.052669114736744849e-01 3.562424914602719400e-02 2.844303936859148008e-02 2.794873156166280057e-02 2.122527260439878438e-02 1.164164387897674222e-02 1.519519150645340030e-02
3.090525692039908012e+00 7.052407367786274195e-01 3.562213721249889858e-02 2.844969362018685485e-02 2.792062499835663153e-02 2.123584026174096806e-02 1.167870756933760829e-02 1.523400909516563900e-02
3.092695615427074607e+00 7.052145321680709511e-01 3.561979264058733052e-02 2.845565229175932645e-02 2.789246669042589472e-02 2.124607234404238612e-02 1.171482326775974067e-02 1.527256271845996161e-02
3.094867062363299226e+00 7.051882982659698484e-01 3.561721658013999869e-02 2.846092221785979579e-02 2.786425725523915958e-02 2.125597241088090020e-02 1.174999856505956619e-02 1.531085222985638719e-02
3.097040033918297741e+00 7.051620356962896574e-01 3.561441018100446748e-02 2.846551023303921582e-02 2.783599731016498866e-02 2.126554402183441356e-02 1.178424105205355329e-02 1.534887748287498688e-02
3.099214531162536979e+00 7.051357450829953688e-01 3.561137459302825964e-02 2.846942317184850135e-02 2.780768747257194792e-02 2.127479073648079477e-02 1.181755831955813747e-02 1.538663833103579362e-02
3.101390555167235608e+00 7.051094270500524175e-01 3.560811096605892567e-02 2.847266786883859493e-02 2.777932835982862420e-02 2.128371611439793323e-02 1.184995795838976115e-02 1.542413462785884037e-02
3.103568107004364585e+00 7.050830822214256832e-01 3.560462044994400915e-02 2.847525115856042524e-02 2.775092058930355918e-02 2.129232371516371139e-02 1.188144755936488758e-02 1.546136622686419999e-02
3.105747187746647153e+00 7.050567112210808229e-01 3.560090419453103977e-02 2.847717987556492789e-02 2.772246477836534315e-02 2.130061709835601863e-02 1.191203471329995919e-02 1.549833298157190543e-02
3.107927798467560176e+00 7.050303146729824944e-01 3.559696334966757497e-02 2.847846085440302114e-02 2.769396154438253516e-02 2.130859982355272700e-02 1.194172701101140974e-02 1.553503474550199139e-02
3.110109940241333693e+00 7.050038932010962434e-01 3.559279906520113057e-02 2.847910092962564754e-02 2.766541150472369079e-02 2.131627545033171894e-02 1.197053204331570420e-02 1.557147137217452029e-02
3.112293614142952247e+00 7.049774474293873938e-01 3.558841249097928483e-02 2.847910693578374272e-02 2.763681527675740726e-02 2.132364753827089773e-02 1.199845740102928153e-02 1.560764271510952511e-02
3.114478821248155338e+00 7.049509779818206034e-01 3.558380477684954662e-02 2.847848570742822494e-02 2.760817347785222628e-02 2.133071964694812847e-02 1.202551067496859805e-02 1.564354862782706829e-02
3.116665562633437414e+00 7.049244854823615292e-01 3.557897707265946646e-02 2.847724407911003328e-02 2.757948672537672771e-02 2.133749533594130054e-02 1.205169945595008923e-02 1.567918896384717584e-02
3.118853839376049208e+00 7.048979705549752728e-01 3.557393052825658791e-02 2.847538888538010335e-02 2.755075563669948796e-02 2.134397816482829641e-02 1.207703133479020793e-02 1.571456357668990500e-02
3.121043652553997738e+00 7.048714338236271582e-01 3.556866629348844761e-02 2.847292696078936036e-02 2.752198082918904873e-02 2.135017169318700545e-02 1.210151390230541392e-02 1.574967231987531302e-02
3.123235003246046304e+00 7.048448759122820650e-01 3.556318551820259605e-02 2.846986513988873299e-02 2.749316292021399336e-02 2.135607948059529970e-02 1.212515474931214442e-02 1.578451504692342591e-02
3.125427892531715823e+00 7.048182974449053173e-01 3.555748935224656293e-02 2.846621025722916379e-02 2.746430252714289477e-02 2.136170508663106857e-02 1.214796146662684186e-02 1.581909161135429051e-02
3.127622321491286161e+00 7.047916990454624608e-01 3.555157894546790570e-02 2.846196914736157796e-02 2.743540026734431897e-02 2.136705207087220490e-02 1.216994164506596775e-02 1.585340186668796753e-02
3.129818291205794356e+00 7.047650813379184864e-01 3.554545544771415405e-02 2.845714864483691459e-02 2.740645675818682847e-02 2.137212399289658074e-02 1.219110287544596452e-02 1.588744566644450379e-02
3.132015802757036838e+00 7.047384449462382738e-01 3.553912000883284461e-02 2.845175558420608847e-02 2.737747261703899967e-02 2.137692441228208201e-02 1.221145274858326593e-02 1.592122286414391491e-02
3.134214857227570317e+00 7.047117904943872579e-01 3.553257377867152789e-02 2.844579680002004216e-02 2.734844846126938817e-02 2.138145688860658769e-02 1.223099885529434043e-02 1.595473331330627895e-02
3.136415455700710453e+00 7.046851186063307626e-01 3.552581790707773357e-02 2.843927912682970779e-02 2.731938490824658075e-02 2.138572498144799064e-02 1.224974878639562177e-02 1.598797686745162192e-02
3.138617599260534519e+00 7.046584299060338896e-01 3.551885354389901911e-02 2.843220939918601406e-02 2.729028257533911914e-02 2.138973225038416984e-02 1.226771013270356800e-02 1.602095338010001147e-02
3.140821288991880511e+00 7.046317250174617408e-01 3.551168183898290032e-02 2.842459445163990003e-02 2.726114207991559360e-02 2.139348225499301120e-02 1.228489048503462674e-02 1.605366270477147708e-02
3.143026525980347596e+00 7.046050045645798621e-01 3.550430394217695546e-02 2.841644111874228745e-02 2.723196403934457013e-02 2.139697855485239372e-02 1.230129743420523350e-02 1.608610469498605866e-02
