# s Q0 Q2 Q4 Q6 Q8 Q10 Q12
3.009187059999999914e+00 6.862278693451823175e-01 2.640109630934579787e-02 2.392598575129158828e-02 1.143619658959254930e-02 8.096810784328814861e-03 1.160584642454654154e-02 7.936433846639388487e-03
3.011299873815032058e+00 6.862033553107694805e-01 2.638364063834323578e-02 2.389799785319911968e-02 1.151026398571115480e-02 8.083907986940164561e-03 1.160153475049023435e-02 7.941572308130364147e-03
3.013414171081284731e+00 6.861789623700617069e-01 2.636645887233069613e-02 2.387005137343468572e-02 1.158314550293088573e-02 8.071391738198230650e-03 1.159727047162148819e-02 7.946575045977632284e-03
3.015529952840320771e+00 6.861546897997394812e-01 2.634954913912988458e-02 2.384214666820434064e-02 1.165484783949409346e-02 8.059259587410622788e-03 1.159305348283245704e-02 7.951444381609095238e-03
3.017647220134433095e+00 6.861305368764833990e-01 2.633290956656248946e-02 2.381428409371411439e-02 1.172537769364312074e-02 8.047509083884959308e-03 1.158888367901528965e-02 7.956182636452634530e-03
3.019765974006647813e+00 6.861065028769740559e-01 2.631653828245019908e-02 2.378646400617000917e-02 1.179474176362038836e-02 8.036137776928834256e-03 1.158476095506212784e-02 7.960792131936155966e-03
3.021886215500722450e+00 6.860825870778912705e-01 2.630043341461470521e-02 2.375868676177806185e-02 1.186294674766821128e-02 8.025143215849859027e-03 1.158068520586511864e-02 7.965275189487542803e-03
3.024007945661148611e+00 6.860587887559161935e-01 2.628459309087768231e-02 2.373095271674428505e-02 1.192999934402901030e-02 8.014522949955636341e-03 1.157665632631641253e-02 7.969634130534697380e-03
3.026131165533149314e+00 6.860351071877290874e-01 2.626901543906083256e-02 2.370326222727472260e-02 1.199590625094512988e-02 8.004274528553777593e-03 1.157267421130815307e-02 7.973871276505508157e-03
3.028255876162682991e+00 6.860115416500101038e-01 2.625369858698584774e-02 2.367561564957538361e-02 1.206067416665891623e-02 7.994395500951888972e-03 1.156873875573249076e-02 7.977988948827870533e-03
3.030382078596442597e+00 6.859880914194402823e-01 2.623864066247440924e-02 2.364801333985229806e-02 1.212430978941278492e-02 7.984883416457574934e-03 1.156484985448157088e-02 7.981989468929683376e-03
3.032509773881854276e+00 6.859647557726997746e-01 2.622383979334820883e-02 2.362045565431149241e-02 1.218681981744906481e-02 7.975735824378446873e-03 1.156100740244754392e-02 7.985875158238829943e-03
3.034638963067081363e+00 6.859415339864689543e-01 2.620929410742893831e-02 2.359294294915898621e-02 1.224821094901016108e-02 7.966950274022105774e-03 1.155721129452254824e-02 7.989648338183212573e-03
3.036769647201022604e+00 6.859184253374285278e-01 2.619500173253827904e-02 2.356547558060080594e-02 1.230848988233842513e-02 7.958524314696161298e-03 1.155346142559874126e-02 7.993311330190721459e-03
3.038901827333312600e+00 6.858954291022589800e-01 2.618096079649792976e-02 2.353805390484298155e-02 1.236766331567620489e-02 7.950455495708219633e-03 1.154975769056826480e-02 7.996866455689252001e-03
3.041035504514324028e+00 6.858725445576406843e-01 2.616716942712957877e-02 2.351067827809152563e-02 1.242573794726591421e-02 7.942741366365886971e-03 1.154609998432326590e-02 8.000316036106699599e-03
3.043170679795165867e+00 6.858497709802542364e-01 2.615362575225490746e-02 2.348334905655247856e-02 1.248272047534989930e-02 7.935379475976774705e-03 1.154248820175589156e-02 8.003662392870954448e-03
3.045307354227685170e+00 6.858271076467796767e-01 2.614032789969560761e-02 2.345606659643186681e-02 1.253861759817048900e-02 7.928367373848487290e-03 1.153892223775829402e-02 8.006907847409911946e-03
3.047445528864469733e+00 6.858045538338979341e-01 2.612727399727337793e-02 2.342883125393569257e-02 1.259343601397013360e-02 7.921702609288625713e-03 1.153540198722261337e-02 8.010054721151469229e-03
3.049585204758843204e+00 6.857821088182894931e-01 2.611446217280989635e-02 2.340164338526999274e-02 1.264718242099116194e-02 7.915382731604803102e-03 1.153192734504100356e-02 8.013105335523514755e-03
3.051726382964870865e+00 6.857597718766343942e-01 2.610189055412685116e-02 2.337450334664079032e-02 1.269986351747594104e-02 7.909405290104622177e-03 1.152849820610560294e-02 8.016062011953943925e-03
3.053869064537356959e+00 6.857375422856136771e-01 2.608955726904593764e-02 2.334741149425412221e-02 1.275148600166682751e-02 7.903767834095696068e-03 1.152511446530856722e-02 8.018927071870653872e-03
3.056013250531847358e+00 6.857154193219074934e-01 2.607746044538885449e-02 2.332036818431600794e-02 1.280205657180621091e-02 7.898467912885627495e-03 1.152177601754204167e-02 8.021702836701536526e-03
3.058158942004628233e+00 6.856934022621961056e-01 2.606559821097726229e-02 2.329337377303244971e-02 1.285158192613646520e-02 7.893503075782020914e-03 1.151848275769816639e-02 8.024391627874483818e-03
3.060306140012728271e+00 6.856714903831604424e-01 2.605396869363287710e-02 2.326642861660949829e-02 1.290006876289995046e-02 7.888870872092485984e-03 1.151523458066910054e-02 8.026995766817391145e-03
3.062454845613916898e+00 6.856496829614807664e-01 2.604257002117738029e-02 2.323953307125317322e-02 1.294752378033901981e-02 7.884568851124628894e-03 1.151203138134697899e-02 8.029517574958153908e-03
3.064605059866707393e+00 6.856279792738374512e-01 2.603140032143244978e-02 2.321268749316948363e-02 1.299395367669607670e-02 7.880594562186054100e-03 1.150887305462395573e-02 8.031959373724664036e-03
3.066756783830356436e+00 6.856063785969112034e-01 2.602045772221979469e-02 2.318589223856447334e-02 1.303936515021347255e-02 7.876945554584374731e-03 1.150575949539217949e-02 8.034323484544815194e-03
3.068910018564863229e+00 6.855848802073825077e-01 2.600974035136109294e-02 2.315914766364416538e-02 1.308376489913355874e-02 7.873619377627191773e-03 1.150269059854379383e-02 8.036612228846501046e-03
3.071064765130972152e+00 6.855634833819317375e-01 2.599924633667803631e-02 2.313245412461457928e-02 1.312715962169874219e-02 7.870613580622114885e-03 1.149966625897094752e-02 8.038827928057618727e-03
3.073221024590171879e+00 6.855421873972390445e-01 2.598897380599230617e-02 2.310581197768173806e-02 1.316955601615135349e-02 7.867925712876750258e-03 1.149668637156578410e-02 8.040972903606060165e-03
3.075378798004697156e+00 6.855209915299853574e-01 2.597892088712560471e-02 2.307922157905165778e-02 1.321096078073379608e-02 7.865553323698702345e-03 1.149375083122045754e-02 8.043049476919717292e-03
3.077538086437527909e+00 6.854998950568509386e-01 2.596908570789960638e-02 2.305268328493037533e-02 1.325138061368842310e-02 7.863493962395580808e-03 1.149085953282710793e-02 8.045059969426485505e-03
3.079698890952390133e+00 6.854788972545163839e-01 2.595946639613601337e-02 2.302619745152392067e-02 1.329082221325760850e-02 7.861745178274993570e-03 1.148801237127788921e-02 8.047006702554261939e-03
3.081861212613756784e+00 6.854579973996620668e-01 2.595006107965651398e-02 2.299976443503830639e-02 1.332929227768370195e-02 7.860304520644543352e-03 1.148520924146494149e-02 8.048891997730933320e-03
3.084025052486849550e+00 6.854371947689684719e-01 2.594086788628278961e-02 2.297338459167955899e-02 1.336679750520910342e-02 7.859169538811839814e-03 1.148245003828041524e-02 8.050718176384398517e-03
3.086190411637636188e+00 6.854164886391161948e-01 2.593188494383653550e-02 2.294705827765372227e-02 1.340334459407615392e-02 7.858337782084489145e-03 1.147973465661645924e-02 8.052487559942551193e-03
3.088357291132833637e+00 6.853958782867856092e-01 2.592311038013943650e-02 2.292078584916678805e-02 1.343894024252725167e-02 7.857806799770097536e-03 1.147706299136521876e-02 8.054202469833286748e-03
3.090525692039908012e+00 6.853753629886570886e-01 2.591454232301318439e-02 2.289456766242480359e-02 1.347359114880473593e-02 7.857574141176272911e-03 1.147443493741884257e-02 8.055865227484493643e-03
3.092695615427074607e+00 6.853549420214114507e-01 2.590617890027947096e-02 2.286840407363378500e-02 1.350730401115100669e-02 7.857637355610619725e-03 1.147185038966947596e-02 8.057478154324070746e-03
3.094867062363299226e+00 6.853346146617287360e-01 2.589801823975997758e-02 2.284229543899975873e-02 1.354008552780840147e-02 7.857993992380745904e-03 1.146930924300926420e-02 8.059043571779908252e-03
3.097040033918297741e+00 6.853143801862895401e-01 2.589005846927640297e-02 2.281624211472874780e-02 1.357194239701932197e-02 7.858641600794261106e-03 1.146681139233035954e-02 8.060563801279901561e-03
3.099214531162536979e+00 6.852942378717745697e-01 2.588229771665042159e-02 2.279024445702677870e-02 1.360288131702611612e-02 7.859577730158768052e-03 1.146435673252490378e-02 8.062041164251946071e-03
3.101390555167235608e+00 6.852741869948639764e-01 2.587473410970374255e-02 2.276430282209988137e-02 1.363290898607115269e-02 7.860799929781874668e-03 1.146194515848504743e-02 8.063477982123933713e-03
3.103568107004364585e+00 6.852542268322384666e-01 2.586736577625804029e-02 2.273841756615407536e-02 1.366203210239681602e-02 7.862305748971188876e-03 1.145957656510293750e-02 8.064876576323759885e-03
3.105747187746647153e+00 6.852343566605785252e-01 2.586019084413501701e-02 2.271258904539538021e-02 1.369025736424546794e-02 7.864092737034322073e-03 1.145725084727072449e-02 8.066239268279319988e-03
3.107927798467560176e+00 6.852145757565647477e-01 2.585320744115635061e-02 2.268681761602983279e-02 1.371759146985946330e-02 7.866158443278870038e-03 1.145496789988054848e-02 8.067568379418500746e-03
3.110109940241333693e+00 6.851948833968769526e-01 2.584641369514372247e-02 2.266110363426343879e-02 1.374404111748119342e-02 7.868500417012445902e-03 1.145272761782455823e-02 8.068866231169204498e-03
3.112293614142952247e+00 6.851752788581964015e-01 2.583980773391884520e-02 2.263544745630224897e-02 1.376961300535301490e-02 7.871116207542655854e-03 1.145052989599490596e-02 8.070135144959319703e-03
3.114478821248155338e+00 6.851557614172031352e-01 2.583338768530338975e-02 2.260984943835226552e-02 1.379431383171730342e-02 7.874003364177107819e-03 1.144837462928373351e-02 8.071377442216743497e-03
3.116665562633437414e+00 6.851363303505776381e-01 2.582715167711904791e-02 2.258430993661952532e-02 1.381815029481642081e-02 7.877159436223406253e-03 1.144626171258318614e-02 8.072595444369366074e-03
3.118853839376049208e+00 6.851169849350006169e-01 2.582109783718751841e-02 2.255882930731005487e-02 1.384112909289274274e-02 7.880581972989159079e-03 1.144419104078541784e-02 8.073791472845084569e-03
3.121043652553997738e+00 6.850977244471523342e-01 2.581522429333048957e-02 2.253340790662985982e-02 1.386325692418864490e-02 7.884268523781975957e-03 1.144216250878257388e-02 8.074967849071792644e-03
3.123235003246046304e+00 6.850785481637133856e-01 2.580952917336963234e-02 2.250804609078497706e-02 1.388454048694648564e-02 7.888216637909457873e-03 1.144017601146679955e-02 8.076126894477382231e-03
3.125427892531715823e+00 6.850594553613641446e-01 2.580401060512665240e-02 2.248274421598144002e-02 1.390498647940863371e-02 7.892423864679216222e-03 1.143823144373024014e-02 8.077270930489750464e-03
3.127622321491286161e+00 6.850404453167853180e-01 2.579866671642323805e-02 2.245750263842526129e-02 1.392460159981746652e-02 7.896887753398857193e-03 1.143632870046504789e-02 8.078402278536789272e-03
3.129818291205794356e+00 6.850215173066571683e-01 2.579349563508107415e-02 2.243232171432247429e-02 1.394339254641535457e-02 7.901605853375988711e-03 1.143446767656336981e-02 8.079523260046390584e-03
3.132015802757036838e+00 6.850026706076600691e-01 2.578849548892185248e-02 2.240720179987909511e-02 1.396136601744465099e-02 7.906575713918210027e-03 1.143264826691734598e-02 8.080636196446449801e-03
3.134214857227570317e+00 6.849839044964746160e-01 2.578366440576725788e-02 2.238214325130115367e-02 1.397852871114774014e-02 7.911794884333137740e-03 1.143087036641913037e-02 8.081743409164862321e-03
3.136415455700710453e+00 6.849652182497814046e-01 2.577900051343898907e-02 2.235714642479467995e-02 1.399488732576698730e-02 7.917260913928369365e-03 1.142913386996086654e-02 8.082847219629520075e-03
3.138617599260534519e+00 6.849466111442606975e-01 2.577450193975872397e-02 2.233221167656568307e-02 1.401044855954476469e-02 7.922971352011523236e-03 1.142743867243470324e-02 8.083949949268318461e-03
3.140821288991880511e+00 6.849280824565932013e-01 2.577016681254815783e-02 2.230733936282019991e-02 1.402521911072343759e-02 7.928923747890196869e-03 1.142578466873278749e-02 8.085053919509151144e-03
3.143026525980347596e+00 6.849096314634591787e-01 2.576599325962898590e-02 2.228252983976425350e-02 1.403920567754537302e-02 7.935115650871998189e-03 1.142417175374726805e-02 8.086161451779910053e-03
3.145233311312298330e+00 6.848912574415392251e-01 2.576197940882287568e-02 2.225778346360385643e-02 1.405241495825294493e-02 7.941544610264538590e-03 1.142259982237028675e-02 8.087274867508490589e-03
3.147441646074856880e+00 6.848729596675136033e-01 2.575812338795153977e-02 2.223310059054505600e-02 1.406485365108852033e-02 7.948208175375415588e-03 1.142106876949399406e-02 8.088396488122784680e-03
3.149651531355911693e+00 6.848547374180631309e-01 2.575442332483665955e-02 2.220848157679385787e-02 1.407652845429447491e-02 7.955103895512249251e-03 1.141957849001054050e-02 8.089528635050691197e-03
3.151862968244114604e+00 6.848365899698681813e-01 2.575087734729991987e-02 2.218392677855629547e-02 1.408744606611317396e-02 7.962229319982638831e-03 1.141812887881206960e-02 8.090673629720100332e-03
3.154075957828880838e+00 6.848185165996091284e-01 2.574748358316301250e-02 2.215943655203839527e-02 1.409761318478698101e-02 7.969581998094187048e-03 1.141671983079072666e-02 8.091833793558905752e-03
3.156290501200392562e+00 6.848005165839663455e-01 2.574424016024762923e-02 2.213501125344617335e-02 1.410703650855827176e-02 7.977159479154510499e-03 1.141535124083866391e-02 8.093011447995001120e-03
3.158506599449595775e+00 6.847825891996205394e-01 2.574114520637545839e-02 2.211065123898566659e-02 1.411572273566941323e-02 7.984959312471206702e-03 1.141402300384802664e-02 8.094208914456281836e-03
3.160724253668202977e+00 6.847647337232521947e-01 2.573819684936819174e-02 2.208635686486288413e-02 1.412367856436277762e-02 7.992979047351887051e-03 1.141273501471096012e-02 8.095428514370643300e-03
3.162943464948693606e+00 6.847469494315415739e-01 2.573539321704750721e-02 2.206212848728384898e-02 1.413091069288073022e-02 8.001216233104159470e-03 1.141148716831960792e-02 8.096672569165973971e-03
3.165164234384312714e+00 6.847292356011691616e-01 2.573273243723510698e-02 2.203796646245461885e-02 1.413742581946564152e-02 8.009668419035628414e-03 1.141027935956612921e-02 8.097943400270174452e-03
3.167386563069074956e+00 6.847115915088155536e-01 2.573021263775267589e-02 2.201387114658117511e-02 1.414323064235988546e-02 8.018333154453900075e-03 1.140911148334265712e-02 8.099243329111133205e-03
3.169610452097761488e+00 6.846940164311611232e-01 2.572783194642188839e-02 2.198984289586956506e-02 1.414833185980582386e-02 8.027207988666585844e-03 1.140798343454134736e-02 8.100574677116743894e-03
3.171835902565922627e+00 6.846765096448866883e-01 2.572558849106446749e-02 2.196588206652582559e-02 1.415273617004583415e-02 8.036290470981284975e-03 1.140689510805434868e-02 8.101939765714907121e-03
3.174062915569878740e+00 6.846590704266724003e-01 2.572348039950207027e-02 2.194198901475594848e-02 1.415645027132227639e-02 8.045578150705612330e-03 1.140584639877379770e-02 8.103340916333507879e-03
3.176291492206718914e+00 6.846416980531984109e-01 2.572150579955639893e-02 2.191816409676598451e-02 1.415948086187752281e-02 8.055068577147165426e-03 1.140483720159185185e-02 8.104780450400446770e-03
3.178521633574302729e+00 6.846243918011459817e-01 2.571966281904914525e-02 2.189440766876194280e-02 1.416183463995395082e-02 8.064759299613562596e-03 1.140386741140065642e-02 8.106260689343615725e-03
3.180753340771260262e+00 6.846071509471950423e-01 2.571794958580199408e-02 2.187072008694986372e-02 1.416351830379392572e-02 8.074647867412403091e-03 1.140293692309235843e-02 8.107783954590908407e-03
3.182986614896994304e+00 6.845899747680262992e-01 2.571636422763663721e-02 2.184710170753576333e-02 1.416453855163981104e-02 8.084731829851293100e-03 1.140204563155909970e-02 8.109352567570218481e-03
3.185221457051678140e+00 6.845728625403201262e-01 2.571490487237475947e-02 2.182355288672566465e-02 1.416490208173398074e-02 8.095008736237844019e-03 1.140119343169303419e-02 8.110968849709439613e-03
3.187457868336257771e+00 6.845558135407567857e-01 2.571356964783804572e-02 2.180007398072559069e-02 1.416461559231880184e-02 8.105476135879656832e-03 1.140038021838630199e-02 8.112635122436465465e-03
3.189695849852452803e+00 6.845388270460170954e-01 2.571235668184820161e-02 2.177666534574157139e-02 1.416368578163664654e-02 8.116131578084342935e-03 1.139960588653105705e-02 8.114353707179189704e-03
3.191935402702756441e+00 6.845219023327813179e-01 2.571126410222690506e-02 2.175332733797962631e-02 1.416211934792988188e-02 8.126972612159508516e-03 1.139887033101944468e-02 8.116126925365507727e-03
3.194176527990434611e+00 6.845050386777301599e-01 2.571029003679584785e-02 2.173006031364579232e-02 1.415992298944088179e-02 8.137996787412758032e-03 1.139817344674361188e-02 8.117957098423313200e-03
3.196419226819529502e+00 6.844882353575438838e-01 2.570943261337671829e-02 2.170686462894607510e-02 1.415710340441200983e-02 8.149201653151702876e-03 1.139751512859570395e-02 8.119846547780498053e-03
3.198663500294857798e+00 6.844714916489030854e-01 2.570868995979120469e-02 2.168374064008651500e-02 1.415366729108563995e-02 8.160584758683945769e-03 1.139689527146786965e-02 8.121797594864961153e-03
