# s Q0 Q2 Q4 Q6 Q8 Q10 Q12
3.009187059999999914e+00 9.088201355250782321e-01 9.582777462698232815e-03 6.875656062185289859e-03 9.749434669966420414e-03 1.053824616898952314e-02 6.632999711802406613e-03 4.037916054357555684e-03
3.011299873815032058e+00 9.088021187817721946e-01 9.572438849222248899e-03 6.874072299253609040e-03 9.780114832569452091e-03 1.053384633694680154e-02 6.685071135177118526e-03 3.988299931909450487e-03
3.013414171081284731e+00 9.087841353141086209e-01 9.562165262306953142e-03 6.872789216872520618e-03 9.810127798737881474e-03 1.052928127956233480e-02 6.736324135105666369e-03 3.938999345883944202e-03
3.015529952840320771e+00 9.087661850275976505e-01 9.551955878962270149e-03 6.871804935008243159e-03 9.839477885761064441e-03 1.052455287103728522e-02 6.786763478239682575e-03 3.890014130711395065e-03
3.017647220134433095e+00 9.087482678277488679e-01 9.541809876198138404e-03 6.871117573626993498e-03 9.868169410928346458e-03 1.051966298557280126e-02 6.836393931230793503e-03 3.841344120822157843e-03
3.019765974006647813e+00 9.087303836200723017e-01 9.531726431024484247e-03 6.870725252694988468e-03 9.896206691529119831e-03 1.051461349737003829e-02 6.885220260730676688e-03 3.792989150646544367e-03
3.021886215500722450e+00 9.087125323100777585e-01 9.521704720451230550e-03 6.870626092178443167e-03 9.923594044852712681e-03 1.050940628063015171e-02 6.933247233390940276e-03 3.744949054614924583e-03
3.024007945661148611e+00 9.086947138032750448e-01 9.511743921488307121e-03 6.870818212043576165e-03 9.950335788188515579e-03 1.050404320955429169e-02 6.980479615863263536e-03 3.697223667157611190e-03
3.026131165533149314e+00 9.086769280051741893e-01 9.501843211145648976e-03 6.871299732256603426e-03 9.976436238825877462e-03 1.049852615834361187e-02 7.026922174799273696e-03 3.649812822704958520e-03
3.028255876162682991e+00 9.086591748212845543e-01 9.492001766433178986e-03 6.872068772783741786e-03 1.000189971405415247e-02 1.049285700119926938e-02 7.072579676850598851e-03 3.602716355687323943e-03
3.030382078596442597e+00 9.086414541571165016e-01 9.482218764360828694e-03 6.873123453591208944e-03 1.002673053116271903e-02 1.048703761232241786e-02 7.117456888668915668e-03 3.555934100535019723e-03
3.032509773881854276e+00 9.086237659181799486e-01 9.472493381938527912e-03 6.874461894645219999e-03 1.005093300744092089e-02 1.048106986591420577e-02 7.161558576905836630e-03 3.509465891678414939e-03
3.034638963067081363e+00 9.086061100099843690e-01 9.462824796176201245e-03 6.876082215911993520e-03 1.007451146017813819e-02 1.047495563617579020e-02 7.204889508213036670e-03 3.463311563547820989e-03
3.036769647201022604e+00 9.085884863380397913e-01 9.453212184083780237e-03 6.877982537357746340e-03 1.009747020666372334e-02 1.046869679730832656e-02 7.247454449242140412e-03 3.417470950573595241e-03
3.038901827333312600e+00 9.085708948078562441e-01 9.443654722671196433e-03 6.880160978948693558e-03 1.011981356418703050e-02 1.046229522351296848e-02 7.289258166644784626e-03 3.371943887186092462e-03
3.041035504514324028e+00 9.085533353249435340e-01 9.434151588948372705e-03 6.882615660651054609e-03 1.014154585003743982e-02 1.045575278899086615e-02 7.330305427072636437e-03 3.326730207815625350e-03
3.043170679795165867e+00 9.085358077948113564e-01 9.424701959925245801e-03 6.885344702431044593e-03 1.016267138150430023e-02 1.044907136794317494e-02 7.370600997177328279e-03 3.281829746892549974e-03
