# s Q0 Q2 Q4 Q6 Q8 Q10 Q12
3.009187059999999914e+00 8.985212184730611007e-01 1.117999190549962170e-02 9.024978449715849102e-03 1.615083523747759195e-02 7.228617993179511404e-03 1.348694447022273819e-02 3.164934936032775918e-03
3.011299873815032058e+00 8.984801347500088742e-01 1.117436199526090392e-02 9.067392877278401472e-03 1.608568984672323690e-02 7.193969557015815995e-03 1.334948335780169158e-02 3.121491021816493166e-03
3.013414171081284731e+00 8.984393393219162194e-01 1.116908230247229405e-02 9.109079117218532584e-03 1.602117687382830988e-02 7.160894304670839886e-03 1.321422392938414840e-02 3.078812816718890216e-03
3.015529952840320771e+00 8.983988306778643018e-01 1.116415039392605960e-02 9.150041442103273512e-03 1.595729312663356214e-02 7.129380683439102452e-03 1.308115195084766369e-02 3.036896810174627339e-03
3.017647220134433095e+00 8.983586073069351752e-01 1.115956383641447149e-02 9.190284124499644922e-03 1.589403541297973801e-02 7.099417140615124806e-03 1.295025318806978555e-02 2.995739491618365676e-03
3.019765974006647813e+00 8.983186676982101160e-01 1.115532019672978853e-02 9.229811436974717787e-03 1.583140054070751937e-02 7.070992123493395967e-03 1.282151340692794066e-02 2.955337350484726032e-03
3.021886215500722450e+00 8.982790103407709559e-01 1.115141704166427820e-02 9.268627652095507569e-03 1.576938531765767829e-02 7.044094079368444852e-03 1.269491837329970486e-02 2.915686876208378655e-03
3.024007945661148611e+00 8.982396337236993045e-01 1.114785193801020452e-02 9.306737042429076567e-03 1.570798655167089664e-02 7.018711455534765685e-03 1.257045385306251699e-02 2.876784558223946953e-03
3.026131165533149314e+00 8.982005363360766603e-01 1.114462245255983495e-02 9.344143880542452388e-03 1.564720105058792221e-02 6.994832699286875240e-03 1.244810561209391472e-02 2.838626885966090332e-03
3.028255876162682991e+00 8.981617166669845220e-01 1.114172615210543178e-02 9.380852439002664370e-03 1.558702562224950107e-02 6.972446257919292026e-03 1.232785941627144964e-02 2.801210348869466026e-03
3.030382078596442597e+00 8.981231732055047212e-01 1.113916060343926075e-02 9.416866990376778282e-03 1.552745707449631682e-02 6.951540578726511134e-03 1.220970103147254841e-02 2.764531436368699614e-03
3.032509773881854276e+00 8.980849044407188675e-01 1.113692337335359279e-02 9.452191807231807852e-03 1.546849221516913980e-02 6.932104109003056278e-03 1.209361622357479384e-02 2.728586637898458740e-03
3.034638963067081363e+00 8.980469088617082374e-01 1.113501202864068326e-02 9.486831162134817114e-03 1.541012785210865536e-02 6.914125296043425149e-03 1.197959075845561432e-02 2.693372442893369415e-03
3.036769647201022604e+00 8.980091849575551066e-01 1.113342413609280830e-02 9.520789327652837142e-03 1.535236079315560956e-02 6.897592587142134524e-03 1.186761040199255796e-02 2.658885340788088008e-03
3.038901827333312600e+00 8.979717312173403077e-01 1.113215726250222498e-02 9.554070576352895541e-03 1.529518784615074324e-02 6.882494429593697706e-03 1.175766092006316592e-02 2.625121821017273056e-03
3.041035504514324028e+00 8.979345461301460052e-01 1.113120897466120425e-02 9.586679180802051142e-03 1.523860581893475043e-02 6.868819270692619328e-03 1.164972807854487528e-02 2.592078373015551003e-03
3.043170679795165867e+00 8.978976281850536978e-01 1.113057683936200838e-02 9.618619413567340223e-03 1.518261151934837717e-02 6.856555557733410959e-03 1.154379764331522548e-02 2.559751486217577785e-03
