# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.040101109961637293e+00 3.298983600226287199e-02 6.842860500636277488e-02 3.950349859192630805e-03 6.234919921517671770e-02 -2.075026378436245836e-02 5.115074961720159769e-02
3.011299873815032058e+00 1.040055172378477888e+00 3.295015717140004768e-02 6.835066274525899988e-02 3.941302821262534367e-03 6.231519249426572399e-02 -2.075175909613984071e-02 5.110315845796646606e-02
3.013414171081284731e+00 1.040009333213075093e+00 3.291080324168892818e-02 6.827344228160418804e-02 3.932814176201371824e-03 6.228120410104070331e-02 -2.075267501287814467e-02 5.105644544651894573e-02
3.015529952840320771e+00 1.039963591911066576e+00 3.287177289996164042e-02 6.819693882339504520e-02 3.924879567460137081e-03 6.224723396460234148e-02 -2.075301585619261299e-02 5.101060529517567610e-02
3.017647220134433095e+00 1.039917947918090002e+00 3.283306483305029055e-02 6.812114757862822167e-02 3.917494638489831850e-03 6.221328201405127573e-02 -2.075278594769850576e-02 5.096563271625335206e-02
3.019765974006647813e+00 1.039872400679783038e+00 3.279467772778696388e-02 6.804606375530036777e-02 3.910655032741443098e-03 6.217934817848812940e-02 -2.075198960901106920e-02 5.092152242206859913e-02
3.021886215500722450e+00 1.039826949641782017e+00 3.275661027100375267e-02 6.797168256140816156e-02 3.904356393665970367e-03 6.214543238701355360e-02 -2.075063116174554953e-02 5.087826912493809833e-02
3.024007945661148611e+00 1.039781594249725272e+00 3.271886114953274916e-02 6.789799920494822560e-02 3.898594364714406697e-03 6.211153456872818557e-02 -2.074871492751719990e-02 5.083586753717846130e-02
3.026131165533149314e+00 1.039736333949250469e+00 3.268142905020605948e-02 6.782500889391722410e-02 3.893364589337746859e-03 6.207765465273267641e-02 -2.074624522794126652e-02 5.079431237110638292e-02
3.028255876162682991e+00 1.039691168185993941e+00 3.264431265985578284e-02 6.775270683631187674e-02 3.888662710986987795e-03 6.204379256812764948e-02 -2.074322638463299562e-02 5.075359833903850260e-02
3.030382078596442597e+00 1.039646096405594244e+00 3.260751066531401843e-02 6.768108824012877833e-02 3.884484373113122110e-03 6.200994824401376282e-02 -2.073966271920765075e-02 5.071372015329146665e-02
3.032509773881854276e+00 1.039601118053688600e+00 3.257102175341286543e-02 6.761014831336466246e-02 3.880825219167146310e-03 6.197612160949166060e-02 -2.073555855328046427e-02 5.067467252618196999e-02
3.034638963067081363e+00 1.039556232575913786e+00 3.253484461098440222e-02 6.753988226401608230e-02 3.877680892600053435e-03 6.194231259366194536e-02 -2.073091820846668931e-02 5.063645017002661036e-02
3.036769647201022604e+00 1.039511439417908134e+00 3.249897792486074882e-02 6.747028530007977143e-02 3.875047036862839991e-03 6.190852112562530291e-02 -2.072574600638159292e-02 5.059904779714207573e-02
