# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.021851654254599451e+00 8.973921044929708546e-03 7.475185147102545932e-03 2.263890927827694947e-04 5.440068832857332740e-03 -8.202966152163343461e-03 7.601136827040108797e-03
3.011299873815032058e+00 1.021830497259245130e+00 9.015569913947009406e-03 7.411889130379578292e-03 2.730054949024899127e-04 5.571887433521464580e-03 -8.186472344769393783e-03 7.479187492622172209e-03
3.013414171081284731e+00 1.021809328959893293e+00 9.056428069908303152e-03 7.349901297008862647e-03 3.190409221568349775e-04 5.701858388530442814e-03 -8.170726809159450932e-03 7.359707075511380189e-03
3.015529952840320771e+00 1.021788149742316021e+00 9.096500225875485401e-03 7.289213201095302852e-03 3.644983246415346755e-04 5.829991470504000857e-03 -8.155723356931319709e-03 7.242677114872910112e-03
3.017647220134433095e+00 1.021766959992284729e+00 9.135791094910448301e-03 7.229816396743797557e-03 4.093806524523195892e-04 5.956296452061866052e-03 -8.141455799682801447e-03 7.128079149871940218e-03
3.019765974006647813e+00 1.021745760095571498e+00 9.174305390075125632e-03 7.171702438059189902e-03 4.536908556849627476e-04 6.080783105823890644e-03 -8.127917949011683602e-03 7.015894719673535992e-03
3.021886215500722450e+00 1.021724550437948409e+00 9.212047824431395665e-03 7.114862879146394148e-03 4.974318844351809099e-04 6.203461204409766415e-03 -8.115103616515770973e-03 6.906105363442904300e-03
3.024007945661148611e+00 1.021703331405186654e+00 9.249023111041190445e-03 7.059289274110257771e-03 5.406066887987463461e-04 6.324340520439340405e-03 -8.103006613792856222e-03 6.798692620345121035e-03
3.026131165533149314e+00 1.021682103383058760e+00 9.285235962966405590e-03 7.004973177055680289e-03 5.832182188713900184e-04 6.443430826532347763e-03 -8.091620752440738945e-03 6.693638029545357498e-03
3.028255876162682991e+00 1.021660866757335917e+00 9.320691093268933247e-03 6.951906142087556015e-03 6.252694247488429970e-04 6.560741895308520172e-03 -8.080939844057220475e-03 6.590923130208784994e-03
3.030382078596442597e+00 1.021639621913790430e+00 9.355393215010701993e-03 6.900079723310735026e-03 6.667632565268772271e-04 6.676283499387702935e-03 -8.070957700240090002e-03 6.490529461500480282e-03
3.032509773881854276e+00 1.021618369238194157e+00 9.389347041253598772e-03 6.849485474830129851e-03 7.077026643012105517e-04 6.790065411389593041e-03 -8.061668132587154062e-03 6.392438562585646758e-03
3.034638963067081363e+00 1.021597109116318736e+00 9.422557285059552160e-03 6.800114950750587965e-03 7.480905981676140484e-04 6.902097403934034058e-03 -8.053064952696200110e-03 6.296631972629359447e-03
3.036769647201022604e+00 1.021575841933936024e+00 9.455028659490452569e-03 6.751959705177007151e-03 7.879300082218191129e-04 7.012389249640762004e-03 -8.045141972165032948e-03 6.203091230796792255e-03
3.038901827333312600e+00 1.021554568076817660e+00 9.486765877608197353e-03 6.705011292214280855e-03 8.272238445595581167e-04 7.120950721129509428e-03 -8.037893002591450439e-03 6.111797876253109545e-03
3.041035504514324028e+00 1.021533287930736167e+00 9.517773652474718557e-03 6.659261265967264358e-03 8.659750572766006195e-04 7.227791591020121635e-03 -8.031311855573245242e-03 6.022733448163396751e-03
3.043170679795165867e+00 1.021512001881462961e+00 9.548056697151908329e-03 6.614701180540851107e-03 9.041865964686789927e-04 7.332921631932330306e-03 -8.025392342708218690e-03 5.935879485692822574e-03
3.045307354227685170e+00 1.021490710314769457e+00 9.577619724701651877e-03 6.571322590039944955e-03 9.418614122315141154e-04 7.436350616485843702e-03 -8.020128275594166911e-03 5.851217528006576532e-03
3.047445528864469733e+00 1.021469413616428179e+00 9.606467448185898594e-03 6.529117048569377767e-03 9.790024546608984239e-04 7.538088317300560039e-03 -8.015513465828886033e-03 5.768729114269694619e-03
3.049585204758843204e+00 1.021448112172210765e+00 9.634604580666528487e-03 6.488076110234055130e-03 1.015612673852552255e-03 7.638144506996189312e-03 -8.011541725010172185e-03 5.688395783647368087e-03
3.051726382964870865e+00 1.021426806367888629e+00 9.662035835205452783e-03 6.448191329138856613e-03 1.051695019902221208e-03 7.736528958192498764e-03 -8.008206864735828434e-03 5.610199075304736147e-03
3.053869064537356959e+00 1.021405496589234518e+00 9.688765924864570570e-03 6.409454259388677397e-03 1.087252442905638087e-03 7.833251443509230486e-03 -8.005502696603649174e-03 5.534120528406964896e-03
3.056013250531847358e+00 1.021384183222019404e+00 9.714799562705793076e-03 6.371856455088384039e-03 1.122287892958559333e-03 7.928321735566188147e-03 -8.003423032211430532e-03 5.460141682119167526e-03
3.058158942004628233e+00 1.021362866652015589e+00 9.740141461791035002e-03 6.335389470342843096e-03 1.156804320156740304e-03 8.021749606983165012e-03 -8.001961683156970373e-03 5.388244075606459828e-03
3.060306140012728271e+00 1.021341547264995153e+00 9.764796335182197168e-03 6.300044859256953220e-03 1.190804674595914887e-03 8.113544830379910977e-03 -8.001112461038066559e-03 5.318409248034007032e-03
3.062454845613916898e+00 1.021320225446728847e+00 9.788768895941175191e-03 6.265814175935602651e-03 1.224291906371816540e-03 8.203717178376162059e-03 -8.000869177452516953e-03 5.250618738566970034e-03
3.064605059866707393e+00 1.021298901582989416e+00 9.812063857129890709e-03 6.232688974483645804e-03 1.257268965580211895e-03 8.292276423591746215e-03 -8.001225643998119419e-03 5.184854086370442941e-03
3.066756783830356436e+00 1.021277576059548720e+00 9.834685931810248014e-03 6.200660809005983931e-03 1.289738802316835057e-03 8.379232338646411607e-03 -8.002175672272673554e-03 5.121096830609590984e-03
3.068910018564863229e+00 1.021256249262178617e+00 9.856639833044139251e-03 6.169721233607500070e-03 1.321704366677420132e-03 8.464594696159895987e-03 -8.003713073873970282e-03 5.059328510449569855e-03
3.071064765130972152e+00 1.021234921576650523e+00 9.877930273893486060e-03 6.139861802393056442e-03 1.353168608757732453e-03 8.548373268752025578e-03 -8.005831660399812671e-03 4.999530665055481465e-03
3.073221024590171879e+00 1.021213593388736296e+00 9.898561967420180588e-03 6.111074069467554298e-03 1.384134478653496802e-03 8.630577829042520785e-03 -8.008525243447995115e-03 4.941684833592503191e-03
3.075378798004697156e+00 1.021192265084208239e+00 9.918539626686147942e-03 6.083349588935854993e-03 1.414604926460476773e-03 8.711218149651202627e-03 -8.011787634616318945e-03 4.885772555225736946e-03
3.077538086437527909e+00 1.021170937048837990e+00 9.937867964753280270e-03 6.056679914902848502e-03 1.444582902274407993e-03 8.790304003197812327e-03 -8.015612645502576822e-03 4.831775369120342757e-03
3.079698890952390133e+00 1.021149609668397185e+00 9.956551694683490536e-03 6.031056601473416129e-03 1.474071356191035626e-03 8.867845162302129269e-03 -8.019994087704570077e-03 4.779674814441459835e-03
3.081861212613756784e+00 1.021128283328657682e+00 9.974595529538672622e-03 6.006471202752446115e-03 1.503073238306093561e-03 8.943851399583891207e-03 -8.024925772820093103e-03 4.729452430354242135e-03
3.084025052486849550e+00 1.021106958415391563e+00 9.992004182380748167e-03 5.982915272844801548e-03 1.531591498715346479e-03 9.018332487662922628e-03 -8.030401512446945500e-03 4.681089756023799377e-03
3.086190411637636188e+00 1.021085635314370910e+00 1.000878236627161279e-02 5.960380365855380211e-03 1.559629087514520247e-03 9.091298199158943938e-03 -8.036415118182919926e-03 4.634568330615299395e-03
3.088357291132833637e+00 1.021064314411367135e+00 1.002493479427318292e-02 5.938858035889048662e-03 1.587188954799378460e-03 9.162758306691777890e-03 -8.042960401625822917e-03 4.589869693293852776e-03
3.090525692039908012e+00 1.021042996092151656e+00 1.004046617944734897e-02 5.918339837050698611e-03 1.614274050665646335e-03 9.232722582881141421e-03 -8.050031174373443663e-03 4.546975383224628221e-03
3.092695615427074607e+00 1.021021680742497439e+00 1.005538123485603778e-02 5.898817323445200086e-03 1.640887325209086818e-03 9.301200800346857284e-03 -8.057621248023585231e-03 4.505866939572739788e-03
3.094867062363299226e+00 1.021000368748175013e+00 1.006968467356113457e-02 5.880282049177444799e-03 1.667031728525427943e-03 9.368202731708647618e-03 -8.065724434174036811e-03 4.466525901503351839e-03
3.097040033918297741e+00 1.020979060494957569e+00 1.008338120862456271e-02 5.862725568352301908e-03 1.692710210710430922e-03 9.433738149586329974e-03 -8.074334544422608409e-03 4.428933808181577565e-03
3.099214531162536979e+00 1.020957756368615854e+00 1.009647555310822474e-02 5.846139435074657921e-03 1.717925721859832246e-03 9.497816826599650777e-03 -8.083445390367089214e-03 4.393072198772570922e-03
3.101390555167235608e+00 1.020936456754922173e+00 1.010897242007401629e-02 5.830515203449398477e-03 1.742681212069368190e-03 9.560448535368361658e-03 -8.093050783605273621e-03 4.358922612441480660e-03
3.103568107004364585e+00 1.020915162039648827e+00 1.012087652258385380e-02 5.815844427581397073e-03 1.766979631434799532e-03 9.621643048512276697e-03 -8.103144535734968165e-03 4.326466588353426908e-03
3.105747187746647153e+00 1.020893872608567010e+00 1.013219257369964502e-02 5.802118661575536747e-03 1.790823930051863412e-03 9.681410138651142319e-03 -8.113720458353967241e-03 4.295685665673560152e-03
3.107927798467560176e+00 1.020872588847448359e+00 1.014292528648328730e-02 5.789329459536700535e-03 1.814217058016296541e-03 9.739759578404711890e-03 -8.124772363060060038e-03 4.266561383567025675e-03
3.110109940241333693e+00 1.020851311142065398e+00 1.015307937399669187e-02 5.777468375569761935e-03 1.837161965423858827e-03 9.796701140392792551e-03 -8.136294061451054827e-03 4.239075281198947942e-03
3.112293614142952247e+00 1.020830039878189544e+00 1.016265954930176130e-02 5.766526963779610056e-03 1.859661602370280258e-03 9.852244597235122053e-03 -8.148279365124744267e-03 4.213208897734482643e-03
3.114478821248155338e+00 1.020808775441592653e+00 1.017167052546040854e-02 5.756496778271118393e-03 1.881718918951320093e-03 9.906399721551504070e-03 -8.160722085678926221e-03 4.188943772338754243e-03
3.116665562633437414e+00 1.020787518218046808e+00 1.018011701553453441e-02 5.747369373149174322e-03 1.903336865262708535e-03 9.959176285961672884e-03 -8.173616034711395084e-03 4.166261444176915830e-03
3.118853839376049208e+00 1.020766268593323867e+00 1.018800373258604841e-02 5.739136302518654809e-03 1.924518391400198338e-03 1.001058406308542523e-02 -8.186955023819953922e-03 4.145143452414100545e-03
3.121043652553997738e+00 1.020745026953195245e+00 1.019533538967685830e-02 5.731789120484438553e-03 1.945266447459539656e-03 1.006063282554253875e-02 -8.200732864602398864e-03 4.125571336215441524e-03
3.123235003246046304e+00 1.020723793683433245e+00 1.020211669986886491e-02 5.725319381151406858e-03 1.965583983536470930e-03 1.010933234595276856e-02 -8.214943368656529507e-03 4.107526634746085786e-03
3.125427892531715823e+00 1.020702569169809282e+00 1.020835237622397598e-02 5.719718638624443630e-03 1.985473949726730171e-03 1.015669239693587668e-02 -8.229580347580131572e-03 4.090990887171176878e-03
3.127622321491286161e+00 1.020681353798095659e+00 1.021404713180410102e-02 5.714978447008428435e-03 2.004939296126075771e-03 1.020272275111166159e-02 -8.244637612971020268e-03 4.075945632655845335e-03
3.129818291205794356e+00 1.020660147954064012e+00 1.021920567967114432e-02 5.711090360408240842e-03 2.023982972830244437e-03 1.024743318109987145e-02 -8.260108976426981317e-03 4.062372410365236441e-03
3.132015802757036838e+00 1.020638952023486201e+00 1.022383273288700843e-02 5.708045932928763021e-03 2.042607929934976349e-03 1.029083345952027523e-02 -8.275988249545809111e-03 4.050252759464489406e-03
3.134214857227570317e+00 1.020617766392133641e+00 1.022793300451360632e-02 5.705836718674871071e-03 2.060817117536027730e-03 1.033293335899266273e-02 -8.292269243925311922e-03 4.039568219118741706e-03
3.136415455700710453e+00 1.020596591445778856e+00 1.023151120761283533e-02 5.704454271751452366e-03 2.078613485729131384e-03 1.037374265213678211e-02 -8.308945771163277205e-03 4.030300328493136887e-03
3.138617599260534519e+00 1.020575427570193483e+00 1.023457205524661365e-02 5.703890146263382137e-03 2.095999984610043103e-03 1.041327111157242663e-02 -8.326011642857513231e-03 4.022430626752808089e-03
3.140821288991880511e+00 1.020554275151149382e+00 1.023712026047683861e-02 5.704135896315544289e-03 2.112979564274503064e-03 1.045152850991936007e-02 -8.343460670605809190e-03 4.015940653062899726e-03
3.143026525980347596e+00 1.020533134574417966e+00 1.023916053636541798e-02 5.705183076012817524e-03 2.129555174818250143e-03 1.048852461979733405e-02 -8.361286666005961210e-03 4.010811946588551877e-03
