# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.035558628070992082e+00 1.028392623442260165e-02 1.943597090243040504e-02 1.550469487976097356e-02 1.827913622767076210e-02 -1.152432789400060706e-02 1.118152089591856364e-02
3.011299873815032058e+00 1.035533524544554940e+00 1.023496821948006660e-02 1.940592908602723626e-02 1.547841551837105326e-02 1.824553722856356655e-02 -1.153954072132243672e-02 1.115161721596135552e-02
3.013414171081284731e+00 1.035508490369184464e+00 1.018666627180649445e-02 1.937625989753680861e-02 1.545207353641305653e-02 1.821222137077823169e-02 -1.155428858759917701e-02 1.112285465501168871e-02
3.015529952840320771e+00 1.035483525259788928e+00 1.013901711520012044e-02 1.934696026688303289e-02 1.542566946411825027e-02 1.817918755582224877e-02 -1.156857307629502105e-02 1.109522500638755911e-02
3.017647220134433095e+00 1.035458628931275715e+00 1.009201747345917291e-02 1.931802712398980604e-02 1.539920383171788053e-02 1.814643468520310207e-02 -1.158239577087417753e-02 1.106872006340695914e-02
3.019765974006647813e+00 1.035433801098552653e+00 1.004566407038184374e-02 1.928945739878100418e-02 1.537267716944318123e-02 1.811396166042823080e-02 -1.159575825480085517e-02 1.104333161938785522e-02
3.021886215500722450e+00 1.035409041476526903e+00 9.999953629766369922e-03 1.926124802118051732e-02 1.534609000752541058e-02 1.808176738300512967e-02 -1.160866211153924882e-02 1.101905146764824324e-02
3.024007945661148611e+00 1.035384349780106517e+00 9.954882875410941620e-03 1.923339592111223545e-02 1.531944287619580423e-02 1.804985075444126216e-02 -1.162110892455357064e-02 1.099587140150609828e-02
3.026131165533149314e+00 1.035359725724198876e+00 9.910448531113790621e-03 1.920589802850004163e-02 1.529273630568560999e-02 1.801821067624410216e-02 -1.163310027730801895e-02 1.097378321427940583e-02
3.028255876162682991e+00 1.035335169023711588e+00 9.866647320673143512e-03 1.917875127326785015e-02 1.526597082622608778e-02 1.798684604992112357e-02 -1.164463775326679724e-02 1.095277869928615831e-02
3.030382078596442597e+00 1.035310679393552480e+00 9.823475967887186980e-03 1.915195258533951977e-02 1.523914696804846806e-02 1.795575577697978639e-02 -1.165572293589411425e-02 1.093284964984432735e-02
3.032509773881854276e+00 1.035286256548629158e+00 9.780931196554171897e-03 1.912549889463896133e-02 1.521226526138401078e-02 1.792493875892757840e-02 -1.166635740865417173e-02 1.091398785927190709e-02
3.034638963067081363e+00 1.035261900203848784e+00 9.739009730472279747e-03 1.909938713109004746e-02 1.518532623646394464e-02 1.789439389727195615e-02 -1.167654275501117320e-02 1.089618512088687263e-02
3.036769647201022604e+00 1.035237610074119852e+00 9.697708293439744054e-03 1.907361422461667858e-02 1.515833042351952958e-02 1.786412009352040045e-02 -1.168628055842932563e-02 1.087943322800720598e-02
3.038901827333312600e+00 1.035213385874349079e+00 9.657023609254787935e-03 1.904817710514274814e-02 1.513127835278201341e-02 1.783411624918038521e-02 -1.169557240237282733e-02 1.086372397395090478e-02
3.041035504514324028e+00 1.035189227319444738e+00 9.616952401715608487e-03 1.902307270259213576e-02 1.510417055448263178e-02 1.780438126575937391e-02 -1.170441987030588701e-02 1.084904915203594063e-02
3.043170679795165867e+00 1.035165134124314212e+00 9.577491394620434029e-03 1.899829794688873488e-02 1.507700755885263942e-02 1.777491404476484044e-02 -1.171282454569270992e-02 1.083540055558029729e-02
3.045307354227685170e+00 1.035141106003864664e+00 9.538637311767492882e-03 1.897384976795644246e-02 1.504978989612329281e-02 1.774571348770427603e-02 -1.172078801199748915e-02 1.082276997790197065e-02
3.047445528864469733e+00 1.035117142673004365e+00 9.500386876954968265e-03 1.894972509571912767e-02 1.502251809652581371e-02 1.771677849608512337e-02 -1.172831185268444557e-02 1.081114921231892713e-02
3.049585204758843204e+00 1.035093243846641142e+00 9.462736813981088499e-03 1.892592086010070132e-02 1.499519269029145514e-02 1.768810797141485633e-02 -1.173539765121777399e-02 1.080053005214915741e-02
3.051726382964870865e+00 1.035069409239681937e+00 9.425683846644076699e-03 1.890243399102503261e-02 1.496781420765147357e-02 1.765970081520095575e-02 -1.174204699106167794e-02 1.079090429071064873e-02
3.053869064537356959e+00 1.035045638567034576e+00 9.389224698742152514e-03 1.887926141841603234e-02 1.494038317883711678e-02 1.763155592895090940e-02 -1.174826145568036093e-02 1.078226372132138657e-02
3.056013250531847358e+00 1.035021931543606666e+00 9.353356094073530386e-03 1.885640007219758010e-02 1.491290013407962738e-02 1.760367221417216688e-02 -1.175404262853802818e-02 1.077460013729934600e-02
3.058158942004628233e+00 1.034998287884305812e+00 9.318074756436403941e-03 1.883384688229355203e-02 1.488536560361023581e-02 1.757604857237219514e-02 -1.175939209309888669e-02 1.076790533196251252e-02
