# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 9.989559147674882400e-01 3.159389895928455417e-03 7.611670059255834682e-03 4.127855838409434479e-03 1.954208636098659073e-04 -5.273003574337063677e-05 7.860237044017122365e-03
3.011299873815032058e+00 9.989426079832095517e-01 3.151324201335143488e-03 7.611092981781445062e-03 4.218578725688968724e-03 1.973625790856019517e-04 -1.022373742246317013e-04 7.847656347932914847e-03
3.013414171081284731e+00 9.989293929572705677e-01 3.142952308546794523e-03 7.610503249614835111e-03 4.308507220217974547e-03 1.991842623454893901e-04 -1.504685059377528845e-04 7.835562249581040639e-03
3.015529952840320771e+00 9.989162693346292921e-01 3.134277548133636553e-03 7.609900604364717297e-03 4.397644220093622179e-03 2.008867896500519988e-04 -1.974320697295784376e-04 7.823950406241291997e-03
3.017647220134433095e+00 9.989032367602435070e-01 3.125303250665899778e-03 7.609284787639804953e-03 4.485992623413074913e-03 2.024710372598135003e-04 -2.431367044469541364e-04 7.812816475193445562e-03
3.019765974006647813e+00 9.988902948790713276e-01 3.116032746713804855e-03 7.608655541048809680e-03 4.573555328273584512e-03 2.039378814352992432e-04 -2.875910489367689352e-04 7.802156113717277110e-03
3.021886215500722450e+00 9.988774433360699812e-01 3.106469366847583718e-03 7.608012606200438739e-03 4.660335232772287381e-03 2.052881984370324346e-04 -3.308037420458547319e-04 7.791964979092573691e-03
3.024007945661148611e+00 9.988646817761979158e-01 3.096616441637456158e-03 7.607355724703408935e-03 4.746335235006436150e-03 2.065228645255383149e-04 -3.727834226210988275e-04 7.782238728599110214e-03
3.026131165533149314e+00 9.988520098444128026e-01 3.086477301653651941e-03 7.606684638166428397e-03 4.831558233073194979e-03 2.076427559613407148e-04 -4.135387295093475939e-04 7.772973019516667657e-03
3.028255876162682991e+00 9.988394271856723128e-01 3.076055277466400832e-03 7.605999088198207858e-03 4.916007125069732364e-03 2.086487490049635191e-04 -4.530783015574485419e-04 7.764163509125031337e-03
3.030382078596442597e+00 9.988269334449345616e-01 3.065353699645922622e-03 7.605298816407463254e-03 4.999684809093296600e-03 2.095417199169317783e-04 -4.914107776122870206e-04 7.755805854703976161e-03
3.032509773881854276e+00 9.988145282671574421e-01 3.054375898762450980e-03 7.604583564402902715e-03 5.082594183241028428e-03 2.103225449577691064e-04 -5.285447965206985059e-04 7.747895713533287446e-03
3.034638963067081363e+00 9.988022112972984035e-01 3.043125205386204828e-03 7.603853073793236973e-03 5.164738145610174407e-03 2.109921003880002826e-04 -5.644889971295666666e-04 7.740428742892740098e-03
3.036769647201022604e+00 9.987899821803157829e-01 3.031604950087414367e-03 7.603107086187180230e-03 5.246119594297903900e-03 2.115512624681493547e-04 -5.992520182857397721e-04 7.733400600062118567e-03
3.038901827333312600e+00 9.987778405611672516e-01 3.019818463436308928e-03 7.602345343193444085e-03 5.326741427401382803e-03 2.120009074587403972e-04 -6.328424988360671763e-04 7.726806942321202097e-03
