# k     P0     P2     P4
7.596226439940963193e-03 1.873039076803675198e+04 1.016302859356277077e+04 -1.762715450537357901e+04
1.659868239673395474e-02 3.013670493086651550e+04 2.456559671577203335e+04 2.326835468977517667e+04
2.586445571658948714e-02 2.522883042888577984e+04 1.692043861326487604e+04 -1.063819486624251795e+03
3.529679080118813123e-02 2.043442234552793161e+04 1.538104567667228730e+04 9.387170040255512504e+03
4.513097249486092838e-02 1.633771343089702168e+04 1.011391268657573346e+04 -4.555671976131761767e+03
5.555287263739271814e-02 1.263171380967512050e+04 8.438294854299667350e+03 1.551083296954210709e+03
6.539609890328550168e-02 1.249024357525949927e+04 7.698746310801136133e+03 -1.290237024011034691e+03
7.523296824326296262e-02 1.036555995897362664e+04 6.701750378827045097e+03 2.018071778231192411e+03
8.527687181306613240e-02 8.331855150244329707e+03 5.055448963775642369e+03 -8.738435264854888374e+02
9.513028795734808363e-02 7.101783971825214394e+03 4.331113126015180569e+03 -8.495248711116033746e+00
1.052419169308068114e-01 5.924241675125820620e+03 3.590898727189577130e+03 3.415063396288139188e+02
1.151206315801793223e-01 5.310715185947637110e+03 3.139059948090152375e+03 3.797944858537916275e+02
1.250947617314616955e-01 4.878733610776566820e+03 2.730073786935304724e+03 3.031992699308538022e+02
1.351558649161048731e-01 4.212459360737584575e+03 2.357209058922733675e+03 3.816474261112464887e+02
1.451183454374788129e-01 3.719885350084349284e+03 2.015008282799937660e+03 9.005057833791124722e+01
1.550676819167363107e-01 3.312227963594503763e+03 1.804459236422537515e+03 2.779868523119737347e+02
1.650358619116154280e-01 3.004751019800141421e+03 1.533074201148267321e+03 -6.509730817428875582e+01
1.750550317171022385e-01 2.699556904284475422e+03 1.353371748628288287e+03 1.901717062408855838e+02
1.850940319178256133e-01 2.516426463288225477e+03 1.217129419445474014e+03 1.457509803483303870e+02
1.950992563317045236e-01 2.294803672151460432e+03 9.963832186888663500e+02 3.586742081215435718e+01
2.050639155099631961e-01 2.070312784743101929e+03 8.823504884621285100e+02 5.268499271621502089e+01
2.150231926675145733e-01 1.910378085139836230e+03 8.441436782024542254e+02 3.745735435427996407e+01
2.250205649738905578e-01 1.715661910950454285e+03 6.906532989994692571e+02 1.537152564870557114e+02
2.351001630702950485e-01 1.591445853518357808e+03 6.059096761200466972e+02 1.083363277090761585e+02
2.450738815386879210e-01 1.477544598605820283e+03 5.377067960211962827e+02 8.873618717752856355e+01
2.550521831857248123e-01 1.406853880655830608e+03 5.091876667974235602e+02 1.333627679621405377e+02
2.650604099034580829e-01 1.310724923001370598e+03 4.180869486196825164e+02 3.573935389260696383e+01
2.750125316335046977e-01 1.192910360110776310e+03 3.638661895317424637e+02 1.594717951123241448e+02
2.850268767522777802e-01 1.115527658610357548e+03 3.213357888573413561e+02 8.529305350366119853e+01
2.950518370782994615e-01 1.066857820070533762e+03 2.762487011430895905e+02 1.222275473394027330e+02
3.050598785237039756e-01 9.757826825911721471e+02 2.390324486319150310e+02 1.093639457045531032e+02
3.149891282510617896e-01 9.283119339213684498e+02 2.090271984498640734e+02 1.188895969387672125e+02
3.250378543403918408e-01 8.710726679747198204e+02 1.850927064230184271e+02 9.714598886719660698e+01
3.350921905511756727e-01 8.258258349590925036e+02 1.345056082494229770e+02 7.978277598798317172e+01
3.450583920673765959e-01 7.722152068172096051e+02 1.290128597960329273e+02 1.048856324444133747e+02
3.550603814031397243e-01 7.246059333570361787e+02 1.061043141924595972e+02 7.189022385466320486e+01
3.650295193761547985e-01 6.926328123869212732e+02 8.591304585387358372e+01 8.829613330740885146e+01
3.750721319789716013e-01 6.513728713769328351e+02 6.403811762349410230e+01 1.085587641650815840e+02
3.850647225683226371e-01 6.174318474275796689e+02 4.489977973119550825e+01 7.900406551078174289e+01
3.950397195426938457e-01 5.900363298832061218e+02 3.361943467188207535e+01 1.085448166513131554e+02
