# k     P0     P2     P4
7.596226439940963193e-03 1.901622614981092920e+04 1.736945972387212532e+04 1.367876358945576794e+04
1.659868239673395474e-02 3.153920790674739328e+04 3.570589391903229989e+04 2.164371896444769664e+04
2.586445571658948367e-02 2.458476989268143370e+04 1.121074806736328901e+04 -6.675372952421471382e+03
3.529679080118813123e-02 2.000813930206981604e+04 1.084536996974663998e+04 4.108035196460720726e+03
4.513097249486092838e-02 1.657035838650725054e+04 1.258146063288059122e+04 -3.854659550631329239e+03
5.555287263739271814e-02 1.280028925147585687e+04 1.019784280543874956e+04 2.690205108509385809e+03
6.539609890328550168e-02 1.250557632025559542e+04 7.825665755927069767e+03 -2.365645043424326104e+03
7.523296824326296262e-02 1.031679180763260774e+04 6.352256479540664259e+03 2.406995682250601931e+03
8.527687181306611852e-02 8.403404905316581790e+03 5.414755912675999753e+03 -9.862306348889418359e+02
9.513028795734809751e-02 7.124539202065412610e+03 3.992016988587884953e+03 -7.508511502712858032e+01
1.052419169308068114e-01 5.892877581626844403e+03 3.222962984633073120e+03 7.367531053932621887e+01
1.151206315801793084e-01 5.332195131112939634e+03 3.259820167855670661e+03 1.139754042500524974e+03
1.250947617314616955e-01 4.866213330397086793e+03 2.720543499415692622e+03 2.635007226039764419e+02
1.351558649161049008e-01 4.178573258285010525e+03 2.108386419587376167e+03 3.168566430607058919e+02
1.451183454374788129e-01 3.728738845632577522e+03 2.049781838912120747e+03 1.235460906576248448e+02
1.550676819167363107e-01 3.303530534845666352e+03 1.796627580630346529e+03 3.041298313045782606e+02
1.650358619116154280e-01 2.985858194630103753e+03 1.442421205680526782e+03 -6.501742041636745739e+01
1.750550317171022385e-01 2.694766476045565469e+03 1.165876185019598097e+03 2.193355571148827323e+02
1.850940319178256133e-01 2.526856416977101162e+03 1.312030228124703626e+03 1.904697680532099184e+02
1.950992563317044959e-01 2.281250121075890092e+03 9.841689403395918134e+02 1.997987515292505378e+01
2.050639155099631683e-01 2.069428302164419165e+03 8.736356600652120505e+02 1.105311946095805382e+02
2.150231926675145733e-01 1.895941316951661065e+03 7.706869355277775639e+02 1.205522486879393966e+02
2.250205649738905578e-01 1.706963957701246954e+03 6.792316822878397033e+02 1.876218907236563780e+02
2.351001630702950485e-01 1.602031614591149946e+03 6.155565219451056009e+02 1.274566483193858772e+02
2.450738815386878933e-01 1.470937982111279780e+03 4.743352366075268378e+02 5.748885098142157091e+01
2.550521831857248123e-01 1.403667277906645495e+03 5.353825754954331160e+02 1.183839223598480288e+02
2.650604099034581385e-01 1.311231691390212063e+03 4.158509939754791844e+02 2.703011107688216441e+01
2.750125316335046977e-01 1.187948997746560963e+03 3.286942336453683424e+02 1.266273145646529201e+02
2.850268767522777802e-01 1.120108677911583754e+03 3.064645849233793911e+02 6.278776738208982522e+01
2.950518370782994615e-01 1.072305103784388393e+03 2.794507276337379267e+02 1.365287535265375993e+02
3.050598785237039756e-01 9.736106400475050577e+02 2.334250485357295588e+02 1.170862893364710828e+02
3.149891282510617896e-01 9.216840128171536435e+02 2.025960845935772738e+02 1.345705992402317293e+02
3.250378543403918408e-01 8.709175702144809748e+02 1.759919920495013059e+02 9.546317024295072429e+01
3.350921905511756727e-01 8.264709722683758173e+02 1.427868881833674664e+02 8.826425354702489301e+01
3.450583920673765959e-01 7.691403886283269458e+02 1.134078692424617998e+02 8.827155957139152065e+01
3.550603814031397243e-01 7.248417398218219887e+02 1.330331332715505255e+02 6.937785736917108181e+01
3.650295193761547985e-01 6.875245195250594179e+02 8.066913449291757843e+01 7.527774722603979285e+01
3.750721319789716013e-01 6.461079874545370103e+02 6.490743557835975253e+01 9.334206143545965517e+01
3.850647225683226926e-01 6.156285512570841547e+02 4.597409364790915021e+01 8.487248848263348577e+01
3.950397195426938457e-01 5.904023316660980072e+02 4.250487094427584367e+01 1.125608503016166679e+02
