# k     P0     P2     P4
7.596226439940963193e-03 1.914437136011897383e+04 9.646520613316439267e+03 -4.035170592646260047e+04
1.659868239673395474e-02 3.091651695424039281e+04 3.174274446739055566e+04 2.697420249459473780e+04
2.586445571658948367e-02 2.405779089966161700e+04 6.996316592547881555e+03 -1.149235242488502138e+02
3.529679080118813123e-02 2.113170308771761484e+04 2.184538002191999476e+04 1.369867884113697437e+04
4.513097249486092838e-02 1.656143171747169617e+04 1.196197834239625081e+04 -3.257937472465790052e+03
5.555287263739271814e-02 1.259440848911769717e+04 7.863771339385824831e+03 3.789997597564250214e+02
6.539609890328550168e-02 1.224003829683376898e+04 5.664856590139882428e+03 -1.143665193640865937e+03
7.523296824326296262e-02 1.033285420746947420e+04 6.076054427737304650e+03 1.763404100351910529e+03
8.527687181306611852e-02 8.280894150213100147e+03 4.780661087863807552e+03 -6.987151783048603875e+02
9.513028795734808363e-02 7.069050498881597377e+03 4.315624592219205624e+03 -1.961339524298102219e+02
1.052419169308068114e-01 5.933264659071749520e+03 3.820091606403074366e+03 3.874336182649283273e+02
1.151206315801793223e-01 5.331418637040376780e+03 3.165489879151753939e+03 -2.833720165716428596e+02
1.250947617314616955e-01 4.884362892124253449e+03 2.745275714414139657e+03 1.899152582205054784e+02
1.351558649161048453e-01 4.198827901521069180e+03 2.137646138280091236e+03 4.428043392067725676e+02
1.451183454374788406e-01 3.724244279169574384e+03 1.989073651519667919e+03 -3.377074106866649572e+01
1.550676819167362830e-01 3.307958480089300792e+03 1.723543721778668214e+03 1.442586061087298219e+02
1.650358619116154280e-01 3.008717838642774041e+03 1.560498102826446939e+03 -6.364891221528679921e+01
1.750550317171022385e-01 2.691766756711162088e+03 1.288702449146602703e+03 2.491959280554297607e+01
1.850940319178256133e-01 2.518196013279035924e+03 1.120964163301377539e+03 9.125639219980212147e+01
1.950992563317045236e-01 2.314908006366025802e+03 1.089759966644616725e+03 1.148344681779955039e+02
2.050639155099632516e-01 2.067362642225459240e+03 8.567055278629229633e+02 -5.669292439934279315e+01
2.150231926675145733e-01 1.914595687891951002e+03 8.736593369990691826e+02 -1.676905344993815916e+01
2.250205649738905578e-01 1.719311369425478233e+03 7.054771001583529824e+02 1.414767285292869872e+02
2.351001630702950485e-01 1.592074150977291993e+03 6.064774382739800558e+02 1.161745109327457897e+02
2.450738815386878933e-01 1.480204934648452763e+03 5.745389021221368466e+02 6.986786076931574030e+01
2.550521831857248123e-01 1.399121678716133829e+03 4.779264800207995449e+02 1.034269777994745283e+02
2.650604099034580274e-01 1.313022814064271643e+03 4.344188090956050132e+02 5.154880363861650272e-01
2.750125316335046977e-01 1.199324868161445693e+03 3.864617370783212209e+02 1.562171299123125436e+02
2.850268767522777247e-01 1.108426856484233895e+03 3.294923127257788451e+02 1.358676249606221802e+02
2.950518370782995170e-01 1.065343857072557057e+03 2.604219102206299112e+02 9.859031572336522231e+01
3.050598785237039201e-01 9.784187358570078459e+02 2.317623331122080970e+02 9.092799983543393694e+01
3.149891282510617896e-01 9.321115622759715507e+02 1.915645829764587802e+02 1.166284508016100148e+02
3.250378543403918408e-01 8.681805924129082541e+02 1.764251490988465889e+02 9.506089482386602185e+01
3.350921905511756727e-01 8.253827882094329880e+02 1.038587796934594110e+02 7.839432703345484299e+01
3.450583920673765403e-01 7.758487870281069263e+02 1.386100808466184162e+02 1.105457818389707541e+02
3.550603814031398353e-01 7.262792716528834944e+02 8.738935343207323569e+01 7.737359993557423365e+01
3.650295193761547985e-01 6.972429973909744376e+02 9.739908847626276156e+01 1.020487440956028138e+02
3.750721319789716013e-01 6.500309776319954835e+02 4.832805733520702773e+01 1.109855077078000818e+02
3.850647225683226926e-01 6.184909546769564486e+02 2.596653672656324829e+01 7.925920721309489636e+01
3.950397195426937902e-01 5.907165399803245691e+02 2.503881363132015281e+01 1.215823563880069003e+02
