# k     P0     P2     P4
7.596226439940963193e-03 1.803057479418035655e+04 3.473105443499749072e+03 -2.620852117911390087e+04
1.659868239673395474e-02 2.795438993161176404e+04 6.248151760893244500e+03 2.118714261028308829e+04
2.586445571658949061e-02 2.704393049431429245e+04 3.255425117988345301e+04 3.598838016797566070e+03
3.529679080118813123e-02 2.016342464679636396e+04 1.345238703835022898e+04 1.035479608316884332e+04
4.513097249486092838e-02 1.588135018871212014e+04 5.798299084450359260e+03 -6.554418905298164646e+03
5.555287263739271814e-02 1.250044368843180746e+04 7.253270418074427653e+03 1.584045022596821354e+03
6.539609890328550168e-02 1.272511610868913340e+04 9.605716586336457112e+03 -3.614008349679119760e+02
7.523296824326296262e-02 1.044703386181879978e+04 7.676940229203166382e+03 1.883815552091065001e+03
8.527687181306611852e-02 8.311266395203305365e+03 4.970929890787120712e+03 -9.365847662626645160e+02
9.513028795734808363e-02 7.111762214528632285e+03 4.685697797238450221e+03 2.457333213235906726e+02
1.052419169308068114e-01 5.946582784678867029e+03 3.729641590532583905e+03 5.634100900821870255e+02
1.151206315801793084e-01 5.268531789689594007e+03 2.991869797263032069e+03 2.830014316324928245e+02
1.250947617314616955e-01 4.885624609808360219e+03 2.724402146976080985e+03 4.561818289680794578e+02
1.351558649161049008e-01 4.259976922406674930e+03 2.825594618900733167e+03 3.852812960662610067e+02
1.451183454374788129e-01 3.706672925450896855e+03 2.006169357968024315e+03 1.803763854247753784e+02
1.550676819167363107e-01 3.325194875848545507e+03 1.893206406858597802e+03 3.855721195226131499e+02
1.650358619116154280e-01 3.019677026127546924e+03 1.596303294937828696e+03 -6.662559189121199665e+01
1.750550317171022108e-01 2.712137480096698710e+03 1.605536611718663835e+03 3.262599688022310147e+02
1.850940319178256133e-01 2.504226959608538891e+03 1.218393866910340876e+03 1.555267807919791494e+02
1.950992563317044959e-01 2.288252889012464948e+03 9.152207490823907392e+02 -2.721208089445750034e+01
2.050639155099631683e-01 2.074147409839427382e+03 9.167102774582505162e+02 1.042167079384073105e+02
2.150231926675145733e-01 1.920597250575896851e+03 8.880847620805157021e+02 8.588867824838645859e+00
2.250205649738905578e-01 1.720710405724637894e+03 6.872511145522147444e+02 1.320471502082237123e+02
2.351001630702950762e-01 1.580231794986632167e+03 5.956950681410543211e+02 8.137782387509678017e+01
2.450738815386879488e-01 1.481490879057728534e+03 5.642462493339254479e+02 1.388518497818484150e+02
2.550521831857248123e-01 1.417772685344712272e+03 5.142539448760378491e+02 1.782774037270990277e+02
2.650604099034581385e-01 1.307920263549628771e+03 4.039910427879633517e+02 7.967246256455256059e+01
2.750125316335046977e-01 1.191457214424321819e+03 3.764425978715379415e+02 1.955709408600070276e+02
2.850268767522777802e-01 1.118047441435255223e+03 3.280504689228658890e+02 5.722376816827158308e+01
2.950518370782994060e-01 1.062924499354655836e+03 2.888734655749009335e+02 1.315635727683053631e+02
3.050598785237040311e-01 9.753186718690036514e+02 2.519099642478075225e+02 1.200775479417542897e+02
3.149891282510618451e-01 9.311402266709799278e+02 2.329209277795561945e+02 1.054697407744598650e+02
3.250378543403917853e-01 8.741198412967698914e+02 2.028609781207073866e+02 1.009139015347730890e+02
3.350921905511756727e-01 8.256237443994685918e+02 1.568711568714420252e+02 7.268974738346977915e+01
3.450583920673765959e-01 7.716564447951948296e+02 1.350206292990185375e+02 1.158395559228778637e+02
3.550603814031397243e-01 7.226967885964032803e+02 9.789045587375505875e+01 6.891921425924432754e+01
3.650295193761548540e-01 6.931309202447301914e+02 7.967091459244041118e+01 8.756190860058393355e+01
3.750721319789716013e-01 6.579796490442660115e+02 7.887885995691550534e+01 1.213487233519850150e+02
3.850647225683226371e-01 6.181760363486984033e+02 6.275870881911412624e+01 7.288050083661683232e+01
3.950397195426939012e-01 5.889901180031959029e+02 3.331461944005023668e+01 9.149124326431589793e+01
