# k     P0     P2     P4
7.596226439940963193e-03 5.751073086931963917e+04 1.689496678794159379e+04 -6.496924505006783147e+04
1.659868239673395474e-02 8.015391702211782103e+04 3.950391720481494121e+04 4.324230636113318178e+04
2.586445571658948714e-02 5.777577857532478083e+04 2.568731045290403927e+04 8.502509901264938890e+03
3.529679080118813123e-02 5.109294985008222284e+04 2.408802819304816876e+04 2.130451114486770166e+04
4.513097249486092838e-02 4.138000739371442614e+04 1.615674612519169750e+04 -1.155836505398268673e+04
5.555287263739271814e-02 3.143104279100299755e+04 1.354087432482022450e+04 2.235121286773805878e+03
6.539609890328550168e-02 3.178520313596479900e+04 1.235105945304547458e+04 -3.880086227198200504e+03
7.523296824326296262e-02 2.694015586085496398e+04 1.064448187695178603e+04 3.228546079961412488e+03
8.527687181306613240e-02 2.154951466648597852e+04 7.910694393047968333e+03 -3.548232011317800698e+03
9.513028795734808363e-02 1.869283305138193464e+04 7.242344879557319473e+03 -7.927522405640687566e+02
1.052419169308068114e-01 1.586961262282227653e+04 6.399997931800890910e+03 8.414061644430906881e+02
1.151206315801793223e-01 1.409428233623810229e+04 5.119743502472962973e+03 6.303816509068068399e+02
1.250947617314616955e-01 1.334271053969639797e+04 4.520791149391799081e+03 1.298421585157579329e+03
1.351558649161048731e-01 1.207559895239634170e+04 3.974599410746950525e+03 -1.050821853731433997e+01
1.451183454374788129e-01 1.033857868114596749e+04 3.462249305796742192e+03 -1.549408053599922575e+01
1.550676819167363107e-01 9.553603238273399256e+03 3.029782916133037361e+03 1.498381350897081347e+03
1.650358619116154280e-01 8.760669115633258116e+03 2.463171903608045341e+03 -5.257502061286676280e+02
1.750550317171022385e-01 8.086738971183888680e+03 2.323623310254271473e+03 -2.160129512056547352e+00
1.850940319178256133e-01 7.605517280421991927e+03 2.062275745303563326e+03 5.178002498054360103e+02
1.950992563317045236e-01 7.011938867721825773e+03 1.764931105499057821e+03 3.575216668825401030e+02
2.050639155099631961e-01 6.411150842901745818e+03 1.494990426501149386e+03 -2.235019507093730908e+02
2.150231926675145733e-01 5.684498614869577978e+03 1.418371890737186050e+03 2.987058323353101059e+02
2.250205649738905578e-01 5.332872124977572639e+03 1.076537283101301227e+03 7.569680147379580148e+02
2.351001630702950485e-01 5.084962870897098583e+03 8.729940636720384646e+02 3.124547640353247857e+02
2.450738815386879210e-01 4.684830190492636575e+03 7.451871422050899127e+02 2.708436153321782172e+02
2.550521831857248123e-01 4.577510994263850989e+03 5.895296180424556951e+02 5.709620566924500054e+02
2.650604099034580829e-01 4.233239249103590737e+03 3.996918081403279643e+02 -3.161615004894110825e+02
2.750125316335046977e-01 3.950153054418283773e+03 4.919376838040159328e+02 4.393845598105293107e+02
2.850268767522777802e-01 3.683118290094078930e+03 2.738979110028397486e+02 1.003690714373569648e+02
2.950518370782994615e-01 3.550019081340586126e+03 1.932086570209400804e+02 3.356599175820768437e+02
3.050598785237039756e-01 3.261077315996704783e+03 9.562962784185542375e+01 4.146661655777120359e+02
3.149891282510617896e-01 3.252764375339864728e+03 -1.853906006163987001e+02 1.276400343637075849e+02
3.250378543403918408e-01 2.970200291030416793e+03 1.069964041359416029e+01 5.564167276820040797e+02
3.350921905511756727e-01 2.920762292654075281e+03 -6.904543484430045908e+01 6.368136912593686105e+01
3.450583920673765959e-01 2.725238314808013456e+03 -2.283099935148506745e+02 4.550549097697967227e+02
3.550603814031397243e-01 2.574895149970481270e+03 -2.949319729134444401e+02 3.544988481811058136e+02
3.650295193761547985e-01 2.440840954041386340e+03 -3.074955631528319486e+02 1.803880942546882977e+02
3.750721319789716013e-01 2.344643550693798261e+03 -3.133977384272139375e+02 5.442612311455486633e+02
3.850647225683226371e-01 2.248070115260658895e+03 -3.781949570103788005e+02 4.853057725943106675e+02
3.950397195426938457e-01 2.150353240042907601e+03 -4.179073360225872875e+02 6.805853334489969484e+02
