# k     P0     P2     P4
7.596226439940963193e-03 5.873573562191586097e+04 4.974022238236539852e+04 -4.298246604425879195e+04
1.659868239673395474e-02 8.229820291375188390e+04 6.689593484746832110e+04 4.994370112058034283e+04
2.586445571658948367e-02 5.682535775453168753e+04 1.248707969311245870e+04 -4.597416901387325197e+03
3.529679080118813123e-02 5.048228561365720816e+04 1.543896807722348967e+04 8.703252243069560791e+03
4.513097249486092838e-02 4.163162385205246392e+04 2.595606690079695545e+04 -9.440651369950895969e+03
5.555287263739271814e-02 3.175994386408993523e+04 1.693958506500250223e+04 8.149117259266565725e+02
6.539609890328550168e-02 3.162153509626636151e+04 1.179932272225077213e+04 -5.371030358714365320e+03
7.523296824326296262e-02 2.689611504088744186e+04 9.233080992095749025e+03 4.671208651189233024e+03
8.527687181306611852e-02 2.175217831098082024e+04 8.903970410428257310e+03 -3.190361786161944565e+03
9.513028795734809751e-02 1.870720663149613029e+04 7.019453706293722462e+03 -8.987833583886229007e+02
1.052419169308068114e-01 1.579474184768869236e+04 5.693681499164607885e+03 -4.090982739583591297e+02
1.151206315801793084e-01 1.422586553665732390e+04 5.833101253315494432e+03 2.732698250743164408e+03
1.250947617314616955e-01 1.336294227863504784e+04 4.912638097368853778e+03 1.413567275875500400e+03
1.351558649161049008e-01 1.194094127364699671e+04 3.342013093963382289e+03 2.820025489205117708e+01
1.451183454374788129e-01 1.038663469549766160e+04 2.793819692854177902e+03 2.026903904419102957e+02
1.550676819167363107e-01 9.434493386433943670e+03 2.705080113073855500e+03 1.636464959435228593e+03
1.650358619116154280e-01 8.721331580613406913e+03 2.322307720899395008e+03 -5.287198737849727195e+02
1.750550317171022385e-01 8.122060910354251973e+03 2.166744861661490631e+03 4.155391568736106365e+02
1.850940319178256133e-01 7.577750621545977083e+03 2.156966568396139792e+03 7.555420084065907531e+02
1.950992563317044959e-01 6.985169832388583927e+03 1.826202794365825184e+03 3.982247874281812301e+02
2.050639155099631683e-01 6.386871573309269479e+03 1.320463927590749108e+03 -1.210145725541466248e+02
2.150231926675145733e-01 5.707867563253417757e+03 1.085646427023107435e+03 9.122965136212910693e+02
2.250205649738905578e-01 5.369112916154710547e+03 1.174948782492906048e+03 5.829942932106810076e+02
2.351001630702950485e-01 5.103048726688995885e+03 5.188734955508864459e+02 2.795392491714796961e+02
2.450738815386878933e-01 4.663591057239882502e+03 5.843341617537073489e+02 5.400923565208844934e+01
2.550521831857248123e-01 4.620284204706889795e+03 5.863038850538039242e+02 8.620085234078087524e+02
2.650604099034581385e-01 4.250047217641874340e+03 3.591307273922607806e+02 -4.576537963234074482e+02
2.750125316335046977e-01 3.894260392035349014e+03 8.251100505812939900e+01 3.085116068537880096e+02
2.850268767522777802e-01 3.687951794278101261e+03 5.529335944113616961e+02 -1.572300439375051617e+01
2.950518370782994615e-01 3.575957470095452209e+03 2.824053362228722790e+02 2.864800580147140749e+02
3.050598785237039756e-01 3.266253615229260504e+03 2.206836682368064260e+02 4.476820118871821137e+02
3.149891282510617896e-01 3.255491789752329623e+03 -2.179502999188058538e+02 2.195482581724392617e+02
3.250378543403918408e-01 2.955382419243779623e+03 -1.115257573730150220e+01 4.761755855328486291e+02
3.350921905511756727e-01 2.880914013408722894e+03 1.106368036914356026e+02 -5.719442543087018294e+01
3.450583920673765959e-01 2.764120895338413447e+03 -3.185480042973047716e+02 3.066488752659384431e+02
3.550603814031397243e-01 2.593874935155693493e+03 -4.062319523813319506e+02 2.884748228869155469e+02
3.650295193761547985e-01 2.439534446097824457e+03 -4.249663721305154809e+02 -5.855847203566246151e+01
3.750721319789716013e-01 2.305589187434602536e+03 -2.946291807942445757e+02 2.451695284087285813e+02
3.850647225683226926e-01 2.214562551649685247e+03 -4.514035283186042307e+02 5.492618306001539850e+02
3.950397195426938457e-01 2.149223676849636831e+03 -4.538473306038277997e+02 7.362299513526739929e+02
