# k     P0     P2     P4
7.596226439940963193e-03 5.831944910489593894e+04 2.762397807713933798e+04 -1.254439939391873049e+05
1.659868239673395474e-02 8.159565345797632472e+04 6.205865678883656801e+04 3.495337148948202230e+04
2.586445571658948367e-02 5.563809477968337887e+04 -3.797506938004828953e+03 1.258114239665494279e+04
3.529679080118813123e-02 5.229536522709229757e+04 4.264278021866450581e+04 3.192313674210903991e+04
4.513097249486092838e-02 4.177835779937867483e+04 1.841665325653631589e+04 -7.304868801280937987e+03
5.555287263739271814e-02 3.141385476659746200e+04 1.195183850503987924e+04 4.925286516219948680e+02
6.539609890328550168e-02 3.136077438800070740e+04 5.776275418940403142e+03 -5.060109361210351381e+03
7.523296824326296262e-02 2.682351702374094020e+04 1.123606761032474060e+04 1.489400424396586459e+03
8.527687181306611852e-02 2.131873363769327625e+04 7.396198742012274124e+03 -1.337537709700850428e+03
9.513028795734808363e-02 1.877454520431752462e+04 9.374354175919905174e+03 -8.142601741728469733e+02
1.052419169308068114e-01 1.579599893049060483e+04 5.879363992801482709e+03 2.351021833092448560e+03
1.151206315801793223e-01 1.406648338910472921e+04 4.246091044489617161e+03 -1.409332407177443656e+03
1.250947617314616955e-01 1.336906527854358683e+04 5.045242614827004218e+03 2.082427565059804238e+03
1.351558649161048453e-01 1.217625950876121897e+04 4.695642440058742068e+03 1.564099333593930510e+02
1.451183454374788406e-01 1.031052268063176962e+04 3.502055930937950961e+03 8.227194677364140674e+00
1.550676819167362830e-01 9.557272982660688285e+03 3.685432686721194386e+03 1.430921271766149857e+03
1.650358619116154280e-01 8.769498948740876585e+03 2.259372812411112136e+03 -5.077247958393181761e+02
1.750550317171022385e-01 8.133030112790807834e+03 2.091523342541433522e+03 8.571019357956653550e+01
1.850940319178256133e-01 7.618736444651373859e+03 2.046662534339468721e+03 2.982477927998709788e+02
1.950992563317045236e-01 7.071292558129710415e+03 2.015773862246911449e+03 7.084863914098449413e+02
2.050639155099632516e-01 6.427065185418597139e+03 1.652599500525223675e+03 -3.727603805013657734e+02
2.150231926675145733e-01 5.674984353011835992e+03 1.478642643291668946e+03 -3.499869215721234639e+01
2.250205649738905578e-01 5.254851870935024635e+03 7.988342317228973570e+02 9.103098878625676207e+02
2.351001630702950485e-01 5.120480153745713324e+03 1.222935887914133218e+03 2.774950942414035353e+02
2.450738815386878933e-01 4.655736500065996552e+03 8.636313694538860091e+02 3.722525159819020928e+02
2.550521831857248123e-01 4.546318931008561776e+03 8.644856472936423870e+02 3.198080971743173109e+02
2.650604099034580274e-01 4.212209604714195848e+03 6.806524155071462019e+02 -2.352832556123764221e+02
2.750125316335046977e-01 4.024844457888779289e+03 9.378103448568118665e+02 6.266328317725460693e+02
2.850268767522777247e-01 3.658391130575198531e+03 1.872581544446828445e+02 2.311585846311356818e+02
2.950518370782995170e-01 3.570672335716240013e+03 6.132697673441921893e+01 3.358088298413376265e+02
3.050598785237039201e-01 3.272372190638066513e+03 1.628115779532791692e+02 4.149529294672651645e+02
3.149891282510617896e-01 3.219293502338499366e+03 -2.457934678193180673e+02 1.799005976000114231e+02
3.250378543403918408e-01 2.943986053508301666e+03 -4.610026255287572639e+01 5.312577540962968214e+02
3.350921905511756727e-01 2.902751986355864119e+03 -1.850108495556641515e+02 1.437069425718873390e+02
3.450583920673765403e-01 2.696458617296958892e+03 -1.852805083844508829e+02 6.282493481828252015e+02
3.550603814031398353e-01 2.586837934787161885e+03 -2.808539242092923018e+02 4.929063488627759284e+02
3.650295193761547985e-01 2.406271606643914765e+03 -9.902309550152664031e+01 3.801886541911538302e+02
3.750721319789716013e-01 2.334642177581012675e+03 -2.986608157846187055e+02 7.367192674244562340e+02
3.850647225683226926e-01 2.209173648968734597e+03 -3.347206154397231330e+02 4.855276576457968076e+02
3.950397195426937902e-01 2.137865688318684079e+03 -5.402778170557808153e+02 7.851136846480605982e+02
