# k     P0     P2     P4
7.596226439940963193e-03 5.547700788114713214e+04 -2.667930009567995512e+04 -2.648127516675737570e+04
1.659868239673395474e-02 7.656789469462525449e+04 -1.044284002186006728e+04 4.482984647333718021e+04
2.586445571658949061e-02 6.086388319175928336e+04 6.837235860360448714e+04 1.752380420852719908e+04
3.529679080118813123e-02 5.050119870949715551e+04 1.418233628325649806e+04 2.328714444942450064e+04
4.513097249486092838e-02 4.073004052971213241e+04 4.097518218241820250e+03 -1.792957499071622442e+04
5.555287263739271814e-02 3.111932974232160268e+04 1.173119940441829203e+04 5.397923482772765965e+03
6.539609890328550168e-02 3.237329992362732446e+04 1.947758021794524393e+04 -1.209118961669885039e+03
7.523296824326296262e-02 2.710083551793650258e+04 1.146429702843486848e+04 3.525029164298418891e+03
8.527687181306611852e-02 2.157763205078383544e+04 7.431914026703374475e+03 -6.116796538090606191e+03
9.513028795734808363e-02 1.859674731833214901e+04 5.333226756458331693e+03 -6.652131891307362821e+02
1.052419169308068114e-01 1.601809709028753423e+04 7.626948303436580318e+03 5.822949341951823499e+02
1.151206315801793084e-01 1.399049808295225557e+04 5.280038209613778236e+03 5.677791091546997677e+02
1.250947617314616955e-01 1.329612406191056107e+04 3.604492735979539702e+03 3.992699145374335217e+02
1.351558649161049008e-01 1.210959607478080579e+04 3.886142698218728128e+03 -2.161348438633872604e+02
1.451183454374788129e-01 1.031857866730847309e+04 4.090872293598098167e+03 -2.573998267272721137e+02
1.550676819167363107e-01 9.669043345725567633e+03 2.698835948604062196e+03 1.427757821489865592e+03
1.650358619116154280e-01 8.791176817545492668e+03 2.807835177513627968e+03 -5.408059487617119885e+02
1.750550317171022108e-01 8.005125890406606231e+03 2.712601726559888903e+03 -5.077297389893467994e+02
1.850940319178256133e-01 7.620064775068624840e+03 1.983198133175081921e+03 4.996109482098461285e+02
1.950992563317044959e-01 6.979354212647181157e+03 1.452816659884437286e+03 -3.414617819040584834e+01
2.050639155099631683e-01 6.419515769977373566e+03 1.511907851387475830e+03 -1.767308990726068600e+02
2.150231926675145733e-01 5.670643928343478365e+03 1.690826601896782222e+03 1.881967554185156288e+01
2.250205649738905578e-01 5.374651587842983645e+03 1.255828835088100504e+03 7.775998631406255299e+02
2.351001630702950762e-01 5.031359732256584721e+03 8.771728075510958433e+02 3.803299486930911826e+02
2.450738815386879488e-01 4.735163014172030671e+03 7.875958954076761529e+02 3.862690943625441946e+02
2.550521831857248123e-01 4.565929847076102305e+03 3.177993217799207741e+02 5.310695494952240097e+02
2.650604099034581385e-01 4.237460924954702932e+03 1.592922815215767116e+02 -2.555474495324494342e+02
2.750125316335046977e-01 3.931354313330723471e+03 4.554917014971065328e+02 3.830092408052540804e+02
2.850268767522777802e-01 3.703011945428937452e+03 8.150198415247474770e+01 8.567163407468572700e+01
2.950518370782994060e-01 3.503427438210067066e+03 2.358936581055287149e+02 3.846908648901787728e+02
3.050598785237040311e-01 3.244606142122788242e+03 -9.660636266451936649e+01 3.813635553786887726e+02
3.149891282510618451e-01 3.283507833928764740e+03 -9.242803411107220768e+01 -1.652875268132787312e+01
3.250378543403917853e-01 3.011232400339168635e+03 8.935175953095971124e+01 6.618168434168667318e+02
3.350921905511756727e-01 2.978620878197637921e+03 -1.327622586686728425e+02 1.045315902367934200e+02
3.450583920673765959e-01 2.715135431788668029e+03 -1.811014678627963121e+02 4.302665058606264665e+02
3.550603814031397243e-01 2.543972579968587979e+03 -1.977100421497090110e+02 2.821153727936260225e+02
3.650295193761548540e-01 2.476716809382418887e+03 -3.984972218264537673e+02 2.195341006085734534e+02
3.750721319789716013e-01 2.393699287065780027e+03 -3.469032187027785881e+02 6.508948976034611178e+02
3.850647225683226371e-01 2.320474145163557296e+03 -3.484607272728090379e+02 4.211278295369810962e+02
3.950397195426939012e-01 2.163970354960401892e+03 -2.595968604081532476e+02 5.204123643462561404e+02
