# k     P0     P2     P4
7.596226439940963193e-03 3.251710771660240061e+04 1.355525242746389995e+04 -3.406041965395121952e+04
1.659868239673395474e-02 4.912976578498672461e+04 3.200125300540253011e+04 3.231198825577920070e+04
2.586445571658948714e-02 3.778604358562798006e+04 2.138320326974155978e+04 1.883530164787758622e+03
3.529679080118813123e-02 3.206970258687044043e+04 1.969247983060532715e+04 1.350865138924068015e+04
4.513097249486092838e-02 2.580087666325192549e+04 1.310522949838698878e+04 -6.982367882589060173e+03
5.555287263739271814e-02 1.986703029155953482e+04 1.089052050971984136e+04 1.786439670508406607e+03
6.539609890328550168e-02 1.982189767222147202e+04 1.000879050844486846e+04 -2.078305658368242803e+03
7.523296824326296262e-02 1.641837001503245483e+04 8.638028339125687125e+03 2.609450026960284958e+03
8.527687181306613240e-02 1.318277425683768706e+04 6.481930893746684887e+03 -1.915540865535339435e+03
9.513028795734808363e-02 1.141904311017475811e+04 5.688407042996818745e+03 1.195754904241536138e+02
1.052419169308068114e-01 9.562916544983367203e+03 4.820158638935702584e+03 4.349898627773200133e+02
1.151206315801793084e-01 8.554867685339553645e+03 4.100712156741362378e+03 3.939933485535942168e+02
1.250947617314616955e-01 7.847835184515824039e+03 3.622804043107642428e+03 6.155018241687567979e+02
1.351558649161048731e-01 6.976896766237424345e+03 3.171335663055729583e+03 3.078000862070931021e+02
1.451183454374788129e-01 6.114976542990566486e+03 2.686702589044403794e+03 1.644242884009586021e+02
1.550676819167362830e-01 5.525777520743035893e+03 2.407531306905757901e+03 5.768139117374795433e+02
1.650358619116154280e-01 5.010024645783444612e+03 2.041083889326204144e+03 -1.431575407570194329e+02
1.750550317171022385e-01 4.551437277126748995e+03 1.844888215659231946e+03 1.387166129495996643e+02
1.850940319178256133e-01 4.311520302019742303e+03 1.615264940306562494e+03 2.444065345165996348e+02
1.950992563317045236e-01 3.940746014744403965e+03 1.365819356610221575e+03 5.440918611154078377e+01
2.050639155099631961e-01 3.552472084360162171e+03 1.196741363665171548e+03 2.998468685122260879e+01
2.150231926675145733e-01 3.262664187765647512e+03 1.134657339815204068e+03 1.115593407806014881e+02
2.250205649738905578e-01 2.980468209219601249e+03 9.431976256788367436e+02 3.041029172433234748e+02
2.351001630702950485e-01 2.779488607473726006e+03 7.677571378558218385e+02 1.909609529050635786e+02
2.450738815386879210e-01 2.561486720088037146e+03 6.935711022535016355e+02 1.332770922295647154e+02
2.550521831857248123e-01 2.454626719071611660e+03 6.253250356742801159e+02 2.796509191139969062e+02
2.650604099034580829e-01 2.296936541434025003e+03 4.905608526747068368e+02 7.612997869435297105e+01
2.750125316335046977e-01 2.114512448974101062e+03 4.353882325331100560e+02 1.935932079361265323e+02
2.850268767522777247e-01 1.968321671401776030e+03 3.709319227863005040e+02 1.729250268541341029e+02
2.950518370782994615e-01 1.908061308059108342e+03 3.062822545777106029e+02 2.204432394747940123e+02
3.050598785237039756e-01 1.751382790730856868e+03 2.381137382513365992e+02 2.231948895393576038e+02
3.149891282510617896e-01 1.679496183921741476e+03 1.853534351083061438e+02 2.212831193649983845e+02
3.250378543403917853e-01 1.560232842656370167e+03 1.673141603835424291e+02 2.016672428409500810e+02
3.350921905511756727e-01 1.525585905283220882e+03 7.857568485975777151e+01 1.412622610096278777e+02
3.450583920673765959e-01 1.411236303970115841e+03 6.573289845641589579e+01 2.084774372633090991e+02
3.550603814031397243e-01 1.325214091724871878e+03 3.249367318734120857e+01 1.550634017072889321e+02
3.650295193761547985e-01 1.265029050228371261e+03 -6.899617266295147155e-01 1.935802896708424043e+02
3.750721319789716013e-01 1.206491039904513173e+03 -3.771178866269743679e+01 2.400727472651550727e+02
3.850647225683226371e-01 1.135502274781373671e+03 -5.733653736589507588e+01 2.400902310478301445e+02
3.950397195426938457e-01 1.103406039702938187e+03 -8.190379880413415492e+01 2.626954593305247840e+02
