# k     P0     P2     P4
7.596226439940963193e-03 3.333266672538995772e+04 2.857934418383713273e+04 -3.104957308453942005e+03
1.659868239673395474e-02 5.091727126753190532e+04 4.935780456875901291e+04 3.336833355758017569e+04
2.586445571658948367e-02 3.697062226346342504e+04 1.177426029449493944e+04 -5.974397979945526458e+03
3.529679080118813123e-02 3.156176028465945637e+04 1.312562204389726139e+04 5.612766571458376347e+03
4.513097249486092838e-02 2.609088725650174456e+04 1.805795228422454238e+04 -5.431964100769071592e+03
5.555287263739271814e-02 2.010798568752616484e+04 1.345270840984186179e+04 2.157004204179999306e+03
6.539609890328550168e-02 1.976591630007430285e+04 9.687850727482906223e+03 -3.479802793775346800e+03
7.523296824326296262e-02 1.634183349998169797e+04 7.809731523296315572e+03 3.079308485684187872e+03
8.527687181306611852e-02 1.331208818223798517e+04 7.315035404170669608e+03 -1.860757329215876098e+03
9.513028795734809751e-02 1.146088169689101596e+04 5.369200942096069411e+03 1.088711371218654023e+02
1.052419169308068114e-01 9.521312330014265171e+03 4.433901005182328845e+03 -1.110634637550613135e+01
1.151206315801793084e-01 8.612958377984909021e+03 4.265101598153425584e+03 1.567173145873267231e+03
1.250947617314616955e-01 7.852980770528311950e+03 3.854778384516971073e+03 5.670754351365183084e+02
1.351558649161049008e-01 6.904599746653310831e+03 2.767711704903185364e+03 2.712259745694767616e+02
1.451183454374788129e-01 6.118809521642822801e+03 2.473189558531745661e+03 2.388373562973202411e+02
1.550676819167363107e-01 5.493216535644266514e+03 2.288721712811610359e+03 6.388303432532374018e+02
1.650358619116154280e-01 4.968032757331415269e+03 1.882405074475936544e+03 -5.178158962270912014e+01
1.750550317171022385e-01 4.570943328707305227e+03 1.737572605686207453e+03 2.905312588431029894e+02
1.850940319178256133e-01 4.306969422896391734e+03 1.712441892358996483e+03 2.586182704270817112e+02
1.950992563317044959e-01 3.923074895493793065e+03 1.392945230982933936e+03 3.052359467004721694e+01
2.050639155099631683e-01 3.536977700329431173e+03 1.171296547129403507e+03 1.206478525054119615e+02
2.150231926675145733e-01 3.242671600077174844e+03 9.940564786416153993e+02 3.585252359645750175e+02
2.250205649738905578e-01 2.977873699283164569e+03 9.994956269007666378e+02 3.238859973054399006e+02
2.351001630702950485e-01 2.791291044546656394e+03 7.464371645330728597e+02 1.642550437568036159e+02
2.450738815386878933e-01 2.538050337518931883e+03 6.269602033645115853e+02 3.943602326472724684e+01
2.550521831857248123e-01 2.457816011612464536e+03 6.232937800946845073e+02 3.490388810892750939e+02
2.650604099034581385e-01 2.292353871126899321e+03 4.447911184976361483e+02 7.887812738319104255e+01
2.750125316335046977e-01 2.108509584008204456e+03 3.335908929143424757e+02 1.256470034264026623e+02
2.850268767522777802e-01 1.971652199019851651e+03 4.047936972882754390e+02 1.769262851330111914e+02
2.950518370782994615e-01 1.910953559406536215e+03 3.326133129860226632e+02 1.992039532881477726e+02
3.050598785237039756e-01 1.749535364542555044e+03 2.262592137465319411e+02 2.695162417536340058e+02
3.149891282510617896e-01 1.664907755765693992e+03 1.700300913125722673e+02 2.743845333589968618e+02
3.250378543403918408e-01 1.564226962163001417e+03 1.678804674494136577e+02 1.916613458595377608e+02
3.350921905511756727e-01 1.515011060318544196e+03 1.125134615716367961e+02 1.232043912683998599e+02
3.450583920673765959e-01 1.407127982637725836e+03 2.622382439813381438e+01 1.995718160224608653e+02
3.550603814031397243e-01 1.336425677505689691e+03 5.224790735254303797e+01 1.605529403412163845e+02
3.650295193761547985e-01 1.256978527957169490e+03 -3.467118953230723832e+01 1.274147206159478145e+02
3.750721319789716013e-01 1.190988614430998268e+03 -2.732523502303030227e+01 1.751111640281654616e+02
3.850647225683226926e-01 1.137182077050774524e+03 -5.835783600291664186e+01 2.422577439757487241e+02
3.950397195426938457e-01 1.096570576988488256e+03 -5.390804780106267913e+01 2.834905419558037920e+02
