# k     P0     P2     P4
7.596226439940963193e-03 3.108246155361122510e+04 -2.855494136938812517e+03 -3.096245141584399971e+04
1.659868239673395474e-02 4.624537201306988572e+04 2.702211366664088473e+03 3.163724785117174179e+04
2.586445571658949061e-02 4.023174875872945995e+04 4.675048812636060029e+04 8.793094704724529947e+03
3.529679080118813123e-02 3.162635181624397956e+04 1.518143135020481532e+04 1.502441535427483905e+04
4.513097249486092838e-02 2.521510608544981733e+04 5.847744818867799040e+03 -1.065797919782980352e+04
5.555287263739271814e-02 1.967235974280683149e+04 9.237882720744564722e+03 2.888302665909306143e+03
6.539609890328550168e-02 2.021607639761182509e+04 1.420055726855604007e+04 -5.191897982903160482e+02
7.523296824326296262e-02 1.654110552908973477e+04 9.791646592771958240e+03 2.743053177245577444e+03
8.527687181306611852e-02 1.314241367894354153e+04 5.982631777688010516e+03 -2.786165747922766059e+03
9.513028795734808363e-02 1.137870774105351666e+04 5.435886785706728006e+03 3.957743336084297425e+02
1.052419169308068114e-01 9.631761380088088117e+03 5.145005730733709242e+03 4.389209643833865471e+02
1.151206315801793084e-01 8.486737121566704445e+03 4.127449582118860235e+03 4.172831071060197701e+02
1.250947617314616955e-01 7.822313762080352717e+03 3.180612899803205437e+03 5.734527326278185910e+02
1.351558649161049008e-01 6.999661318638636658e+03 3.529462469955153210e+03 2.428524752447694368e+02
1.451183454374788129e-01 6.106855878096515880e+03 2.870611401369934356e+03 1.864504035486715452e+02
1.550676819167363107e-01 5.541748269635412726e+03 2.433163338599202689e+03 7.160267871814455702e+02
1.650358619116154280e-01 5.048276499414745558e+03 2.258831128319116488e+03 -2.264868121177436819e+02
1.750550317171022108e-01 4.532400292044311755e+03 2.196131251123468701e+03 1.184125805617387783e+02
1.850940319178256133e-01 4.304616776120560644e+03 1.517298038101368547e+03 3.279808725768811541e+02
1.950992563317044959e-01 3.916664077924267986e+03 1.147918194906063491e+03 -5.991737943662148780e+01
2.050639155099631683e-01 3.567234864427005505e+03 1.251898735174207559e+03 1.215004266318624957e+02
2.150231926675145733e-01 3.276204257213152232e+03 1.222534561693733167e+03 -3.589027121788136299e+01
2.250205649738905578e-01 2.997127703531180487e+03 9.983843585178710782e+02 2.980732537149398240e+02
2.351001630702950762e-01 2.747762609263391369e+03 7.490736544352425881e+02 1.791210337797261900e+02
2.450738815386879488e-01 2.584547987409147936e+03 7.416515564604121664e+02 2.090646308315456281e+02
2.550521831857248123e-01 2.465833797409076851e+03 6.155329791066911866e+02 2.917880346895553316e+02
2.650604099034581385e-01 2.303660000360287086e+03 4.555762192543522815e+02 7.705252463010185693e+01
2.750125316335046977e-01 2.103030536750085957e+03 4.650815535085824877e+02 2.266183883762445817e+02
2.850268767522777802e-01 1.979824043756250603e+03 3.133412453381409932e+02 1.316843377164215099e+02
2.950518370782994060e-01 1.895759608272760261e+03 3.196464698356546137e+02 2.066295886474949839e+02
3.050598785237040311e-01 1.742996260396345406e+03 2.174365304001417769e+02 2.030976662601669034e+02
3.149891282510618451e-01 1.693206704553678492e+03 2.312930672896115993e+02 1.953922029717558644e+02
3.250378543403917853e-01 1.572164465111535264e+03 1.865193198558803545e+02 1.976506993817356488e+02
3.350921905511756727e-01 1.529164946741419499e+03 9.866069336873702866e+01 1.676233157932765039e+02
3.450583920673765959e-01 1.416876368624850556e+03 1.237438081558175327e+02 1.900722037298281748e+02
3.550603814031397243e-01 1.313265274705389174e+03 2.151096724100192503e+01 1.315332422918226598e+02
3.650295193761548540e-01 1.278438312525969422e+03 5.184852492821468317e+00 2.184168319445618920e+02
3.750721319789716013e-01 1.219531728706236891e+03 -2.743453552784842486e+01 2.770715636140600395e+02
3.850647225683226371e-01 1.142609073844963859e+03 -3.122186870756874555e+01 2.143810229939188901e+02
3.950397195426939012e-01 1.101856859867680214e+03 -5.154871727032537621e+01 2.416903094291594130e+02
