# k     P0     P2     P4
7.596226439940963193e-03 3.313619487080601539e+04 1.494190723549337781e+04 -6.811385023755571456e+04
1.659868239673395474e-02 5.022665407435839006e+04 4.394374308078450122e+04 3.193038335858568098e+04
2.586445571658948367e-02 3.615575973469106248e+04 5.624861388369133238e+03 2.831893769584271922e+03
3.529679080118813123e-02 3.302099565970788535e+04 3.077038609771390475e+04 1.988877224198882686e+04
4.513097249486092838e-02 2.609663664780421095e+04 1.540999139206863038e+04 -4.857160349168306311e+03
5.555287263739271814e-02 1.982074544434560812e+04 9.980970398573095736e+03 3.140121414359144296e+02
6.539609890328550168e-02 1.948370031897828449e+04 6.137963529295660010e+03 -2.235924383039065560e+03
7.523296824326296262e-02 1.637217101602593175e+04 8.312706901308789384e+03 2.005988417951090014e+03
8.527687181306611852e-02 1.309382090933153631e+04 6.148125499381372720e+03 -1.099699519467376376e+03
9.513028795734808363e-02 1.141753989257974354e+04 6.260133401187657910e+03 -1.459189994578342748e+02
1.052419169308068114e-01 9.535675924847746501e+03 4.881569180891068754e+03 8.771549703240797271e+02
1.151206315801793223e-01 8.564907556467045652e+03 3.909585289951799496e+03 -8.024762073185044073e+02
1.250947617314616955e-01 7.868211020938805632e+03 3.833020845002750775e+03 7.059773047419334944e+02
1.351558649161048453e-01 7.026429233420327364e+03 3.216832814308848356e+03 4.093218088070332215e+02
1.451183454374788406e-01 6.119264229232360776e+03 2.716306807231531366e+03 6.798510535688402001e+01
1.550676819167362830e-01 5.542367756949428440e+03 2.500708869306462020e+03 3.755846047777558283e+02
1.650358619116154280e-01 5.013764680604172099e+03 1.982015465183558945e+03 -1.512042205306054825e+02
1.750550317171022385e-01 4.550968210628631823e+03 1.600960790168020139e+03 7.205999443957257000e+00
1.850940319178256133e-01 4.322974707042274531e+03 1.616054890459322678e+03 1.466204605458360106e+02
1.950992563317045236e-01 3.982499070815150390e+03 1.556594643941667300e+03 1.926213431011966293e+02
2.050639155099632516e-01 3.553203688324049836e+03 1.167028808691903350e+03 -1.521942185836066415e+02
2.150231926675145733e-01 3.269116706006614550e+03 1.187380979110263297e+03 1.204305759511084872e+01
2.250205649738905578e-01 2.966403224844458691e+03 8.317128916178726286e+02 2.903495007095906999e+02
2.351001630702950485e-01 2.799412168611129800e+03 8.077605945991498402e+02 2.295067811786609866e+02
2.450738815386878933e-01 2.561861835336031618e+03 7.121015469355812684e+02 1.513306225924212924e+02
2.550521831857248123e-01 2.440230348193294503e+03 6.371483478214646539e+02 1.981258415631603214e+02
2.650604099034580274e-01 2.294795752814888147e+03 5.713152202721320236e+02 7.245928406976599945e+01
2.750125316335046977e-01 2.131997226164012318e+03 5.074922511764051478e+02 2.285142320057323673e+02
2.850268767522777247e-01 1.953488771429225153e+03 3.946608257324851365e+02 2.101644577129695222e+02
2.950518370782995170e-01 1.917470756498028322e+03 2.665869809114545887e+02 2.554961764887392803e+02
3.050598785237039201e-01 1.761616747253669928e+03 2.706454706073361081e+02 1.969707606042717885e+02
3.149891282510617896e-01 1.680374091445852173e+03 1.547371467227345931e+02 1.940726217642424842e+02
3.250378543403918408e-01 1.544307100694574274e+03 1.475426938453332184e+02 2.156896832815768619e+02
3.350921905511756727e-01 1.532581708789698496e+03 2.455289963889951466e+01 1.329590759672072124e+02
3.450583920673765403e-01 1.409704560647770904e+03 4.723106281529631900e+01 2.357882920376382003e+02
3.550603814031398353e-01 1.325951322963536313e+03 2.372214496847867693e+01 1.731040224888278374e+02
3.650295193761547985e-01 1.259670310201975099e+03 2.741645185959722397e+01 2.349093164520175776e+02
3.750721319789716013e-01 1.208952776576304359e+03 -5.837559543721357613e+01 2.680355141532397738e+02
3.850647225683226926e-01 1.126715673448382177e+03 -8.242990738719983312e+01 2.636319261738229329e+02
3.950397195426937902e-01 1.111790682252646093e+03 -1.402546313410144307e+02 2.629055266066110903e+02
