# k     P0     P2     P4
7.596226439940963193e-03 1.910847830522368167e+04 9.801947604837880135e+03 -2.475836136761785019e+04
1.659868239673395474e-02 3.040081646488166371e+04 2.453084782620862825e+04 2.175562951156793497e+04
2.586445571658948714e-02 2.528096276768493044e+04 1.688811023943220789e+04 -1.623398059226491341e+03
3.529679080118813123e-02 2.078928295368851468e+04 1.554142142908547976e+04 8.843427490838306767e+03
4.513097249486092838e-02 1.635010855423436988e+04 1.020843596899714430e+04 -4.299448378951809900e+03
5.555287263739271814e-02 1.268904951719520068e+04 8.558916118396560705e+03 1.712176383322849460e+03
6.539609890328550168e-02 1.251172898270392034e+04 7.753337202686768251e+03 -1.616233603959395396e+03
7.523296824326296262e-02 1.040522351878686095e+04 6.839413893891468433e+03 1.910965675528367910e+03
8.527687181306613240e-02 8.458696286012931523e+03 5.218629919016406348e+03 -7.877003630552335380e+02
9.513028795734808363e-02 7.256472587330234091e+03 4.497354559957851961e+03 -3.396070733001275244e+01
1.052419169308068114e-01 5.999139421341843445e+03 3.764890050262907607e+03 1.824109982761592619e+02
1.151206315801793223e-01 5.454196180815079970e+03 3.306998604050148515e+03 5.592079103137888296e+02
1.250947617314616955e-01 4.918803163048347415e+03 2.899613646624729427e+03 3.810976398440819253e+02
1.351558649161048731e-01 4.375164949805127435e+03 2.556621141697346957e+03 2.396001734257204419e+02
1.451183454374788129e-01 3.792187929611839991e+03 2.222958492743659463e+03 1.656256736665534390e+02
1.550676819167363107e-01 3.375129894542830243e+03 1.945337417464945247e+03 2.659132752977948826e+02
1.650358619116154280e-01 3.075099067859235674e+03 1.717112663838052640e+03 1.617292015447019438e+01
1.750550317171022385e-01 2.784482906362281938e+03 1.530348198796184988e+03 1.873443523324665705e+02
1.850940319178256133e-01 2.612458474812336590e+03 1.398270676115938159e+03 1.444242642085175135e+02
1.950992563317045236e-01 2.368669733106676631e+03 1.217304906084599679e+03 9.580175114766313982e+01
2.050639155099631961e-01 2.152017501787805941e+03 1.054490311723186323e+03 7.143845150345985928e+01
2.150231926675145733e-01 2.002653095395434320e+03 1.014910564263256788e+03 -5.947242326747044672e+00
2.250205649738905578e-01 1.823811293687304669e+03 8.867426067895934239e+02 1.873756098192076252e+02
2.351001630702950485e-01 1.681385237307340503e+03 7.804330963435031663e+02 9.927821438897844075e+01
2.450738815386879210e-01 1.562165307218711632e+03 6.937451432945196075e+02 8.231419955031515201e+01
2.550521831857248123e-01 1.484384196365576599e+03 6.968348523877857588e+02 1.243958473012861106e+02
2.650604099034580829e-01 1.390832895315895939e+03 5.846950204698943026e+02 2.925375147513799945e+01
2.750125316335046977e-01 1.279936379677394825e+03 5.193563560588247583e+02 1.366153206993985521e+02
2.850268767522777802e-01 1.190400990721212111e+03 4.850460000739940369e+02 4.567865330701440030e+01
2.950518370782994615e-01 1.136799228045619884e+03 4.438516514682239062e+02 1.151010004652317207e+02
3.050598785237039756e-01 1.050781053491796683e+03 3.878985975100604264e+02 7.099911149168549684e+01
3.149891282510617896e-01 9.984141743776948488e+02 3.481763428452829885e+02 6.771207423278046633e+01
3.250378543403918408e-01 9.442846803527785369e+02 3.308732861803289893e+02 7.066858145341497277e+01
3.350921905511756727e-01 8.931482337980072543e+02 2.740733829107202837e+02 4.744978561282431428e+01
3.450583920673765959e-01 8.394218026299591884e+02 2.556226829614143981e+02 7.612842436695081005e+01
3.550603814031397243e-01 7.976115371968147656e+02 2.274095909386793153e+02 7.068496494623023807e+01
3.650295193761547985e-01 7.561940459474127465e+02 2.077132637247209459e+02 7.303482901470857769e+01
3.750721319789716013e-01 7.118615150330365395e+02 1.869008133090858337e+02 8.056649484994095189e+01
3.850647225683226371e-01 6.812760751718925576e+02 1.664179390083452574e+02 5.860049573136100065e+01
3.950397195426938457e-01 6.540385864405192251e+02 1.453054828191444585e+02 8.496587863166766397e+01
