# k     P0     P2     P4
7.596226439940963193e-03 1.894897535143728965e+04 9.957808744529071191e+03 7.676442558548452325e+03
1.659868239673395474e-02 3.173884014250167820e+04 3.429374528827772883e+04 2.017837745759119571e+04
2.586445571658948367e-02 2.461131239318114967e+04 1.105144841521531816e+04 -6.102533277079161053e+03
3.529679080118813123e-02 2.037781607542458732e+04 1.117761656378894440e+04 3.369771706369452659e+03
4.513097249486092838e-02 1.654759963809913825e+04 1.251267659069980436e+04 -3.416640348066191109e+03
5.555287263739271814e-02 1.286167521191990636e+04 9.957832532467135024e+03 2.938805552957600867e+03
6.539609890328550168e-02 1.251370617983803822e+04 7.651159819792382223e+03 -2.887161364914885326e+03
7.523296824326296262e-02 1.035097548883913623e+04 6.619055540239784932e+03 2.262239653178320623e+03
8.527687181306611852e-02 8.525257003745640759e+03 5.537734825795615507e+03 -1.019968829479698229e+03
9.513028795734809751e-02 7.265500138978742143e+03 4.108093281786397711e+03 -8.165161330292670527e+01
1.052419169308068114e-01 5.980806384812780379e+03 3.573033340535666412e+03 1.374378142589712226e+01
1.151206315801793084e-01 5.485097017222118666e+03 3.472721676397912688e+03 1.296045260144821441e+03
1.250947617314616955e-01 4.901886365904091690e+03 2.813396093087091231e+03 3.016562083620368071e+02
1.351558649161049008e-01 4.336066327190209449e+03 2.272779728989241903e+03 1.224247805904820439e+02
1.451183454374788129e-01 3.784643653751635611e+03 2.219971057106069566e+03 2.457896533030890396e+02
1.550676819167363107e-01 3.366926913805656113e+03 1.996962688083799776e+03 2.841927163752395131e+02
1.650358619116154280e-01 3.041587345877710504e+03 1.528542094051981849e+03 -1.863250881604500009e+01
1.750550317171022385e-01 2.789285613911104974e+03 1.399818061409948314e+03 2.187984480878352826e+02
1.850940319178256133e-01 2.636067213890582934e+03 1.528044724510634296e+03 1.797310977937702603e+02
1.950992563317044959e-01 2.346989035344226977e+03 1.214254528084471985e+03 1.051479209210362598e+02
2.050639155099631683e-01 2.156533678329110899e+03 1.025590138688985917e+03 1.669224652309520138e+02
2.150231926675145733e-01 1.991208653783558248e+03 9.772796845840039168e+02 1.040173173040856227e+02
2.250205649738905578e-01 1.819155186506947757e+03 8.891810131869375482e+02 1.958550553692505503e+02
2.351001630702950485e-01 1.688619686763683148e+03 7.757883871158256852e+02 4.984245344291196744e+01
2.450738815386878933e-01 1.546990444272023979e+03 6.059794551576443382e+02 9.961592874349865667e+01
2.550521831857248123e-01 1.488702071358440207e+03 6.979691924064661634e+02 1.025129872559334387e+02
2.650604099034581385e-01 1.392576791527796331e+03 6.129144197421948093e+02 6.435240341391756047e+00
2.750125316335046977e-01 1.270370373943468849e+03 4.725640715307527557e+02 8.009499342672950206e+01
2.850268767522777802e-01 1.188318928426950379e+03 4.783899840277694011e+02 3.694018201923735489e+01
2.950518370782994615e-01 1.142365175166881727e+03 4.648650359682155795e+02 1.360174061801146479e+02
3.050598785237039756e-01 1.047650627043266240e+03 3.871627091098548590e+02 8.642676112536561561e+01
3.149891282510617896e-01 9.932563506035359069e+02 3.661631679513502036e+02 7.137222126850851112e+01
3.250378543403918408e-01 9.433048048440280127e+02 3.091584741680215416e+02 7.182098500664363883e+01
3.350921905511756727e-01 8.980396414716100253e+02 2.782399345478250439e+02 3.781269755010013256e+01
3.450583920673765959e-01 8.369118976511773553e+02 2.579168184392453895e+02 7.955502703792350871e+01
3.550603814031397243e-01 8.002937952455981758e+02 2.638626125321747509e+02 7.537771287578632950e+01
3.650295193761547985e-01 7.497312634204871529e+02 2.145723207928574254e+02 7.601215223877743199e+01
3.750721319789716013e-01 7.060266029062318012e+02 1.853477662232198497e+02 7.063768804856540839e+01
3.850647225683226926e-01 6.807586461538028288e+02 1.673061768796031288e+02 6.971362619800913762e+01
3.950397195426938457e-01 6.544773753453810059e+02 1.559512838400540886e+02 9.826215471814431623e+01
