# k     P0     P2     P4
7.596226439940963193e-03 1.959899111366559009e+04 1.163757311879506233e+04 -4.582785823600710864e+04
1.659868239673395474e-02 3.133031494229554301e+04 3.376415662783716107e+04 2.703961398746995837e+04
2.586445571658948367e-02 2.406114268369782076e+04 6.024521668501954991e+03 -1.243395911017410299e+03
3.529679080118813123e-02 2.152065724711988514e+04 2.256254701569121244e+04 1.308360620364674833e+04
4.513097249486092838e-02 1.655615190963893838e+04 1.149767406444653898e+04 -3.248414444768922294e+03
5.555287263739271814e-02 1.264862980781129045e+04 8.079769695204103300e+03 4.655956818586473389e+01
6.539609890328550168e-02 1.225426351235437505e+04 5.390392183233145261e+03 -1.545808792865148007e+03
7.523296824326296262e-02 1.036549509310428402e+04 6.136566300141889769e+03 1.567487419043551654e+03
8.527687181306611852e-02 8.393713108614869270e+03 4.886178264778973244e+03 -5.492128164258948573e+02
9.513028795734808363e-02 7.233658114819042567e+03 4.564005275249031001e+03 -1.593664039682257396e+02
1.052419169308068114e-01 5.999361254033557998e+03 3.888852504864626553e+03 1.203712523545922153e+02
1.151206315801793223e-01 5.467236178730854590e+03 3.347367826366663394e+03 -1.864285833326945863e+02
1.250947617314616955e-01 4.919497723081495678e+03 3.041416960252285662e+03 3.681245029828901920e+02
1.351558649161048453e-01 4.358841477034414311e+03 2.326503607714571444e+03 3.760088836712009766e+02
1.451183454374788406e-01 3.806995149396043871e+03 2.246610964818333287e+03 1.184014519884770351e+02
1.550676819167362830e-01 3.365091799219460427e+03 1.869118312433630990e+03 1.611277155523629006e+02
1.650358619116154280e-01 3.085736801461466712e+03 1.808777160464324652e+03 2.953245047419888181e+01
1.750550317171022385e-01 2.778096741551271407e+03 1.444795320213447667e+03 -1.655971087489444571e+01
1.850940319178256133e-01 2.597825066541868637e+03 1.324733992354186967e+03 1.292159983001179739e+02
1.950992563317045236e-01 2.402406129274380419e+03 1.298545782413510551e+03 1.025585174640594204e+02
2.050639155099632516e-01 2.140379741569193811e+03 9.899393265665280524e+02 -5.630598489463583434e+01
2.150231926675145733e-01 2.014227542475259725e+03 1.019734604007027428e+03 -7.644239259885121385e+01
2.250205649738905578e-01 1.818993068773060259e+03 8.337005671259772726e+02 1.935657256413554137e+02
2.351001630702950485e-01 1.682431430418138461e+03 7.830854589806397144e+02 1.396502790712931130e+02
2.450738815386878933e-01 1.560167980988470163e+03 7.120028091225939306e+02 2.398236703974369632e+01
2.550521831857248123e-01 1.475509523154307772e+03 6.789310950159273261e+02 7.952366511450134112e+01
2.650604099034580274e-01 1.390913599694298910e+03 5.727684734100689639e+02 7.080754379877164162e+00
2.750125316335046977e-01 1.284582555902163222e+03 5.506472000180759778e+02 1.543899770584206692e+02
2.850268767522777247e-01 1.191374631479365007e+03 5.082508080477061867e+02 3.959002996162737276e+01
2.950518370782995170e-01 1.131603396735674778e+03 4.167171034949532782e+02 1.225285005872678568e+02
3.050598785237039201e-01 1.054035352509202312e+03 3.832793161686829535e+02 4.927154801901846781e+01
3.149891282510617896e-01 9.974185583746572092e+02 3.322571852643245620e+02 7.509592814212702194e+01
3.250378543403918408e-01 9.378916429076764416e+02 3.260921090252564909e+02 6.400701599150201559e+01
3.350921905511756727e-01 8.944799490876564505e+02 2.506232083216250146e+02 4.812806451267355357e+01
3.450583920673765403e-01 8.400804982901207723e+02 2.339035668365455933e+02 5.717093395030563840e+01
3.550603814031398353e-01 8.005074616614532488e+02 2.028472286511500897e+02 6.449257787572000211e+01
3.650295193761547985e-01 7.588929245961054448e+02 2.111851960501879546e+02 7.582159306766617135e+01
3.750721319789716013e-01 7.105814002654936985e+02 1.669838416683731452e+02 8.137885203022399594e+01
3.850647225683226926e-01 6.792317078764895086e+02 1.480582004963596319e+02 3.828988179795850755e+01
3.950397195426937902e-01 6.540843511737999734e+02 1.421641580995803622e+02 8.439777961835879694e+01
