# k     P0     P2     P4
7.596226439940963193e-03 1.877746845056816528e+04 7.810460951189508705e+03 -3.612366842539488425e+04
1.659868239673395474e-02 2.813329430984776627e+04 5.534641562510988479e+03 1.804889708964265083e+04
2.586445571658949061e-02 2.717043322617581362e+04 3.358836063457935234e+04 2.475735010417097328e+03
3.529679080118813123e-02 2.046937553852106794e+04 1.288410070777628243e+04 1.007690456249871750e+04
4.513097249486092838e-02 1.594657411496502573e+04 6.614957251845091378e+03 -6.233290344020315388e+03
5.555287263739271814e-02 1.255684353185440887e+04 7.639146127518440153e+03 2.151164028825082823e+03
6.539609890328550168e-02 1.276721725591934955e+04 1.021845960503477363e+04 -4.157306540981524563e+02
7.523296824326296262e-02 1.049919997441716259e+04 7.762619841292730598e+03 1.903169954363231682e+03
8.527687181306611852e-02 8.457118745678282721e+03 5.231976666474630292e+03 -7.939194432601076414e+02
9.513028795734808363e-02 7.270259508192917565e+03 4.819965122838128082e+03 1.391358952811141876e+02
1.052419169308068114e-01 6.017250625179191957e+03 3.832784305388430312e+03 4.131179610479884445e+02
1.151206315801793084e-01 5.410255346492266654e+03 3.100906309385870372e+03 5.680070541292395774e+02
1.250947617314616955e-01 4.935025400159454875e+03 2.844027886534811387e+03 4.735122081873187199e+02
1.351558649161049008e-01 4.430587045190759454e+03 3.070580088388227523e+03 2.203668560154783620e+02
1.451183454374788129e-01 3.784924985687840035e+03 2.202293456306575990e+03 1.326859157080942282e+02
1.550676819167363107e-01 3.393370970603375554e+03 1.969931251877404975e+03 3.524193939657822625e+02
1.650358619116154280e-01 3.097973056238530262e+03 1.814018736997851420e+03 3.761881880525670141e+01
1.750550317171022108e-01 2.786066363624468977e+03 1.746431214765158984e+03 3.597943197844589349e+02
1.850940319178256133e-01 2.603483144004557289e+03 1.342033311482993895e+03 1.243256965316642635e+02
1.950992563317044959e-01 2.356614034701422042e+03 1.139114407755816273e+03 7.969881505789376774e+01
2.050639155099631683e-01 2.159139085465112203e+03 1.147941469914045001e+03 1.036988741740633913e+02
2.150231926675145733e-01 2.002523089927484762e+03 1.047717404198739132e+03 -4.541665168547554288e+01
2.250205649738905578e-01 1.833285625781906219e+03 9.373462400558654508e+02 1.727060484470168547e+02
2.351001630702950762e-01 1.673104594740199445e+03 7.824254429340439856e+02 1.083419106527302773e+02
2.450738815386879488e-01 1.579337496395639846e+03 7.632531656033206673e+02 1.233443028677031066e+02
2.550521831857248123e-01 1.488940994583981819e+03 7.136042697409639004e+02 1.911508895334235945e+02
2.650604099034581385e-01 1.389008294725592577e+03 5.684021682574194756e+02 7.424525970414507015e+01
2.750125316335046977e-01 1.284856209186552178e+03 5.348577966276454845e+02 1.753609916130455133e+02
2.850268767522777802e-01 1.191509412257320946e+03 4.684972081465066367e+02 6.050574794017847324e+01
2.950518370782994060e-01 1.136429112234302920e+03 4.499728149415026337e+02 8.675709462831262897e+01
3.050598785237040311e-01 1.050657180922921270e+03 3.932537672516434668e+02 7.729902533067239290e+01
3.149891282510618451e-01 1.004567614154891544e+03 3.461086753201741999e+02 5.666807328770584462e+01
3.250378543403917853e-01 9.516575933066309290e+02 3.573692753477088786e+02 7.617774336209927810e+01
3.350921905511756727e-01 8.869251108347552872e+02 2.933570058627108779e+02 5.640859477569924252e+01
3.450583920673765959e-01 8.412730119485797786e+02 2.750476636084522397e+02 9.165931211262331146e+01
3.550603814031397243e-01 7.920333546833925311e+02 2.155189316327131337e+02 7.218460408718435417e+01
3.650295193761548540e-01 7.599579498256458692e+02 1.973822743311174577e+02 6.727074173768214393e+01
3.750721319789716013e-01 7.189765419273838916e+02 2.083708320356645913e+02 8.968294447103345135e+01
3.850647225683226371e-01 6.838378714853852216e+02 1.838894396490729832e+02 6.779797919811532836e+01
3.950397195426939012e-01 6.535540328023765824e+02 1.378010065177989247e+02 7.223770155849987873e+01
