# k     P0     P2     P4
7.596226439940963193e-03 6.208803472488876287e+04 1.859612562394366614e+04 -5.470743733486428391e+04
1.659868239673395474e-02 7.032983606688043801e+04 3.564037095573134138e+04 3.043225461957705556e+04
2.586445571658948714e-02 6.099119386243003100e+04 2.555000920745300027e+04 -9.238252402955044090e+03
3.529679080118813123e-02 5.145176631158287637e+04 2.416665778477936692e+04 1.792030664409111705e+04
4.513097249486092838e-02 4.028308210576247802e+04 1.586377903722645897e+04 -1.151410342798905731e+04
5.555287263739271814e-02 3.160382052922515504e+04 1.326477807079242666e+04 2.838454753203275686e+03
6.539609890328550168e-02 3.088822689345437902e+04 1.206557976981423599e+04 -3.439623223983956905e+03
7.523296824326296262e-02 2.549422558627056060e+04 1.045290317991934171e+04 3.112622963752165106e+03
8.527687181306613240e-02 2.212663063933699232e+04 8.506618922351024594e+03 -2.123210760855945409e+03
9.513028795734808363e-02 1.867439240480774970e+04 7.148696050434235076e+03 -1.002614922231301648e+03
1.052419169308068114e-01 1.600053267731699452e+04 5.780603776570198534e+03 1.023943255929375624e+02
1.151206315801793223e-01 1.426228935308811924e+04 5.027049559072911507e+03 6.582289711024168355e+02
1.250947617314616955e-01 1.338920084973968187e+04 4.638595566429968130e+03 5.079295880810564086e+02
1.351558649161048731e-01 1.176454105908231577e+04 4.129640753337674141e+03 9.766240693655676068e+02
1.451183454374788129e-01 1.022035899786941627e+04 3.390079394623989629e+03 -1.267317597172541781e+02
1.550676819167363107e-01 9.282532191345182582e+03 2.791254906839033993e+03 6.602315435730743332e+01
1.650358619116154280e-01 8.485880264646426440e+03 2.428203376870644661e+03 -3.857703243702993063e+02
1.750550317171022385e-01 7.939500270653697044e+03 2.474202046359802353e+03 6.298296472568613353e+02
1.850940319178256133e-01 7.342178826203657991e+03 1.953128522357945030e+03 1.386645816737766097e+02
1.950992563317045236e-01 6.789157939475352578e+03 1.877856749231371396e+03 3.503948151935528585e+02
2.050639155099631961e-01 6.306133924206221309e+03 1.197511582162216882e+03 -7.503498592311341042e+01
2.150231926675145733e-01 5.791210497494806077e+03 1.423621424364919903e+03 -1.470016327888017429e+02
2.250205649738905578e-01 5.275488633900390596e+03 1.055714843645935844e+03 3.412208334089714867e+02
2.351001630702950485e-01 5.054732183941626317e+03 7.166343489608634627e+02 1.303006168714736361e+02
2.450738815386879210e-01 4.666085196813921357e+03 6.587546373793858265e+02 -2.277489958651671031e+00
2.550521831857248123e-01 4.512224094213953322e+03 6.215835663614067244e+02 5.806912486375359777e+02
2.650604099034580829e-01 4.230189288420305274e+03 4.895181439121603830e+02 3.634676510652793695e+02
2.750125316335046977e-01 3.931412432367284509e+03 3.947198690977605224e+02 7.596143485814385485e+02
2.850268767522777802e-01 3.616486400347260769e+03 2.619653998928510532e+02 2.814333090007488067e+02
2.950518370782994615e-01 3.555362164708418277e+03 9.247465031588420459e+01 6.186615713845202436e+02
3.050598785237039756e-01 3.188570980908620641e+03 1.818150990292785707e+02 3.600753070332290804e+02
3.149891282510617896e-01 3.139398811865026801e+03 -1.135461390522553558e+02 2.678899261585792715e+02
3.250378543403918408e-01 2.953060056098904624e+03 3.156987515514555653e+01 4.657230747473624319e+02
3.350921905511756727e-01 2.838965895860737419e+03 -1.950016504585736072e+02 1.028135387963273502e+02
3.450583920673765959e-01 2.630328107153565270e+03 -1.344510830560066097e+02 5.423977023935162833e+02
3.550603814031397243e-01 2.577283681462782624e+03 -1.943771447183243311e+02 2.566768198044826477e+02
3.650295193761547985e-01 2.433145811181191675e+03 -2.742632322847524051e+02 4.901735360353633837e+02
3.750721319789716013e-01 2.323164831822828546e+03 -4.163874797129281546e+02 5.245743031118157660e+02
3.850647225683226371e-01 2.185250183319027656e+03 -3.462879199766039164e+02 4.277172325048554740e+02
3.950397195426938457e-01 2.122591274433492345e+03 -4.764311508131148116e+02 6.383231446038266768e+02
