# k     P0     P2     P4
7.596226439940963193e-03 6.169027633891787991e+04 8.377629950389604346e+03 8.387731935039161181e+04
1.659868239673395474e-02 7.315116604337275203e+04 7.763479725525829417e+04 4.210999197751656902e+04
2.586445571658948367e-02 6.034706556085058401e+04 2.135661248257133411e+04 -2.333553420340044613e+04
3.529679080118813123e-02 5.095943958764837589e+04 1.594282109987179319e+04 5.010338939778305757e+03
4.513097249486092838e-02 4.054827958305672655e+04 2.208284299839205414e+04 -1.108048240061339129e+04
5.555287263739271814e-02 3.206121830286964905e+04 1.822020064088018989e+04 1.152602395102643186e+03
6.539609890328550168e-02 3.083949545245822446e+04 1.215227244733961561e+04 -5.117864517482403244e+03
7.523296824326296262e-02 2.542206775715156255e+04 9.483763745955562626e+03 2.761607920429176374e+03
8.527687181306611852e-02 2.230118870144560424e+04 1.060776838109611526e+04 -2.385980673074290735e+03
9.513028795734809751e-02 1.880570663717597563e+04 6.190694189951781482e+03 -1.098534828771211096e+03
1.052419169308068114e-01 1.579180445516260443e+04 5.122520733897432365e+03 -4.086079651044341858e+02
1.151206315801793084e-01 1.436813247913175837e+04 4.754732061345264810e+03 2.404336287314110905e+03
1.250947617314616955e-01 1.344243410375133135e+04 3.616444800742683583e+03 1.333360168828714677e+03
1.351558649161049008e-01 1.170992712279665648e+04 3.663301051731353255e+03 1.054673464786773138e+03
1.451183454374788129e-01 1.017177824066823814e+04 3.662480978808680447e+03 -2.593298311115442516e+02
1.550676819167363107e-01 9.331656661149461797e+03 2.741496091490810613e+03 -1.722829314023449001e+02
1.650358619116154280e-01 8.492466637464973246e+03 2.008072266507157792e+03 -3.754700887740752364e+02
1.750550317171022385e-01 7.889779638850333868e+03 2.033857885907964373e+03 8.998846682330412250e+02
1.850940319178256133e-01 7.319890089184888893e+03 1.984213881970874581e+03 -3.700919484177335050e+01
1.950992563317044959e-01 6.774260177025296798e+03 2.155723663558912449e+03 -1.855850849237463018e+00
2.050639155099631683e-01 6.256896613528137095e+03 1.025821347820987285e+03 7.582905537698970022e+01
2.150231926675145733e-01 5.722205615339948963e+03 1.342639062287691331e+03 4.818327592739348688e+02
2.250205649738905578e-01 5.331106697898133461e+03 1.045797742754168439e+03 2.406923988656366191e+02
2.351001630702950485e-01 5.102971696973950202e+03 6.386106159072699029e+02 8.837597255832147880e+01
2.450738815386878933e-01 4.707542692393423749e+03 2.948414202247961953e+02 2.700663069688275186e+01
2.550521831857248123e-01 4.473023407272890836e+03 5.601980240809197085e+02 5.486714850293121799e+02
2.650604099034581385e-01 4.255034310410954276e+03 9.354286250911143270e+02 2.605426824615570354e+02
2.750125316335046977e-01 3.889119771295221653e+03 2.018226951806322518e+02 7.540802548490815980e+02
2.850268767522777802e-01 3.617566056280102657e+03 1.222429395485336414e+02 4.309437726654934409e+02
2.950518370782994615e-01 3.570050947479983279e+03 1.378658746840605431e+02 4.580034520989945577e+02
3.050598785237039756e-01 3.198765469889448468e+03 2.222282216123796559e+02 3.395642567775278735e+02
3.149891282510617896e-01 3.157640742539609619e+03 -9.043482789167025260e+01 5.170728766348370300e+02
3.250378543403918408e-01 2.954865566675064201e+03 2.548500453724138310e+02 1.804742502410997531e+02
3.350921905511756727e-01 2.838889843272266717e+03 -3.805110296503432465e+01 1.327926649049767249e+01
3.450583920673765959e-01 2.635027684329173553e+03 -9.652608692148993441e+01 4.770659071126167987e+02
3.550603814031397243e-01 2.568185750209426715e+03 -1.953437963050563724e+02 1.750744208625771989e+02
3.650295193761547985e-01 2.402238366890951966e+03 -3.701418695582066221e+02 1.149163480418865930e+02
3.750721319789716013e-01 2.319287806873534009e+03 -4.107169766869461682e+02 6.847650007514569097e+02
3.850647225683226926e-01 2.135362474278368609e+03 -3.627191823973282681e+02 5.033802580355456939e+02
3.950397195426938457e-01 2.100753968265496951e+03 -5.361280338732688051e+02 7.836203069667182035e+02
