# k     P0     P2     P4
7.596226439940963193e-03 6.370350047282038577e+04 4.240530458936372452e+04 -1.550332444514005911e+05
1.659868239673395474e-02 7.079401684805589321e+04 3.164420556439976644e+04 1.143523063544726574e+04
2.586445571658948367e-02 5.918823574318199098e+04 6.860795108468478247e+03 -1.427001392185715304e+03
3.529679080118813123e-02 5.269186748855813494e+04 4.260716689844885695e+04 2.788557759192020603e+04
4.513097249486092838e-02 4.066242809994152776e+04 2.035964524151488149e+04 -9.679971648588409153e+03
5.555287263739271814e-02 3.157428234552960566e+04 1.446661707510561064e+04 3.657586283489937387e+02
6.539609890328550168e-02 3.046888864361336164e+04 7.372562107489785376e+03 -3.639181167208234001e+03
7.523296824326296262e-02 2.548722825953082793e+04 9.376944596652272594e+03 3.952905339407979227e+03
8.527687181306611852e-02 2.211705873412824440e+04 8.318217771474892288e+03 8.925616222805446398e+01
9.513028795734808363e-02 1.844133835816002465e+04 7.730084719404811040e+03 -2.495824492982159427e+03
1.052419169308068114e-01 1.589777169271134881e+04 5.798592539572490750e+03 1.034438025514583160e+03
1.151206315801793223e-01 1.426305322857408646e+04 5.420092833938184413e+03 -7.145097338907453377e+02
1.250947617314616955e-01 1.330532720121480816e+04 5.777822978893807885e+03 -4.209763502972273841e+02
1.351558649161048453e-01 1.179275799019244369e+04 3.852108729940453031e+03 1.438683890419684985e+03
1.451183454374788406e-01 1.032702909587307295e+04 3.134604687431013190e+03 4.629941746540592362e+01
1.550676819167362830e-01 9.261342615241854219e+03 2.769674804097345714e+03 9.548333052896511219e+01
1.650358619116154280e-01 8.443884875780904622e+03 2.847761191437072284e+03 -3.883918032199636627e+02
1.750550317171022385e-01 8.005187616217724099e+03 2.086774030827058596e+03 5.563251554748046601e+02
1.850940319178256133e-01 7.414742925403071240e+03 1.865818042669792021e+03 2.099373129350086913e+02
1.950992563317045236e-01 6.823651996273770237e+03 1.888403702665555556e+03 3.362428266874518954e+02
2.050639155099632516e-01 6.388710275178747906e+03 1.219474475942547315e+03 -3.392196250551122034e+02
2.150231926675145733e-01 5.848514827851892733e+03 1.219598384523840423e+03 -7.014366302999045502e+02
2.250205649738905578e-01 5.189432238257258177e+03 8.123715088131867788e+02 4.857786360808973996e+02
2.351001630702950485e-01 5.048772618251247877e+03 9.700983359212831374e+02 -5.832974261814585759e+01
2.450738815386878933e-01 4.609589983789207508e+03 6.701153804836012569e+02 -1.900645351076859981e+02
2.550521831857248123e-01 4.542049352235704646e+03 8.021051917018431823e+02 7.893657157074112547e+02
2.650604099034580274e-01 4.214119132816211277e+03 2.634145414459293875e+02 2.048623894250204955e+02
2.750125316335046977e-01 3.900860401551191899e+03 5.779421013681225077e+02 5.207348627876443743e+02
2.850268767522777247e-01 3.628962443171884843e+03 3.162730519545142442e+02 3.071682157776953090e+02
2.950518370782995170e-01 3.530051600745686756e+03 -2.782123163502378915e+01 7.923095421832011880e+02
3.050598785237039201e-01 3.208152649442150505e+03 1.338200426943629964e+02 3.624365922054078624e+02
3.149891282510617896e-01 3.147557098081537788e+03 -2.769100526269012335e+02 1.749134569556261454e+02
3.250378543403918408e-01 2.963951818785174055e+03 -1.029465110234941676e+02 7.029415685084949246e+02
3.350921905511756727e-01 2.828517662154431946e+03 -5.740786748859674162e+02 2.934163810890356672e+02
3.450583920673765403e-01 2.636011540484123543e+03 -1.152388696045367595e+02 6.099159926169112396e+02
3.550603814031398353e-01 2.598577291084965054e+03 -2.645268770600741846e+02 4.649606770824996715e+02
3.650295193761547985e-01 2.483010626176132973e+03 -2.661858944493888046e+01 6.116659589111471860e+02
3.750721319789716013e-01 2.315430718845923366e+03 -5.251002243290168963e+02 3.974460382696190663e+02
3.850647225683226926e-01 2.178838515601854851e+03 -4.098170339512567466e+02 5.366987592821045610e+02
3.950397195426937902e-01 2.137828078593030114e+03 -4.518854430181107773e+02 4.128639759906091058e+02
