# k     P0     P2     P4
7.596226439940963193e-03 6.087032736292802292e+04 5.005442332077659557e+03 -9.296638690358385793e+04
1.659868239673395474e-02 6.704432530921268335e+04 -2.357889952464034195e+03 3.775154124576732283e+04
2.586445571658949061e-02 6.343828028325751075e+04 4.843262003131919482e+04 -2.952221613278971745e+03
3.529679080118813123e-02 5.070399185854211100e+04 1.394998535601745243e+04 2.086500340057483481e+04
4.513097249486092838e-02 3.963853863428917975e+04 5.148848871772448547e+03 -1.378185623476536966e+04
5.555287263739271814e-02 3.117596093927621041e+04 7.107516496391476721e+03 6.997003236158190703e+03
6.539609890328550168e-02 3.135629658429154733e+04 1.667190475461330425e+04 -1.561823987261231650e+03
7.523296824326296262e-02 2.557338074212928768e+04 1.249800119715019355e+04 2.623355631419339716e+03
8.527687181306611852e-02 2.196164448243712468e+04 6.593870614482068049e+03 -4.072907771721600056e+03
9.513028795734808363e-02 1.877613221908725245e+04 7.525309241946112707e+03 5.865145550594658062e+02
1.052419169308068114e-01 1.631202188407703034e+04 6.420698056240669757e+03 -3.186470836313362156e+02
1.151206315801793084e-01 1.415568235155851471e+04 4.906323781935286206e+03 2.848603598838849393e+02
1.250947617314616955e-01 1.341984124425290611e+04 4.521518919653411103e+03 6.114049457116819895e+02
1.351558649161049008e-01 1.179093806425784715e+04 4.873512478341217502e+03 4.365148528902444127e+02
1.451183454374788129e-01 1.016226965706693954e+04 3.373152517632275249e+03 -1.671648655056241921e+02
1.550676819167363107e-01 9.254597297644228092e+03 2.862593824928945651e+03 2.748690639453021163e+02
1.650358619116154280e-01 8.521289280693399633e+03 2.428776672667703679e+03 -3.934490811168590199e+02
1.750550317171022108e-01 7.923533556893030436e+03 3.301974222344384998e+03 4.332791180627382346e+02
1.850940319178256133e-01 7.291903464023015658e+03 2.009353642433168261e+03 2.430656269280945025e+02
1.950992563317044959e-01 6.769561645126988878e+03 1.589442881469646181e+03 7.167974697424441501e+02
2.050639155099631683e-01 6.272794883911779834e+03 1.347238922723115820e+03 3.828561190878230036e+01
2.150231926675145733e-01 5.802911049292577445e+03 1.708626826283227956e+03 -2.214010273404355473e+02
2.250205649738905578e-01 5.305926965545781968e+03 1.308975279370451972e+03 2.971914652803805552e+02
2.351001630702950762e-01 5.012452236599680873e+03 5.411940950540374615e+02 3.608556206742453014e+02
2.450738815386879488e-01 4.681122914259131903e+03 1.011307111429760312e+03 1.562254345348482332e+02
2.550521831857248123e-01 4.521599523133264483e+03 5.024474833014572823e+02 4.040365451758843278e+02
2.650604099034581385e-01 4.221414422033751180e+03 2.697112651994373778e+02 6.249978813092606060e+02
2.750125316335046977e-01 4.004257124255439976e+03 4.043948107445269216e+02 1.004027928107589787e+03
2.850268767522777802e-01 3.602930701589793443e+03 3.473802081755052882e+02 1.061879385590577840e+02
2.950518370782994060e-01 3.565983945899585251e+03 1.673793078986158491e+02 6.056717198713652124e+02
3.050598785237040311e-01 3.158794823394263403e+03 1.893970327810930314e+02 3.782250721167514484e+02
3.149891282510618451e-01 3.112998594973932995e+03 2.670646336180537261e+01 1.116834448852745965e+02
3.250378543403917853e-01 2.940362782836476526e+03 -5.719390888348299029e+01 5.137534054924924476e+02
3.350921905511756727e-01 2.849490182155512684e+03 2.712482647528102220e+01 1.744968809448714797e+00
3.450583920673765959e-01 2.619945096647397804e+03 -1.915882926419931493e+02 5.402112074510208686e+02
3.550603814031397243e-01 2.565088003093955649e+03 -1.232607607898424504e+02 1.299953614683711294e+02
3.650295193761548540e-01 2.414188440476489177e+03 -4.260292378511117022e+02 7.439383011530563863e+02
3.750721319789716013e-01 2.334775969749027809e+03 -3.133452381228214563e+02 4.915118703143713219e+02
3.850647225683226371e-01 2.241549560076859962e+03 -2.663275435812269052e+02 2.430726801969162238e+02
3.950397195426939012e-01 2.129191776441949969e+03 -4.412799755479649093e+02 7.184851508541528347e+02
