# k     P0     P2     P4
7.596226439940963193e-03 3.495422582275840250e+04 1.414843547595984819e+04 -3.978650934669924754e+04
1.659868239673395474e-02 4.592806650036270730e+04 3.020528642048895199e+04 2.652578710399843112e+04
2.586445571658948714e-02 3.915454407976297080e+04 2.125770604601718151e+04 -3.575034528105917616e+03
3.529679080118813123e-02 3.248387097202014411e+04 1.982291512168008558e+04 1.207496333205984592e+04
4.513097249486092838e-02 2.545782706783003596e+04 1.301854611213683347e+04 -6.621640194800100289e+03
5.555287263739271814e-02 1.986088064694916466e+04 1.096150926521600195e+04 1.966256755401127521e+03
6.539609890328550168e-02 1.940343588864836420e+04 9.964929940202326179e+03 -2.192844835135660560e+03
7.523296824326296262e-02 1.608276409430544300e+04 8.662670239654969919e+03 2.308215449494335644e+03
8.527687181306613240e-02 1.348167878329888481e+04 6.828003409591921809e+03 -1.503493667950951931e+03
9.513028795734808363e-02 1.141560065932094403e+04 5.780490623847171264e+03 -2.367020748622976498e+02
1.052419169308068114e-01 9.488991045987599136e+03 4.847243647289024921e+03 1.571137717265472418e+02
1.151206315801793223e-01 8.573076248941904851e+03 4.224639830796731076e+03 6.468463028769970151e+02
1.250947617314616955e-01 7.883881065996702091e+03 3.788547738919096446e+03 4.996265980267053237e+02
1.351558649161048731e-01 6.970551522936865695e+03 3.348476600499497636e+03 4.442804695285615821e+02
1.451183454374788129e-01 6.012146625037098602e+03 2.860047996907711877e+03 4.325390659594958720e+00
1.550676819167363107e-01 5.396676023975014687e+03 2.469296899975749056e+03 1.606690674442947113e+02
1.650358619116154280e-01 4.905376749482070409e+03 2.182686406687736962e+03 -3.480484147333546474e+01
1.750550317171022385e-01 4.541909826286679163e+03 2.035132612258654945e+03 2.411024457943024970e+02
1.850940319178256133e-01 4.223566977152948311e+03 1.784167305710056780e+03 1.125543303764567469e+02
1.950992563317045236e-01 3.855429066017950390e+03 1.585579181555797959e+03 1.838757767312377780e+02
2.050639155099631961e-01 3.536046001900340343e+03 1.311076543191151131e+03 2.044361974093325429e+01
2.150231926675145733e-01 3.208520140687527601e+03 1.290516202585856036e+03 2.401756193876845558e+01
2.250205649738905578e-01 2.945199001093265906e+03 1.088225963502306513e+03 2.222637628189781651e+02
2.351001630702950485e-01 2.762446341088405916e+03 9.475398917618191490e+02 7.572773612349708117e+01
2.450738815386879210e-01 2.548673290193566118e+03 8.253534090216362529e+02 1.341889044002024889e+02
2.550521831857248123e-01 2.439042874415299138e+03 7.991812448450999682e+02 2.389548259872135247e+02
2.650604099034580829e-01 2.289049029514095309e+03 6.779337004759860292e+02 1.209249326626642187e+02
2.750125316335046977e-01 2.107867001636694567e+03 5.948757553264489388e+02 1.957154092632104323e+02
2.850268767522777802e-01 1.962815056501622848e+03 5.188319139720541671e+02 1.108901285180891847e+02
2.950518370782994615e-01 1.893472570126720711e+03 4.669253222128612038e+02 2.677906004457434506e+02
3.050598785237039756e-01 1.731664792807567892e+03 4.061419724303529506e+02 1.492120449813322978e+02
3.149891282510617896e-01 1.655603498184999580e+03 3.398897313786172276e+02 1.665371786129245777e+02
3.250378543403917853e-01 1.549304444801426826e+03 3.192103154437493799e+02 1.421104756352346214e+02
3.350921905511756727e-01 1.474012539329552283e+03 2.302013070508187695e+02 1.161182083143907420e+02
3.450583920673765959e-01 1.390999995097597093e+03 2.389185619907060243e+02 1.601101173563386908e+02
3.550603814031397243e-01 1.335792772067188025e+03 1.830252266537026173e+02 1.234340764940941000e+02
3.650295193761547985e-01 1.256357867427710516e+03 1.550827680289899035e+02 1.625131670971989024e+02
3.750721319789716013e-01 1.178084404639999548e+03 1.247091465426864687e+02 2.001164345175471624e+02
3.850647225683226371e-01 1.120572953666612875e+03 7.448494789349831535e+01 1.615244323922672436e+02
3.950397195426938457e-01 1.095607717221869962e+03 5.141490524666055961e+01 1.893041076128716043e+02
