# k     P0     P2     P4
7.596226439940963193e-03 3.595704831816314254e+04 2.106463041825600885e+04 -8.622005707200101460e+04
1.659868239673395474e-02 4.663354188867755875e+04 3.556347092242295184e+04 2.281034342564546387e+04
2.586445571658948367e-02 3.767505566094836104e+04 7.258775666826239103e+03 -9.095205540208546608e+02
3.529679080118813123e-02 3.344541133170012472e+04 3.073830151887969623e+04 1.863415294753690250e+04
4.513097249486092838e-02 2.574568595685077526e+04 1.570004051388239532e+04 -4.974718021462226716e+03
5.555287263739271814e-02 1.982444264727246991e+04 1.078626202928518251e+04 9.897604321452374165e+01
6.539609890328550168e-02 1.906425426842716479e+04 6.394544829781985754e+03 -1.905218719154717519e+03
7.523296824326296262e-02 1.603937474471078167e+04 7.710295858297822633e+03 2.305291874066284890e+03
8.527687181306611852e-02 1.343748118154846634e+04 6.603151861149364777e+03 -6.009734410309356463e+02
9.513028795734808363e-02 1.134597719755164690e+04 6.081777855341862960e+03 -9.377029336998868985e+02
1.052419169308068114e-01 9.447377382095999565e+03 5.083053090989395059e+03 2.571668821562949461e+02
1.151206315801793223e-01 8.576863002002506619e+03 4.280214501633340660e+03 -4.424510924639949963e+02
1.250947617314616955e-01 7.889090966310803196e+03 4.359874721330736065e+03 1.723033718265664049e+02
1.351558649161048453e-01 6.963051858258361790e+03 3.099627155025873435e+03 7.869086044450569943e+02
1.451183454374788406e-01 6.040491250458785544e+03 2.828719796289584792e+03 1.556727151238649132e+00
1.550676819167362830e-01 5.390113998226832337e+03 2.385980767126294268e+03 1.368746319195626597e+02
1.650358619116154280e-01 4.912722798281393807e+03 2.385585109646020101e+03 1.612680814776889626e+00
1.750550317171022385e-01 4.548907735547537413e+03 1.973614390420428208e+03 9.971245075569870053e+00
1.850940319178256133e-01 4.218964119624366504e+03 1.679220025686063536e+03 1.144651947939461678e+02
1.950992563317045236e-01 3.910285892458155104e+03 1.720193355701700511e+03 2.332918519142967568e+02
2.050639155099632516e-01 3.539161663266887444e+03 1.249551081563248090e+03 -1.386813249375680073e+02
2.150231926675145733e-01 3.228711513229222874e+03 1.220080981504222336e+03 -2.039102556780829900e+02
2.250205649738905578e-01 2.920846388951475546e+03 9.970952409626514736e+02 2.465760704313807992e+02
2.351001630702950485e-01 2.770869423817488041e+03 1.045092282942391876e+03 7.763446637758089253e+01
2.450738815386878933e-01 2.539013140708753326e+03 8.364980331898796067e+02 1.062948430520722809e+02
2.550521831857248123e-01 2.440996996209218196e+03 8.219735276750624280e+02 2.357796495571320463e+02
2.650604099034580274e-01 2.284362921581571300e+03 6.242068842770528363e+02 8.390153940013776435e+01
2.750125316335046977e-01 2.122053355243539954e+03 7.169196924365396626e+02 2.035403673271964067e+02
2.850268767522777247e-01 1.971210313459057943e+03 4.901277939007028408e+02 1.266658528267148256e+02
2.950518370782995170e-01 1.880854339705442271e+03 4.392761141637628839e+02 3.265354975315417505e+02
3.050598785237039201e-01 1.732832731101959325e+03 3.574448260539735998e+02 9.413489957382618911e+01
3.149891282510617896e-01 1.655531089091193735e+03 2.739473422067288766e+02 1.971978352743927587e+02
3.250378543403918408e-01 1.543939031699754423e+03 2.902100708505120110e+02 1.744252387677442755e+02
3.350921905511756727e-01 1.477043689165252999e+03 1.588168253776919698e+02 1.230666618490052713e+02
3.450583920673765403e-01 1.391857724378625562e+03 2.559848735570909071e+02 1.911708863523991795e+02
3.550603814031398353e-01 1.342762242732641425e+03 1.866871317894369611e+02 1.008817173664409239e+02
3.650295193761547985e-01 1.273909901432771676e+03 1.940863902253963147e+02 1.772462783603601224e+02
3.750721319789716013e-01 1.177870747356974562e+03 1.091320016753438011e+02 1.838117662204509770e+02
3.850647225683226926e-01 1.118688020796278352e+03 2.810915129048686723e+01 1.754982521305117018e+02
3.950397195426937902e-01 1.097949609268139511e+03 2.360567917441002805e+01 1.797306121966201147e+02
