# k     P0     P2     P4
7.596226439940963193e-03 3.420395054433681798e+04 8.336236303831326950e+03 -6.146636292398684600e+04
1.659868239673395474e-02 4.314575581547382171e+04 3.187336049992798507e+03 2.667205235721417193e+04
2.586445571658949061e-02 4.131772898459330463e+04 4.205336017357355740e+04 1.674901667249517914e+03
3.529679080118813123e-02 3.198344194919451184e+04 1.460296090632092637e+04 1.402945953423139326e+04
4.513097249486092838e-02 2.491652536990820590e+04 6.691220708491340702e+03 -8.953555518502194900e+03
5.555287263739271814e-02 1.960100340079905800e+04 8.207307452708681012e+03 3.576618603535758211e+03
6.539609890328550168e-02 1.973747875104506602e+04 1.352948734654595319e+04 -7.466639814061094285e+02
7.523296824326296262e-02 1.617427985769102452e+04 1.012235677947908334e+04 1.946950155851352520e+03
8.527687181306611852e-02 1.341355805991949819e+04 6.312754159867497947e+03 -2.239609646259224519e+03
9.513028795734808363e-02 1.146226310877248034e+04 6.040911251271721085e+03 5.030428771640992522e+02
1.052419169308068114e-01 9.593714055868967989e+03 5.114708961844673468e+03 2.973533126734911889e+02
1.151206315801793084e-01 8.523461750771730294e+03 4.027418354948345041e+03 5.522276409982887344e+02
1.250947617314616955e-01 7.900835213022483913e+03 3.639667774804812325e+03 7.073882104159778237e+02
1.351558649161049008e-01 7.017726422378108509e+03 3.903070498745954865e+03 2.489808886338314835e+02
1.451183454374788129e-01 6.010967208486211348e+03 2.911176331846624180e+03 5.653126972075540380e+01
1.550676819167363107e-01 5.404600676697141353e+03 2.442601318652890313e+03 2.639357825043845196e+02
1.650358619116154280e-01 4.924051073849357635e+03 2.353114018767304970e+03 -8.345178693001534498e+01
1.750550317171022108e-01 4.543184620777373311e+03 2.441815917753414396e+03 2.980584082815812508e+02
1.850940319178256133e-01 4.208221617536358281e+03 1.770720300854617790e+03 8.172595289511210126e+01
1.950992563317044959e-01 3.820664327292897724e+03 1.457602631266214530e+03 1.688119954895404646e+02
2.050639155099631683e-01 3.544873488433272996e+03 1.409884190865679784e+03 5.344980721442418314e+01
2.150231926675145733e-01 3.213590576564392450e+03 1.423778725241099437e+03 -1.678895329549301252e+01
2.250205649738905578e-01 2.968446002677168508e+03 1.172299011189878456e+03 1.885631988736784024e+02
2.351001630702950762e-01 2.736134968614609079e+03 8.284285552634889882e+02 6.962338638277836367e+01
2.450738815386879488e-01 2.580215306428394342e+03 9.261103600731097458e+02 1.987268938008126327e+02
2.550521831857248123e-01 2.434999694346171964e+03 7.894459726465198628e+02 2.811970088159366696e+02
2.650604099034581385e-01 2.285294470635706148e+03 5.587569907574828676e+02 2.054255448260442733e+02
2.750125316335046977e-01 2.119085041190285665e+03 5.685067239470495224e+02 3.047258252364999294e+02
2.850268767522777802e-01 1.957141448486253239e+03 5.741095012604383783e+02 6.984074695074696137e+01
2.950518370782994060e-01 1.902389020869835349e+03 5.153431743689874338e+02 2.412994602184384689e+02
3.050598785237040311e-01 1.736815303976913583e+03 4.442451963716366095e+02 1.905716035035007110e+02
3.149891282510618451e-01 1.661511838248079130e+03 3.847332500605862720e+02 8.878179520745129594e+01
3.250378543403917853e-01 1.545746774834845155e+03 3.235004957167720363e+02 1.371757986296333911e+02
3.350921905511756727e-01 1.465588513804745844e+03 2.825896575863152975e+02 1.347285762646226033e+02
3.450583920673765959e-01 1.394749443391431896e+03 2.348105734160636473e+02 1.397078874854531989e+02
3.550603814031397243e-01 1.332819183350697358e+03 1.545974026554463308e+02 1.359085868933610186e+02
3.650295193761548540e-01 1.262626643010630005e+03 1.395357306675644793e+02 2.145022195615225655e+02
3.750721319789716013e-01 1.184719321162117694e+03 1.659519280490952156e+02 2.132025919034103936e+02
3.850647225683226371e-01 1.127734550397547082e+03 1.097148100488434750e+02 1.616623649165743188e+02
3.950397195426939012e-01 1.092195984610065807e+03 6.396844084870057401e+01 1.678466432855450137e+02
