# k     P0     P2     P4
7.596226439940963193e-03 3.470167860577526153e+04 1.304443970579220695e+04 2.832689195589009250e+04
1.659868239673395474e-02 4.800490179693672690e+04 5.186505228905111289e+04 3.009496552913565756e+04
2.586445571658948367e-02 3.847084759374726127e+04 1.446098229765174619e+04 -1.149048469754641519e+04
3.529679080118813123e-02 3.202275963516579941e+04 1.412748293983963231e+04 3.561277514411246102e+03
4.513097249486092838e-02 2.571126987673113399e+04 1.666437711403675712e+04 -5.936647044435878342e+03
5.555287263739271814e-02 2.015719589277596970e+04 1.389095831365413869e+04 2.223175619453101262e+03
6.539609890328550168e-02 1.940857464647286179e+04 9.970757644279041415e+03 -3.926651804846154846e+03
7.523296824326296262e-02 1.603463768051451916e+04 8.155358081188005599e+03 2.672404318565369522e+03
8.527687181306611852e-02 1.359399710842868626e+04 7.568104207758901794e+03 -1.669897916562695400e+03
9.513028795734809751e-02 1.143856167163870123e+04 5.218782764927932476e+03 -2.754461680511053601e+02
1.052419169308068114e-01 9.425881699997828036e+03 4.343968889033007144e+03 -8.317887965014436702e+01
1.151206315801793084e-01 8.618903994051479458e+03 4.366286635808505707e+03 1.830762360096697421e+03
1.250947617314616955e-01 7.861717018656819164e+03 3.366100720621740493e+03 6.191882118375718846e+02
1.351558649161049008e-01 6.930876288174128604e+03 3.042732147726664607e+03 2.969519155067963538e+02
1.451183454374788129e-01 5.984981416166298004e+03 2.840247862586928022e+03 -4.511182489320917455e+01
1.550676819167363107e-01 5.395313397001071280e+03 2.579308614148063498e+03 8.119678790893696885e+01
1.650358619116154280e-01 4.879356376315458874e+03 1.809360091649885362e+03 -2.257541830476793265e+01
1.750550317171022385e-01 4.533637122535127673e+03 1.689967528602122229e+03 4.152776840257563435e+02
1.850940319178256133e-01 4.243515194298119241e+03 1.902561590589489242e+03 1.414718434403120000e+02
1.950992563317044959e-01 3.835336978302799253e+03 1.578941557699479290e+03 1.495234827898761125e+02
2.050639155099631683e-01 3.524102854000860134e+03 1.273794357144525293e+03 1.465623769459435835e+02
2.150231926675145733e-01 3.183258332268967479e+03 1.227688901012246333e+03 2.927518947898813622e+02
2.250205649738905578e-01 2.946304611651154119e+03 1.095283638354389495e+03 2.316520191518752938e+02
2.351001630702950485e-01 2.780334630833121082e+03 9.690988370795764695e+02 7.992535561013198731e+01
2.450738815386878933e-01 2.526791423443549775e+03 7.134518338019191788e+02 9.754497634772253889e+01
2.550521831857248123e-01 2.441131932690506801e+03 7.861242342137176138e+02 1.998878195885717730e+02
2.650604099034581385e-01 2.297489696325008026e+03 8.508372263934226112e+02 7.344771376181066103e+01
2.750125316335046977e-01 2.082462608476257628e+03 4.992008495957576315e+02 7.888003522593501771e+01
2.850268767522777802e-01 1.960093407559557363e+03 4.922584467550210547e+02 1.361637857768057529e+02
2.950518370782994615e-01 1.897174349804884741e+03 4.461566781058334641e+02 2.355368435872501323e+02
3.050598785237039756e-01 1.725346343343830313e+03 4.167358948654484720e+02 1.629296318666699790e+02
3.149891282510617896e-01 1.649767567215725194e+03 3.609886018685364206e+02 2.136319053569296500e+02
3.250378543403918408e-01 1.558227527869681126e+03 3.439203797639640925e+02 1.147303895083261978e+02
3.350921905511756727e-01 1.479405415018658232e+03 2.491974381884490697e+02 9.055938682954436558e+01
3.450583920673765959e-01 1.386392817522734049e+03 2.259602389989634901e+02 1.494515782311636656e+02
3.550603814031397243e-01 1.331796890118225292e+03 2.077911455162246170e+02 1.335119252224804143e+02
3.650295193761547985e-01 1.232537057839729641e+03 1.316261831940089735e+02 9.579100336971401930e+01
3.750721319789716013e-01 1.171663145400906160e+03 9.904350990362037521e+01 2.033349454287800313e+02
3.850647225683226926e-01 1.115296289806013647e+03 8.563088234116462161e+01 1.474126801297157385e+02
3.950397195426938457e-01 1.096677557787404567e+03 6.667059571687107677e+01 2.203350673564497129e+02
