# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.024696556158458893e+00 1.187398171357691157e-02 1.411560052978491978e-02 1.258658406978902140e-02 7.116941421422533047e-03 5.914498472652194097e-03 -2.132799674591755179e-03
3.011299873815032058e+00 1.024669956715903218e+00 1.181692762689061892e-02 1.413151613109002447e-02 1.264244154394717629e-02 7.119309393149852831e-03 5.835922758477451316e-03 -2.114781678780825857e-03
3.013414171081284731e+00 1.024643416450050193e+00 1.176039668931337309e-02 1.414736068198741911e-02 1.269732516189415843e-02 7.122536834042854370e-03 5.759376740439903913e-03 -2.096238513063767520e-03
3.015529952840320771e+00 1.024616935494037318e+00 1.170438610805080680e-02 1.416313307189993702e-02 1.275123982840773752e-02 7.126616870854717879e-03 5.684846134608091510e-03 -2.077174643810813029e-03
3.017647220134433095e+00 1.024590513981001427e+00 1.164889309030854234e-02 1.417883219025041150e-02 1.280419044826567980e-02 7.131542630338624442e-03 5.612316657050547657e-03 -2.057594537392196110e-03
3.019765974006647813e+00 1.024564152044080023e+00 1.159391484329216036e-02 1.419445692646168454e-02 1.285618192624580526e-02 7.137307239247762947e-03 5.541774023835742587e-03 -2.037502660178130542e-03
3.021886215500722450e+00 1.024537849816410162e+00 1.153944857420729705e-02 1.421000616995659119e-02 1.290721916712585585e-02 7.143903824335304936e-03 5.473203951032226330e-03 -2.016903478538854821e-03
3.024007945661148611e+00 1.024511607431128457e+00 1.148549149025953134e-02 1.422547881015797343e-02 1.295730707568365503e-02 7.151325512354441902e-03 5.406592154708473458e-03 -1.995801458844583161e-03
3.026131165533149314e+00 1.024485425021372631e+00 1.143204079865448551e-02 1.424087373648866284e-02 1.300645055669696556e-02 7.159565430058351457e-03 5.341924350933015785e-03 -1.974201067465548853e-03
3.028255876162682991e+00 1.024459302720279519e+00 1.137909370659778881e-02 1.425618983837149273e-02 1.305465451494355542e-02 7.168616704200209480e-03 5.279186255774385127e-03 -1.952106770771986277e-03
3.030382078596442597e+00 1.024433240660986622e+00 1.132664742129501668e-02 1.427142600522931376e-02 1.310192385520123938e-02 7.178472461533210065e-03 5.218363585301053452e-03 -1.929523035134106390e-03
3.032509773881854276e+00 1.024407238976630552e+00 1.127469914995180705e-02 1.428658112648494884e-02 1.314826348224777154e-02 7.189125828810526489e-03 5.159442055581572525e-03 -1.906454326922151594e-03
3.034638963067081363e+00 1.024381297800348811e+00 1.122324609977373884e-02 1.430165409156124688e-02 1.319367830086095976e-02 7.200569932785344171e-03 5.102407382684416917e-03 -1.882905112506332848e-03
3.036769647201022604e+00 1.024355417265278456e+00 1.117228547796643781e-02 1.431664378988104294e-02 1.323817321581858240e-02 7.212797900210845929e-03 5.047245282678117576e-03 -1.858879858256884746e-03
3.038901827333312600e+00 1.024329597504556322e+00 1.112181449173552973e-02 1.433154911086716166e-02 1.328175313189840223e-02 7.225802857840207642e-03 4.993941471631204582e-03 -1.834383030544041665e-03
3.041035504514324028e+00 1.024303838651320131e+00 1.107183034828658832e-02 1.434636894394245889e-02 1.332442295387822884e-02 7.239577932426619067e-03 4.942481665612154240e-03 -1.809419095738015000e-03
3.043170679795165867e+00 1.024278140838706941e+00 1.102233025482524109e-02 1.436110217852976274e-02 1.336618758653583539e-02 7.254116250723260419e-03 4.892851580689499234e-03 -1.783992520209038693e-03
3.045307354227685170e+00 1.024252504199853142e+00 1.097331141855712767e-02 1.437574770405189960e-02 1.340705193464897423e-02 7.269410939483300638e-03 4.845036932931777451e-03 -1.758107770327355579e-03
3.047445528864469733e+00 1.024226928867896680e+00 1.092477104668779231e-02 1.439030440993173052e-02 1.344702090299548965e-02 7.285455125459944226e-03 4.799023438407442645e-03 -1.731769312463160787e-03
3.049585204758843204e+00 1.024201414975974833e+00 1.087670634642287811e-02 1.440477118559207667e-02 1.348609939635312879e-02 7.302241935406362724e-03 4.754796813185038773e-03 -1.704981612986696069e-03
3.051726382964870865e+00 1.024175962657223771e+00 1.082911452496799175e-02 1.441914692045578004e-02 1.352429231949968218e-02 7.319764496075734615e-03 4.712342773333075968e-03 -1.677749138268188429e-03
3.053869064537356959e+00 1.024150572044781216e+00 1.078199278952875900e-02 1.443343050394567222e-02 1.356160457721291429e-02 7.338015934221240114e-03 4.671647034920079974e-03 -1.650076354677873112e-03
3.056013250531847358e+00 1.024125243271784447e+00 1.073533834731077441e-02 1.444762082548459690e-02 1.359804107427062952e-02 7.356989376596066374e-03 4.632695314014550515e-03 -1.621967728585969101e-03
3.058158942004628233e+00 1.024099976471370077e+00 1.068914840551962731e-02 1.446171677449538916e-02 1.363360671545061319e-02 7.376677949953397949e-03 4.595473326684984712e-03 -1.593427726362692557e-03
3.060306140012728271e+00 1.024074771776676052e+00 1.064342017136094519e-02 1.447571724040089269e-02 1.366830640553064365e-02 7.397074781046416789e-03 4.559966788999912646e-03 -1.564460814378280462e-03
3.062454845613916898e+00 1.024049629320838983e+00 1.059815085204035036e-02 1.448962111262392868e-02 1.370214504928849060e-02 7.418172996628292701e-03 4.526161417027852255e-03 -1.535071459002967627e-03
