# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.035015164803521737e+00 1.229367302912142204e-02 9.227417868081731409e-03 1.842559363044390594e-02 1.473152157952193307e-02 1.731595377047307274e-02 9.929346728389749910e-03
3.011299873815032058e+00 1.034985160815176553e+00 1.232242116951782172e-02 9.195950532599288935e-03 1.842764246345763787e-02 1.471862781755385943e-02 1.720177040003302571e-02 1.015511955110090687e-02
3.013414171081284731e+00 1.034955399999348380e+00 1.235077226475339053e-02 9.165116688262706438e-03 1.842950638872412408e-02 1.470617997803216545e-02 1.708909127305963810e-02 1.037730445038431704e-02
3.015529952840320771e+00 1.034925880525486619e+00 1.237872952817434431e-02 9.134912550349229970e-03 1.843118622773377499e-02 1.469417410468789979e-02 1.697790781717408576e-02 1.059592308338366123e-02
3.017647220134433095e+00 1.034896600563040892e+00 1.240629617312689718e-02 9.105334334136098648e-03 1.843268280197699754e-02 1.468260624125211807e-02 1.686821145999755495e-02 1.081099710724261857e-02
3.019765974006647813e+00 1.034867558281460820e+00 1.243347541295728408e-02 9.076378254900534237e-03 1.843399693294419522e-02 1.467147243145586026e-02 1.675999362915112784e-02 1.102254817910507806e-02
3.021886215500722450e+00 1.034838751850194916e+00 1.246027046101170349e-02 9.048040527919782791e-03 1.843512944212577498e-02 1.466076871903016984e-02 1.665324575225600456e-02 1.123059795611465288e-02
3.024007945661148611e+00 1.034810179438693467e+00 1.248668453063639730e-02 9.020317368471060873e-03 1.843608115101214723e-02 1.465049114770609721e-02 1.654795925693327077e-02 1.143516809541522336e-02
3.026131165533149314e+00 1.034781839216405874e+00 1.251272083517757788e-02 8.993204991831612802e-03 1.843685288109372586e-02 1.464063576121468757e-02 1.644412557080409884e-02 1.163628025415047555e-02
3.028255876162682991e+00 1.034753729352781093e+00 1.253838258798145415e-02 8.966699613278679426e-03 1.843744545386090741e-02 1.463119860328698958e-02 1.634173612148966809e-02 1.183395608946409376e-02
3.030382078596442597e+00 1.034725848017268968e+00 1.256367300239426450e-02 8.940797448089480778e-03 1.843785969080410925e-02 1.462217571765405365e-02 1.624078233661106763e-02 1.202821725849995312e-02
