# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.027448347692677455e+00 8.105440780366382839e-03 -1.650770994438340998e-04 2.916964284206918778e-02 8.158446540643430819e-03 8.457560663988838989e-03 4.313607139669684357e-03
3.011299873815032058e+00 1.027454342215850414e+00 8.133212663601384687e-03 -2.574798609801812123e-04 2.907236172871694238e-02 8.091540781566514129e-03 8.467684867449816466e-03 4.527862760714020975e-03
3.013414171081284731e+00 1.027459949573793940e+00 8.160045890738201399e-03 -3.491281715781458244e-04 2.897711742915086430e-02 8.026602518861027796e-03 8.477900011842292791e-03 4.739707943272892209e-03
3.015529952840320771e+00 1.027465171822406376e+00 8.185946820243207925e-03 -4.400226995287301714e-04 2.888389250738016001e-02 7.963617167984009607e-03 8.488204403639508164e-03 4.949152527610606311e-03
3.017647220134433095e+00 1.027470011017586948e+00 8.210921810582775746e-03 -5.301641131229373020e-04 2.879266952741404290e-02 7.902570144392493875e-03 8.498596349314692378e-03 5.156206353991474138e-03
3.019765974006647813e+00 1.027474469215234443e+00 8.234977220223302363e-03 -6.195530806518559711e-04 2.870343105326164310e-02 7.843446863543450734e-03 8.509074155341087367e-03 5.360879262680001700e-03
3.021886215500722450e+00 1.027478548471247644e+00 8.258119407631147116e-03 -7.081902704064610378e-04 2.861615964893218442e-02 7.786232740893927508e-03 8.519636128191919455e-03 5.563181093940432198e-03
3.024007945661148611e+00 1.027482250841525335e+00 8.280354731272707505e-03 -7.960763506778400101e-04 2.853083787843480393e-02 7.730913191900903869e-03 8.530280574340432312e-03 5.763121688037270776e-03
3.026131165533149314e+00 1.027485578381966747e+00 8.301689549614358482e-03 -8.832119897569966956e-04 2.844744830577870809e-02 7.677473632021407195e-03 8.541005800259855729e-03 5.960710885234828289e-03
3.028255876162682991e+00 1.027488533148470884e+00 8.322130221122469793e-03 -9.695978559349349019e-04 2.836597349497309642e-02 7.625899476712469198e-03 8.551810112423422969e-03 6.155958525797418195e-03
3.030382078596442597e+00 1.027491117196936088e+00 8.341683104263437204e-03 -1.055234617502741378e-03 2.828639601002710946e-02 7.576176141431067816e-03 8.562691817304374231e-03 6.348874449989538697e-03
3.032509773881854276e+00 1.027493332583262031e+00 8.360354557503628728e-03 -1.140122942751392934e-03 2.820869841494998143e-02 7.528289041634248641e-03 8.573649221375942778e-03 6.539468498075441671e-03
3.034638963067081363e+00 1.027495181363346832e+00 8.378150939309433193e-03 -1.224263499971975453e-03 2.813286327375083204e-02 7.482223592778990476e-03 8.584680631111367075e-03 6.727750510319625322e-03
3.036769647201022604e+00 1.027496665593089942e+00 8.395078608147227284e-03 -1.307656957455493067e-03 2.805887315043887817e-02 7.437965210322324168e-03 8.595784352983875179e-03 6.913730326986403975e-03
3.038901827333312600e+00 1.027497787328389922e+00 8.411143922483387686e-03 -1.390303983492951210e-03 2.798671060902331933e-02 7.395499309721273624e-03 8.606958693466703822e-03 7.097417788340093688e-03
3.041035504514324028e+00 1.027498548625146002e+00 8.426353240784298024e-03 -1.472205246375434462e-03 2.791635821351329608e-02 7.354811306432825456e-03 8.618201959033094939e-03 7.278822734645185727e-03
3.043170679795165867e+00 1.027498951539256744e+00 8.440712921516340186e-03 -1.553361414393946956e-03 2.784779852791801485e-02 7.315886615914005305e-03 8.629512456156278322e-03 7.457955006165997887e-03
3.045307354227685170e+00 1.027498998126621377e+00 8.454229323145882186e-03 -1.633773155839470708e-03 2.778101411624668560e-02 7.278710653621845751e-03 8.640888491309480293e-03 7.634824443166793317e-03
3.047445528864469733e+00 1.027498690443138463e+00 8.466908804139323258e-03 -1.713441139003138219e-03 2.771598754250842109e-02 7.243268835013316059e-03 8.652328370965954932e-03 7.809440885912171705e-03
3.049585204758843204e+00 1.027498030544707452e+00 8.478757722963033150e-03 -1.792366032175930204e-03 2.765270137071243819e-02 7.209546575545452279e-03 8.663830401598925091e-03 7.981814174666392731e-03
3.051726382964870865e+00 1.027497020487226465e+00 8.489782438083392016e-03 -1.870548503648878551e-03 2.759113816486791562e-02 7.177529290675262706e-03 8.675392889681629235e-03 8.151954149693836638e-03
3.053869064537356959e+00 1.027495662326594728e+00 8.499989307966774807e-03 -1.947989221712990212e-03 2.753128048898405983e-02 7.147202395859773849e-03 8.687014141687298893e-03 8.319870651258822955e-03
3.056013250531847358e+00 1.027493958118711470e+00 8.509384691079570351e-03 -2.024688854659321795e-03 2.747311090707002523e-02 7.118551306555983595e-03 8.698692464089174264e-03 8.485573519625781366e-03
3.058158942004628233e+00 1.027491909919475255e+00 8.517974945888157068e-03 -2.100648070778927522e-03 2.741661198313498013e-02 7.091561438220898503e-03 8.710426163360486876e-03 8.649072595059134616e-03
3.060306140012728271e+00 1.027489519784785310e+00 8.525766430858915113e-03 -2.175867538362816732e-03 2.736176628118813098e-02 7.066218206311539879e-03 8.722213545974475193e-03 8.810377717823213509e-03
3.062454845613916898e+00 1.027486789770540199e+00 8.532765504458219435e-03 -2.250347925701995724e-03 2.730855636523867036e-02 7.042507026284927293e-03 8.734052918404370744e-03 8.969498728182334971e-03
3.064605059866707393e+00 1.027483721932638705e+00 8.538978525152453661e-03 -2.324089901087543226e-03 2.725696479929573535e-02 7.020413313598055163e-03 8.745942587123408524e-03 9.126445466400977258e-03
3.066756783830356436e+00 1.027480318326980280e+00 8.544411851407997943e-03 -2.397094132810469007e-03 2.720697414736854627e-02 6.999922483707951733e-03 8.757880858604832203e-03 9.281227772743469440e-03
3.068910018564863229e+00 1.027476581009463485e+00 8.549071841691232437e-03 -2.469361289161779802e-03 2.715856697346629225e-02 6.981019952071624429e-03 8.769866039321861165e-03 9.433855487474133647e-03
3.071064765130972152e+00 1.027472512035987107e+00 8.552964854468537298e-03 -2.540892038432553904e-03 2.711172584159812077e-02 6.963691134146081547e-03 8.781896435747746019e-03 9.584338450857442931e-03
3.073221024590171879e+00 1.027468113462450372e+00 8.556097248206289210e-03 -2.611687048913777232e-03 2.706643331577323480e-02 6.947921445388341791e-03 8.793970354355709618e-03 9.732686503157676056e-03
3.075378798004697156e+00 1.027463387344751844e+00 8.558475381370877003e-03 -2.681746988896525907e-03 2.702267196000079919e-02 6.933696301255410852e-03 8.806086101618997367e-03 9.878909484639304336e-03
3.077538086437527909e+00 1.027458335738790529e+00 8.560105612428668687e-03 -2.751072526671809702e-03 2.698042433829000997e-02 6.921001117204303096e-03 8.818241984010837323e-03 1.002301723556665337e-02
3.079698890952390133e+00 1.027452960700465656e+00 8.560994299846054825e-03 -2.819664330530659204e-03 2.693967301465004585e-02 6.909821308692034626e-03 8.830436308004473156e-03 1.016501959620410081e-02
3.081861212613756784e+00 1.027447264285675788e+00 8.561147802089408634e-03 -2.887523068764085484e-03 2.690040055309009942e-02 6.900142291175616338e-03 8.842667380073122516e-03 1.030492640681597398e-02
3.084025052486849550e+00 1.027441248550319708e+00 8.560572477625112003e-03 -2.954649409663162498e-03 2.686258951761932856e-02 6.891949480112057394e-03 8.854933506690039480e-03 1.044274750766674073e-02
3.086190411637636188e+00 1.027434915550296646e+00 8.559274684919548556e-03 -3.021044021518880501e-03 2.682622247224694320e-02 6.885228290958374762e-03 8.867232994328446902e-03 1.057849273902068676e-02
3.088357291132833637e+00 1.027428267341505608e+00 8.557260782439094979e-03 -3.086707572622312580e-03 2.679128198098209776e-02 6.879964139171575871e-03 8.879564149461590186e-03 1.071217194114227646e-02
3.090525692039908012e+00 1.027421305979844934e+00 8.554537128650129690e-03 -3.151640731264446823e-03 2.675775060783398135e-02 6.876142440208675953e-03 8.891925278562692186e-03 1.084379495429579378e-02
3.092695615427074607e+00 1.027414033521213854e+00 8.551110082019036315e-03 -3.215844165736357185e-03 2.672561091681178655e-02 6.873748609526685906e-03 8.904314688105000042e-03 1.097337161874570484e-02
3.094867062363299226e+00 1.027406452021511374e+00 8.546986001012191539e-03 -3.279318544329034787e-03 2.669484547192468860e-02 6.872768062582619228e-03 8.916730684561736606e-03 1.110091177475629361e-02
3.097040033918297741e+00 1.027398563536636278e+00 8.542171244095978985e-03 -3.342064535333552720e-03 2.666543683718186272e-02 6.873186214833488551e-03 8.929171574406150752e-03 1.122642526259202446e-02
3.099214531162536979e+00 1.027390370122487573e+00 8.536672169736775340e-03 -3.404082807040919017e-03 2.663736757659249457e-02 6.874988481736303905e-03 8.941635664111468804e-03 1.134992192251722647e-02
3.101390555167235608e+00 1.027381873834963821e+00 8.530495136400965961e-03 -3.465374027742149088e-03 2.661062025416577326e-02 6.878160278748078789e-03 8.954121260150922287e-03 1.147141159479624084e-02
3.103568107004364585e+00 1.027373076729964252e+00 8.523646502554922330e-03 -3.525938865728312117e-03 2.658517743391087054e-02 6.882687021325828436e-03 8.966626668997760077e-03 1.159090411969351635e-02
3.105747187746647153e+00 1.027363980863388093e+00 8.516132626665033276e-03 -3.585777989290419611e-03 2.656102167983697554e-02 6.888554124926563743e-03 8.979150197125210231e-03 1.170840933747339420e-02
3.107927798467560176e+00 1.027354588291133464e+00 8.507959867197672013e-03 -3.644892066719484808e-03 2.653813555595327389e-02 6.895747005007292138e-03 8.991690151006497336e-03 1.182393708840020694e-02
3.110109940241333693e+00 1.027344901069099592e+00 8.499134582619223902e-03 -3.703281766306577329e-03 2.651650162626892002e-02 6.904251077025032324e-03 9.004244837114873737e-03 1.193749721273840506e-02
3.112293614142952247e+00 1.027334921253185707e+00 8.489663131396065626e-03 -3.760947756342690462e-03 2.649610245479313425e-02 6.914051756436791728e-03 9.016812561923557082e-03 1.204909955075228987e-02
3.114478821248155338e+00 1.027324650899290148e+00 8.479551871994577342e-03 -3.817890705118893828e-03 2.647692060553506754e-02 6.925134458699589053e-03 9.029391631905801449e-03 1.215875394270631363e-02
3.116665562633437414e+00 1.027314092063312367e+00 8.468807162881144407e-03 -3.874111280926181150e-03 2.645893864250391594e-02 6.937484599270426523e-03 9.041980353534824488e-03 1.226647022886477416e-02
3.118853839376049208e+00 1.027303246801150927e+00 8.457435362522141772e-03 -3.929610152055605134e-03 2.644213912970886857e-02 6.951087593606322841e-03 9.054577033283871604e-03 1.237225824949208901e-02
3.121043652553997738e+00 1.027292117168704610e+00 8.445442829383946123e-03 -3.984387986798211545e-03 2.642650463115909024e-02 6.965928857164295843e-03 9.067179977626181261e-03 1.247612784485266010e-02
3.123235003246046304e+00 1.027280705221872648e+00 8.432835921932941084e-03 -4.038445453445014058e-03 2.641201771086376313e-02 6.981993805401351220e-03 9.079787493034978049e-03 1.257808885521083386e-02
3.125427892531715823e+00 1.027269013016553822e+00 8.419620998635510278e-03 -4.091783220287029815e-03 2.639866093283207982e-02 6.999267853774497269e-03 9.092397885983498698e-03 1.267815112083094976e-02
3.127622321491286161e+00 1.027257042608647364e+00 8.405804417958026922e-03 -4.144401955615323666e-03 2.638641686107321901e-02 7.017736417740756162e-03 9.105009462944990348e-03 1.277632448197744616e-02
3.129818291205794356e+00 1.027244796054051612e+00 8.391392538366878109e-03 -4.196302327720909282e-03 2.637526805959636289e-02 7.037384912757136193e-03 9.117620530392675851e-03 1.287261877891466948e-02
3.132015802757036838e+00 1.027232275408665574e+00 8.376391718328440525e-03 -4.247485004894802074e-03 2.636519709241068668e-02 7.058198754280642188e-03 9.130229394799791939e-03 1.296704385190696439e-02
3.134214857227570317e+00 1.027219482728388478e+00 8.360808316309094324e-03 -4.297950655428065155e-03 2.635618652352537256e-02 7.080163357768298922e-03 9.142834362639577078e-03 1.305960954121876405e-02
3.136415455700710453e+00 1.027206420069118886e+00 8.344648690775219660e-03 -4.347699947611700054e-03 2.634821891694961310e-02 7.103264138677105148e-03 9.155433740385261060e-03 1.315032568711438539e-02
3.138617599260534519e+00 1.027193089486756028e+00 8.327919200193193219e-03 -4.396733549736769019e-03 2.634127683669257314e-02 7.127486512464089111e-03 9.168025834510087554e-03 1.323920212985826156e-02
3.140821288991880511e+00 1.027179493037198466e+00 8.310626203029400361e-03 -4.445052130094288324e-03 2.633534284676345566e-02 7.152815894586256502e-03 9.180608951487286354e-03 1.332624870971474071e-02
3.143026525980347596e+00 1.027165632776345205e+00 8.292776057750222973e-03 -4.492656356975273380e-03 2.633039951117142202e-02 7.179237700500608679e-03 9.193181397790090720e-03 1.341147526694816752e-02
3.145233311312298330e+00 1.027151510760095476e+00 8.274375122822030804e-03 -4.539546898670787298e-03 2.632642939392566134e-02 7.206737345664174753e-03 9.205741479891740853e-03 1.349489164182297342e-02
3.147441646074856880e+00 1.027137129044347841e+00 8.255429756711216149e-03 -4.585724423471829875e-03 2.632341505903535925e-02 7.235300245533951742e-03 9.218287504265466545e-03 1.357650767460348226e-02
3.149651531355911693e+00 1.027122489685001083e+00 8.235946317884148757e-03 -4.631189599669464224e-03 2.632133907050969793e-02 7.264911815566969626e-03 9.230817777384509731e-03 1.365633320555411333e-02
3.151862968244114604e+00 1.027107594737954210e+00 8.215931164807210516e-03 -4.675943095554705754e-03 2.632018399235784567e-02 7.295557471220230628e-03 9.243330605722098470e-03 1.373437807493922518e-02
3.154075957828880838e+00 1.027092446259106673e+00 8.195390655946793723e-03 -4.719985579418571608e-03 2.631993238858899853e-02 7.327222627950736970e-03 9.255824295751467756e-03 1.381065212302316422e-02
3.156290501200392562e+00 1.027077046304356589e+00 8.174331149769257718e-03 -4.763317719552123165e-03 2.632056682321233521e-02 7.359892701215522970e-03 9.268297153945861261e-03 1.388516519007035321e-02
3.158506599449595775e+00 1.027061396929603188e+00 8.152759004741003471e-03 -4.805940184246362823e-03 2.632206986023704134e-02 7.393553106471576972e-03 9.280747486778503572e-03 1.395792711634512469e-02
3.160724253668202977e+00 1.027045500190745475e+00 8.130680579328395524e-03 -4.847853641792351093e-03 2.632442406367228524e-02 7.428189259175935893e-03 9.293173600722640093e-03 1.402894774211189445e-02
3.162943464948693606e+00 1.027029358143682014e+00 8.108102231997819237e-03 -4.889058760481103383e-03 2.632761199752725254e-02 7.463786574785598489e-03 9.305573802251498883e-03 1.409823690763501586e-02
3.165164234384312714e+00 1.027012972844312477e+00 8.085030321215661703e-03 -4.929556208603641174e-03 2.633161622581113928e-02 7.500330468757569584e-03 9.317946397838314937e-03 1.416580445317884747e-02
3.167386563069074956e+00 1.026996346348534761e+00 8.061471205448289198e-03 -4.969346654451018905e-03 2.633641931253310337e-02 7.537806356548878289e-03 9.330289693956328456e-03 1.423166021900779989e-02
3.169610452097761488e+00 1.026979480712247872e+00 8.037431243162083613e-03 -5.008430766314255454e-03 2.634200382170234084e-02 7.576199653616531166e-03 9.342601997078765763e-03 1.429581404538622647e-02
3.171835902565922627e+00 1.026962377991351927e+00 8.012916792823444184e-03 -5.046809212484374904e-03 2.634835231732804428e-02 7.615495775417526966e-03 9.354881613678873997e-03 1.435827577257849617e-02
3.174062915569878740e+00 1.026945040241744600e+00 7.987934212898726780e-03 -5.084482661252427357e-03 2.635544736341937158e-02 7.655680137408900875e-03 9.367126850229877746e-03 1.441905524084900747e-02
