# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.037920588946453115e+00 4.483126675583011013e-03 1.193883115656150552e-02 -1.415576240318323171e-03 -9.833842836625038969e-03 3.090165113270754160e-02 -3.626663690645947485e-02
3.011299873815032058e+00 1.037944482317570749e+00 4.501483361844271260e-03 1.187795721298227219e-02 -1.412353223847433517e-03 -9.665684155021989077e-03 3.050527622085826701e-02 -3.631850388414362835e-02
3.013414171081284731e+00 1.037967655029710778e+00 4.519032720238273619e-03 1.181856409398613847e-02 -1.407707579458237698e-03 -9.499256831836602397e-03 3.011421680845960749e-02 -3.636909299788159550e-02
3.015529952840320771e+00 1.037990110758816975e+00 4.535783305897208434e-03 1.176064063212877049e-02 -1.401651274499453618e-03 -9.334551523056596259e-03 2.972844319111546743e-02 -3.641840665460941567e-02
3.017647220134433095e+00 1.038011853180832222e+00 4.551743673953272985e-03 1.170417565996582226e-02 -1.394196276319799614e-03 -9.171558884669684525e-03 2.934792566442974773e-02 -3.646644726126311437e-02
3.019765974006647813e+00 1.038032885971698960e+00 4.566922379538674963e-03 1.164915801005289749e-02 -1.385354552267987517e-03 -9.010269572663438808e-03 2.897263452400598502e-02 -3.651321722477877257e-02
3.021886215500722450e+00 1.038053212807360071e+00 4.581327977785603842e-03 1.159557651494566924e-02 -1.375138069692738267e-03 -8.850674243025614604e-03 2.860254006544818081e-02 -3.655871895209238803e-02
3.024007945661148611e+00 1.038072837363758660e+00 4.594969023826267311e-03 1.154342000719974469e-02 -1.363558795942761961e-03 -8.692763551743778322e-03 2.823761258435988561e-02 -3.660295485014005562e-02
3.026131165533149314e+00 1.038091763316837390e+00 4.607854072792860918e-03 1.149267731937078131e-02 -1.350628698366777587e-03 -8.536528154805643823e-03 2.787782237634499338e-02 -3.664592732585778001e-02
3.028255876162682991e+00 1.038109994342538922e+00 4.619991679817579341e-03 1.144333728401442790e-02 -1.336359744313506083e-03 -8.381958708198926702e-03 2.752313973700739810e-02 -3.668763878618161445e-02
3.030382078596442597e+00 1.038127534116806805e+00 4.631390400032628536e-03 1.139538873368630030e-02 -1.320763901131654511e-03 -8.229045867911196840e-03 2.717353496195064333e-02 -3.672809163804761912e-02
3.032509773881854276e+00 1.038144386315583478e+00 4.642058788570204049e-03 1.134882050094206812e-02 -1.303853136169948797e-03 -8.077780289930207996e-03 2.682897834677873752e-02 -3.676728828839181257e-02
3.034638963067081363e+00 1.038160554614811604e+00 4.652005400562507498e-03 1.130362141833733507e-02 -1.285639416777094920e-03 -7.928152630243531784e-03 2.648944018709522424e-02 -3.680523114415026192e-02
3.036769647201022604e+00 1.038176042690434731e+00 4.661238791141737899e-03 1.125978031842775860e-02 -1.266134710301813166e-03 -7.780153544838882933e-03 2.615489077850400440e-02 -3.684192261225902043e-02
3.038901827333312600e+00 1.038190854218395076e+00 4.669767515440088196e-03 1.121728603376899620e-02 -1.245350984092827079e-03 -7.633773689703970099e-03 2.582530041660894768e-02 -3.687736509965409276e-02
3.041035504514324028e+00 1.038204992874635746e+00 4.677600128589766079e-03 1.117612739691665504e-02 -1.223300205498839598e-03 -7.489003720826365763e-03 2.550063939701363580e-02 -3.691156101327155298e-02
3.043170679795165867e+00 1.038218462335099623e+00 4.684745185722967095e-03 1.113629324042639084e-02 -1.199994341868573398e-03 -7.345834294193778584e-03 2.518087801532193845e-02 -3.694451276004745433e-02
3.045307354227685170e+00 1.038231266275729592e+00 4.691211241971885056e-03 1.109777239685386455e-02 -1.175445360550759610e-03 -7.204256065793964055e-03 2.486598656713782593e-02 -3.697622274691778760e-02
3.047445528864469733e+00 1.038243408372468535e+00 4.697006852468730252e-03 1.106055369875466945e-02 -1.149665228894084477e-03 -7.064259691614408788e-03 2.455593534806469955e-02 -3.700669338081866849e-02
3.049585204758843204e+00 1.038254892301259558e+00 4.702140572345694762e-03 1.102462597868446997e-02 -1.122665914247278698e-03 -6.925835827642867412e-03 2.425069465370651225e-02 -3.703592706868610168e-02
3.051726382964870865e+00 1.038265721738045100e+00 4.706620956734978468e-03 1.098997806919889929e-02 -1.094459383959058224e-03 -6.788975129866999143e-03 2.395023477966705394e-02 -3.706392621745613347e-02
3.053869064537356959e+00 1.038275900358768045e+00 4.710456560768780387e-03 1.095659880285361834e-02 -1.065057605378148982e-03 -6.653668254274515241e-03 2.365452602155018388e-02 -3.709069323406480323e-02
