# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.020498641791062200e+00 9.073753059378708921e-03 7.451154838540711457e-03 1.122865098486150459e-02 1.486057443223650666e-02 -3.328932336648725981e-03 -1.350600961207340522e-02
3.011299873815032058e+00 1.020503055681362348e+00 9.001528261801726091e-03 7.513444263737887631e-03 1.134427558864705039e-02 1.489257063797385337e-02 -3.170650438479235677e-03 -1.333359972424029601e-02
3.013414171081284731e+00 1.020507107195337548e+00 8.930211988453866032e-03 7.575456045859602951e-03 1.145865462436822593e-02 1.492518047897193126e-02 -3.013169404596506909e-03 -1.316338583471922744e-02
3.015529952840320771e+00 1.020510798898230487e+00 8.859799434890050854e-03 7.637189489800724242e-03 1.157179203528933484e-02 1.495839608364325606e-02 -2.856488578745641597e-03 -1.299535550861137534e-02
3.017647220134433095e+00 1.020514133355284514e+00 8.790285796665195731e-03 7.698643900456116594e-03 1.168369176467468247e-02 1.499220958040034697e-02 -2.700607304671738627e-03 -1.282949631101792422e-02
3.019765974006647813e+00 1.020517113131742315e+00 8.721666269334153385e-03 7.759818582720703212e-03 1.179435775578867480e-02 1.502661309765575097e-02 -2.545524926119750297e-03 -1.266579580703988683e-02
3.021886215500722450e+00 1.020519740792846797e+00 8.653936048451858071e-03 7.820712841489326633e-03 1.190379395189557730e-02 1.506159876382196644e-02 -2.391240786834824064e-03 -1.250424156177848758e-02
3.024007945661148611e+00 1.020522018903840422e+00 8.587090329573165981e-03 7.881325981656911797e-03 1.201200429625979942e-02 1.509715870731154902e-02 -2.237754230561913964e-03 -1.234482114033475138e-02
3.026131165533149314e+00 1.020523950029966764e+00 8.521124308252987084e-03 7.941657308118322059e-03 1.211899273214564303e-02 1.513328505653701098e-02 -2.085064601046119747e-03 -1.218752210780984710e-02
3.028255876162682991e+00 1.020525536736468286e+00 8.456033180046246961e-03 8.001706125768420774e-03 1.222476320281741524e-02 1.516996993991086284e-02 -1.933171242032538780e-03 -1.203233202930495058e-02
3.030382078596442597e+00 1.020526781588587450e+00 8.391812140507789661e-03 8.061471739502133749e-03 1.232931965153951856e-02 1.520720548584566199e-02 -1.782073497266126183e-03 -1.187923846992108672e-02
