# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.041457061752317781e+00 3.303284396252086086e-02 6.851781353484474868e-02 3.955499823858646576e-03 6.243048218614328376e-02 -2.077731534412527101e-02 5.121743347117868606e-02
3.011299873815032058e+00 1.041411064281569043e+00 3.299311340343542148e-02 6.843976966251538729e-02 3.946440991548980787e-03 6.239643113158657717e-02 -2.077881260530032789e-02 5.116978026863164275e-02
3.013414171081284731e+00 1.041365165356881395e+00 3.295370816906655759e-02 6.836244852862287391e-02 3.937941280069984923e-03 6.236239842860915455e-02 -2.077972971609460401e-02 5.112300635868981952e-02
3.015529952840320771e+00 1.041319364423169969e+00 3.291462694453446691e-02 6.828584533491671715e-02 3.929996327193138739e-03 6.232838400621927566e-02 -2.078007100375731456e-02 5.107710644677643935e-02
3.017647220134433095e+00 1.041273660925349676e+00 3.287586841495930556e-02 6.820995528314634238e-02 3.922601770689928061e-03 6.229438779342513777e-02 -2.077984079553769903e-02 5.103207523831480158e-02
3.019765974006647813e+00 1.041228054308335427e+00 3.283743126546121577e-02 6.813477357506121657e-02 3.915753248331823970e-03 6.226040971923494510e-02 -2.077904341868497262e-02 5.098790743872810838e-02
3.021886215500722450e+00 1.041182544017040801e+00 3.279931418116036057e-02 6.806029541241079284e-02 3.909446397890310558e-03 6.222644971265690883e-02 -2.077768320044835748e-02 5.094459775343963132e-02
3.024007945661148611e+00 1.041137129496381597e+00 3.276151584717687526e-02 6.798651599694449654e-02 3.903676857136865411e-03 6.219250770269924705e-02 -2.077576446807707922e-02 5.090214088787257951e-02
3.026131165533149314e+00 1.041091810191272726e+00 3.272403494863092982e-02 6.791343053041179467e-02 3.898440263842967851e-03 6.215858361837017787e-02 -2.077329154882035650e-02 5.086053154745023147e-02
3.028255876162682991e+00 1.041046585546627545e+00 3.268687017064268729e-02 6.784103421456218197e-02 3.893732255780098499e-03 6.212467738867789163e-02 -2.077026876992741147e-02 5.081976443759581713e-02
3.030382078596442597e+00 1.041001455007362297e+00 3.265002019833229685e-02 6.776932225114505604e-02 3.889548470719735376e-03 6.209078894263062032e-02 -2.076670045864747668e-02 5.077983426373257336e-02
3.032509773881854276e+00 1.040956418018391227e+00 3.261348371681992153e-02 6.769828984190995325e-02 3.885884546433359104e-03 6.205691820923658203e-02 -2.076259094222976040e-02 5.074073573128378561e-02
3.034638963067081363e+00 1.040911474024628580e+00 3.257725941122569663e-02 6.762793218860621569e-02 3.882736120692447269e-03 6.202306511750393936e-02 -2.075794454792349170e-02 5.070246354567263525e-02
3.036769647201022604e+00 1.040866622470989711e+00 3.254134596666979906e-02 6.755824449298336587e-02 3.880098831268480493e-03 6.198922959644095204e-02 -2.075276560297790659e-02 5.066501241232240771e-02
3.038901827333312600e+00 1.040821862802389530e+00 3.250574206827239188e-02 6.748922195679087077e-02 3.877968315932938531e-03 6.195541157505583818e-02 -2.074705843464220642e-02 5.062837703665635375e-02
3.041035504514324028e+00 1.040777194463742061e+00 3.247044640115362424e-02 6.742085978177816963e-02 3.876340212457300271e-03 6.192161098235679506e-02 -2.074082737016563413e-02 5.059255212409770330e-02
3.043170679795165867e+00 1.040732616899962437e+00 3.243545765043361756e-02 6.735315316969468780e-02 3.875210158613044166e-03 6.188782774735200609e-02 -2.073407673679739452e-02 5.055753238006970018e-02
3.045307354227685170e+00 1.040688129555965125e+00 3.240077450123258346e-02 6.728609732228996165e-02 3.874573792171650405e-03 6.185406179904973101e-02 -2.072681086178672014e-02 5.052331250999560208e-02
3.047445528864469733e+00 1.040643731876665701e+00 3.236639563867064334e-02 6.721968744131334716e-02 3.874426750904599176e-03 6.182031306645815322e-02 -2.071903407238283312e-02 5.048988721929863893e-02
3.049585204758843204e+00 1.040599423306977744e+00 3.233231974786795332e-02 6.715391872851435295e-02 3.874764672583367632e-03 6.178658147858548388e-02 -2.071075069583496256e-02 5.045725121340206842e-02
3.051726382964870865e+00 1.040555203291817055e+00 3.229854551394467643e-02 6.708878638564239050e-02 3.875583194979437263e-03 6.175286696443992029e-02 -2.070196505939231671e-02 5.042539919772911355e-02
3.053869064537356959e+00 1.040511071276097654e+00 3.226507162202097573e-02 6.702428561444701005e-02 3.876877955864286521e-03 6.171916945302972218e-02 -2.069268149030413159e-02 5.039432587770304589e-02
3.056013250531847358e+00 1.040467026704734677e+00 3.223189675721700731e-02 6.696041161667758146e-02 3.878644593009394296e-03 6.168548887336308684e-02 -2.068290431581962241e-02 5.036402595874710231e-02
3.058158942004628233e+00 1.040423069022642366e+00 3.219901960465289259e-02 6.689715959408355783e-02 3.880878744186239473e-03 6.165182515444816991e-02 -2.067263786318800436e-02 5.033449414628451968e-02
3.060306140012728271e+00 1.040379197674736300e+00 3.216643884944883625e-02 6.683452474841444779e-02 3.883576047166304845e-03 6.161817822529325195e-02 -2.066188645965852735e-02 5.030572514573855569e-02
3.062454845613916898e+00 1.040335412105930502e+00 3.213415317672498051e-02 6.677250228141967670e-02 3.886732139721064960e-03 6.158454801490652331e-02 -2.065065443248038923e-02 5.027771366253243335e-02
3.064605059866707393e+00 1.040291711761139659e+00 3.210216127160145372e-02 6.671108739484866990e-02 3.890342659622002611e-03 6.155093445229616045e-02 -2.063894610890281908e-02 5.025045440208941727e-02
3.066756783830356436e+00 1.040248096085279572e+00 3.207046181919844668e-02 6.665027529045093602e-02 3.894403244640596683e-03 6.151733746647043699e-02 -2.062676581617504945e-02 5.022394206983275128e-02
3.068910018564863229e+00 1.040204564523263597e+00 3.203905350463610857e-02 6.659006116997592817e-02 3.898909532548324765e-03 6.148375698643752940e-02 -2.061411788154628860e-02 5.019817137118567918e-02
3.071064765130972152e+00 1.040161116520007090e+00 3.200793501303458855e-02 6.653044023517305783e-02 3.903857161116668344e-03 6.145019294120565578e-02 -2.060100663226576909e-02 5.017313701157144479e-02
3.073221024590171879e+00 1.040117751520425182e+00 3.197710502951402883e-02 6.647140768779181974e-02 3.909241768117103707e-03 6.141664525978302036e-02 -2.058743639558271304e-02 5.014883369641328498e-02
3.075378798004697156e+00 1.040074468969432120e+00 3.194656223919460636e-02 6.641295872958162538e-02 3.915058991321114512e-03 6.138311387117783430e-02 -2.057341149874633915e-02 5.012525613113445744e-02
3.077538086437527909e+00 1.040031268311942814e+00 3.191630532719646335e-02 6.635508856229198338e-02 3.921304468500178345e-03 6.134959870439832264e-02 -2.055893626900586607e-02 5.010239902115818517e-02
3.079698890952390133e+00 1.039988148992871730e+00 3.188633297863977673e-02 6.629779238767231908e-02 3.927973837425774092e-03 6.131609968845268266e-02 -2.054401503361054024e-02 5.008025707190774667e-02
3.081861212613756784e+00 1.039945110457134225e+00 3.185664387864468872e-02 6.624106540747208560e-02 3.935062735869378908e-03 6.128261675234914635e-02 -2.052865211980955951e-02 5.005882498880637188e-02
3.084025052486849550e+00 1.039902152149644543e+00 3.182723671233133461e-02 6.618490282344072217e-02 3.942566801602475149e-03 6.124914982509591793e-02 -2.051285185485214602e-02 5.003809747727728380e-02
3.086190411637636188e+00 1.039859273515317817e+00 3.179811016481991909e-02 6.612929983732775130e-02 3.950481672396540835e-03 6.121569883570118775e-02 -2.049661856598754966e-02 5.001806924274378174e-02
3.088357291132833637e+00 1.039816473999068069e+00 3.176926292123054968e-02 6.607425165088257057e-02 3.958802986023058322e-03 6.118226371317320167e-02 -2.047995658046496137e-02 4.999873499062905402e-02
3.090525692039908012e+00 1.039773753045810434e+00 3.174069366668341025e-02 6.601975346585461923e-02 3.967526380253500427e-03 6.114884438652014309e-02 -2.046287022553362062e-02 4.998008942635636526e-02
3.092695615427074607e+00 1.039731110100460265e+00 3.171240108629864995e-02 6.596580048399340590e-02 3.976647492859353844e-03 6.111544078475024400e-02 -2.044536382844275302e-02 4.996212725534896620e-02
3.094867062363299226e+00 1.039688544607931142e+00 3.168438386519642491e-02 6.591238790704832817e-02 3.986161961612092255e-03 6.108205283687169473e-02 -2.042744171644157378e-02 4.994484318303009374e-02
3.097040033918297741e+00 1.039646056013138864e+00 3.165664068849689122e-02 6.585951093676890855e-02 3.996065424283199753e-03 6.104868047189272035e-02 -2.040910821677931197e-02 4.992823191482299860e-02
3.099214531162536979e+00 1.039603643760997675e+00 3.162917024132019805e-02 6.580716477490451688e-02 4.006353518644153490e-03 6.101532361882152505e-02 -2.039036765670517587e-02 4.991228815615092462e-02
3.101390555167235608e+00 1.039561307296422044e+00 3.160197120878651539e-02 6.575534462320468954e-02 4.017021882466429751e-03 6.098198220666633390e-02 -2.037122436346840496e-02 4.989700661243712254e-02
3.103568107004364585e+00 1.039519046064327545e+00 3.157504227601598545e-02 6.570404568341886575e-02 4.028066153521514363e-03 6.094865616443536499e-02 -2.035168266431821790e-02 4.988238198910482230e-02
3.105747187746647153e+00 1.039476859509628648e+00 3.154838212812878517e-02 6.565326315729647089e-02 4.039481969580883611e-03 6.091534542113680867e-02 -2.033174688650383685e-02 4.986840899157730239e-02
3.107927798467560176e+00 1.039434747077239374e+00 3.152198945024505677e-02 6.560299224658697193e-02 4.051264968416012045e-03 6.088204990577888998e-02 -2.031142135727448395e-02 4.985508232527775807e-02
