# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.019832963757093536e+00 5.606089100442735590e-03 1.115606484167739124e-02 7.396920528667799179e-03 1.316053954472324108e-02 5.122513688868824376e-03 5.742744063938300982e-03
3.011299873815032058e+00 1.019811491920001867e+00 5.600009428392230953e-03 1.116490295531351838e-02 7.411452900013050862e-03 1.316902221108611284e-02 5.133761273720887676e-03 5.710532684239068985e-03
3.013414171081284731e+00 1.019790185412059902e+00 5.594029044968420843e-03 1.117333163461796397e-02 7.425714483366302639e-03 1.317734932056884543e-02 5.144488372476089914e-03 5.678850164550136581e-03
3.015529952840320771e+00 1.019769043112593643e+00 5.588147332229574486e-03 1.118135420251023179e-02 7.439706509232747039e-03 1.318552192379554393e-02 5.154698885741554847e-03 5.647693043236369850e-03
3.017647220134433095e+00 1.019748063900929758e+00 5.582363672233965450e-03 1.118897398190982218e-02 7.453430208117570524e-03 1.319354107139030126e-02 5.164396714124401891e-03 5.617057858662640075e-03
3.019765974006647813e+00 1.019727246656394470e+00 5.576677447039859493e-03 1.119619429573624411e-02 7.466886810525973431e-03 1.320140781397722597e-02 5.173585758231761741e-03 5.586941149193786448e-03
3.021886215500722450e+00 1.019706590258313339e+00 5.571088038705527580e-03 1.120301846690899099e-02 7.480077546963138750e-03 1.320912320218040233e-02 5.182269918670752082e-03 5.557339453194684586e-03
3.024007945661148611e+00 1.019686093586013476e+00 5.565594829289238071e-03 1.120944981834757354e-02 7.493003647934266820e-03 1.321668828662394581e-02 5.190453096048501871e-03 5.528249309030173683e-03
3.026131165533149314e+00 1.019665755518820882e+00 5.560197200849259329e-03 1.121549167297149381e-02 7.505666343944546702e-03 1.322410411793194934e-02 5.198139190972132263e-03 5.499667255065124154e-03
3.028255876162682991e+00 1.019645574936062005e+00 5.554894535443863184e-03 1.122114735370024693e-02 7.518066865499165724e-03 1.323137174672850760e-02 5.205332104048764411e-03 5.471589829664402077e-03
3.030382078596442597e+00 1.019625550717063067e+00 5.549686215131318864e-03 1.122642018345334711e-02 7.530206443103325958e-03 1.323849222363772740e-02 5.212035735885529007e-03 5.444013571192848379e-03
3.032509773881854276e+00 1.019605681741150294e+00 5.544571621969895600e-03 1.123131348515028945e-02 7.542086307262208661e-03 1.324546659928370861e-02 5.218253987089543737e-03 5.416935018015338679e-03
3.034638963067081363e+00 1.019585966887649908e+00 5.539550138017860885e-03 1.123583058171058469e-02 7.553707688481015904e-03 1.325229592429054241e-02 5.223990758267935824e-03 5.390350708496715638e-03
3.036769647201022604e+00 1.019566405035887913e+00 5.534621145333489152e-03 1.123997479605372621e-02 7.565071817264933281e-03 1.325898124928234258e-02 5.229249950027830759e-03 5.364257181001844468e-03
3.038901827333312600e+00 1.019546995065191419e+00 5.529784025975046161e-03 1.124374945109921954e-02 7.576179924119152455e-03 1.326552362488319335e-02 5.234035462976346226e-03 5.338650973895593850e-03
3.041035504514324028e+00 1.019527735854885986e+00 5.525038162000799405e-03 1.124715786976657542e-02 7.587033239548871162e-03 1.327192410171720849e-02 5.238351197720612917e-03 5.313528625542804709e-03
3.043170679795165867e+00 1.019508626284298725e+00 5.520382935469023318e-03 1.125020337497529069e-02 7.597632994059279332e-03 1.327818373040847919e-02 5.242201054867752855e-03 5.288886674308345727e-03
