# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.044519537659699848e+00 2.885737599730752237e-02 4.483378050970947271e-02 -1.719448170216254009e-03 4.517463029924741191e-02 -1.535743295855343353e-02 4.341847446778880626e-02
3.011299873815032058e+00 1.044483793726649123e+00 2.885352435558167367e-02 4.480245265817327932e-02 -1.689167825432537091e-03 4.525397695717144758e-02 -1.533209627324402108e-02 4.334871073316365342e-02
3.013414171081284731e+00 1.044448144154388469e+00 2.884976342460252724e-02 4.477128014187969907e-02 -1.659201278857993459e-03 4.533145189328847968e-02 -1.530683563639775348e-02 4.327978244079584702e-02
3.015529952840320771e+00 1.044412588314529655e+00 2.884609260512230669e-02 4.474026158871397679e-02 -1.629545806122268368e-03 4.540706680667253026e-02 -1.528165044510587656e-02 4.321168444149017795e-02
3.017647220134433095e+00 1.044377125578683785e+00 2.884251129789320439e-02 4.470939562656135735e-02 -1.600198682855007073e-03 4.548083339639766298e-02 -1.525654009645962920e-02 4.314441158605144405e-02
3.019765974006647813e+00 1.044341755318462850e+00 2.883901890366743700e-02 4.467868088330705784e-02 -1.571157184685826854e-03 4.555276336153797623e-02 -1.523150398755023817e-02 4.307795872528433906e-02
3.021886215500722450e+00 1.044306476905476844e+00 2.883561482319718997e-02 4.464811598683628840e-02 -1.542418587244381205e-03 4.562286840116745734e-02 -1.520654151546894407e-02 4.301232070999366081e-02
3.024007945661148611e+00 1.044271289711337980e+00 2.883229845723467993e-02 4.461769956503430085e-02 -1.513980166160288059e-03 4.569116021436023939e-02 -1.518165207730697713e-02 4.294749239098416549e-02
3.026131165533149314e+00 1.044236193107657140e+00 2.882906920653210622e-02 4.458743024578631919e-02 -1.485839197063192020e-03 4.575765050019036523e-02 -1.515683507015557624e-02 4.288346861906058155e-02
3.028255876162682991e+00 1.044201186466045650e+00 2.882592647184167856e-02 4.455730665697758830e-02 -1.457992955582737039e-03 4.582235095773185690e-02 -1.513208989110598202e-02 4.282024424502771376e-02
3.030382078596442597e+00 1.044166269158115501e+00 2.882286965391559624e-02 4.452732742649331832e-02 -1.430438717348542135e-03 4.588527328605883360e-02 -1.510741593724941774e-02 4.275781411969029056e-02
3.032509773881854276e+00 1.044131440555476464e+00 2.881989815350607248e-02 4.449749118221875410e-02 -1.403173757990259932e-03 4.594642918424528960e-02 -1.508281260567713791e-02 4.269617309385308895e-02
3.034638963067081363e+00 1.044096700029740976e+00 2.881701137136528576e-02 4.446779655203910581e-02 -1.376195353137508797e-03 4.600583035136534410e-02 -1.505827929348035367e-02 4.263531601832085127e-02
3.036769647201022604e+00 1.044062046952519918e+00 2.881420870824547356e-02 4.443824216383962522e-02 -1.349500778419933551e-03 4.606348848649303995e-02 -1.503381539775031604e-02 4.257523774389835453e-02
3.038901827333312600e+00 1.044027480695424837e+00 2.881148956489881785e-02 4.440882664550554332e-02 -1.323087309467177279e-03 4.611941528870241308e-02 -1.500942031557826739e-02 4.251593312139034797e-02
3.041035504514324028e+00 1.043993000630067058e+00 2.880885334207753182e-02 4.437954862492207719e-02 -1.296952221908859865e-03 4.617362245706756879e-02 -1.498509344405542058e-02 4.245739700160159474e-02
3.043170679795165867e+00 1.043958606128057243e+00 2.880629944053382518e-02 4.435040672997445088e-02 -1.271092791374625261e-03 4.622612169066252913e-02 -1.496083418027303012e-02 4.239962423533685104e-02
