# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.065066464190120632e+00 1.057696267075824287e-02 1.998979125471059617e-02 1.594649506681683829e-02 1.879999303054446722e-02 -1.185270908813224403e-02 1.150013393936737821e-02
3.011299873815032058e+00 1.065040645348563686e+00 1.052660961642104542e-02 1.995889340855583685e-02 1.591946688535223614e-02 1.876543664116254659e-02 -1.186835539898977408e-02 1.146937816580231688e-02
3.013414171081284731e+00 1.065014897834204888e+00 1.047693132373179667e-02 1.992837880819974331e-02 1.589237429897108131e-02 1.873117146110317432e-02 -1.188352349991997174e-02 1.143979602698244266e-02
3.015529952840320771e+00 1.064989221353828786e+00 1.042792442313465046e-02 1.989824429608561679e-02 1.586521785301337265e-02 1.869719636057273413e-02 -1.189821501950721720e-02 1.141137908237957292e-02
3.017647220134433095e+00 1.064963615614219039e+00 1.037958554507375369e-02 1.986848671465674468e-02 1.583799809281908472e-02 1.866351020977758887e-02 -1.191243158633591148e-02 1.138411889146552156e-02
3.019765974006647813e+00 1.064938080322160197e+00 1.033191131999321513e-02 1.983910290635638313e-02 1.581071556372818515e-02 1.863011187892407022e-02 -1.192617482899045213e-02 1.135800701371207644e-02
3.021886215500722450e+00 1.064912615184435696e+00 1.028489837833718862e-02 1.981008971362781604e-02 1.578337081108066239e-02 1.859700023821856188e-02 -1.193944637605522628e-02 1.133303500859105320e-02
3.024007945661148611e+00 1.064887219907829863e+00 1.023854335054978464e-02 1.978144397891431691e-02 1.575596438021648060e-02 1.856417415786740938e-02 -1.195224785611463496e-02 1.130919443557425012e-02
3.026131165533149314e+00 1.064861894199126802e+00 1.019284286707515010e-02 1.975316254465916271e-02 1.572849681647562128e-02 1.853163250807697560e-02 -1.196458089775306703e-02 1.128647685413347243e-02
3.028255876162682991e+00 1.064836637765110172e+00 1.014779355835743191e-02 1.972524225330565123e-02 1.570096866519807635e-02 1.849937415905361995e-02 -1.197644712955491485e-02 1.126487382374053402e-02
3.030382078596442597e+00 1.064811450312564522e+00 1.010339205484073188e-02 1.969767994729702820e-02 1.567338047172380303e-02 1.846739798100369492e-02 -1.198784818010457942e-02 1.124437690386722796e-02
3.032509773881854276e+00 1.064786331548273512e+00 1.005963498696922122e-02 1.967047246907659835e-02 1.564573278139279669e-02 1.843570284413357033e-02 -1.199878567798645136e-02 1.122497765398537163e-02
3.034638963067081363e+00 1.064761281179021024e+00 1.001651898518699652e-02 1.964361666108761437e-02 1.561802613954501283e-02 1.840428761864959170e-02 -1.200926125178492475e-02 1.120666763356675984e-02
3.036769647201022604e+00 1.064736298911591827e+00 9.974040679938209891e-03 1.961710936577336709e-02 1.559026109152044509e-02 1.837315117475812540e-02 -1.201927653008439539e-02 1.118943840208319433e-02
3.038901827333312600e+00 1.064711384452768916e+00 9.932196701667003053e-03 1.959094742557714042e-02 1.556243818265907325e-02 1.834229238266553430e-02 -1.202883314146925391e-02 1.117328151900649595e-02
3.041035504514324028e+00 1.064686537509337283e+00 9.890983680817491686e-03 1.956512768294219745e-02 1.553455795830086146e-02 1.831171011257817088e-02 -1.203793271452389957e-02 1.115818854380845777e-02
3.043170679795165867e+00 1.064661757788080365e+00 9.850398247833819232e-03 1.953964698031182209e-02 1.550662096378579644e-02 1.828140323470239109e-02 -1.204657687783272473e-02 1.114415103596088329e-02
3.045307354227685170e+00 1.064637044995782045e+00 9.810437033160134337e-03 1.951450216012930172e-02 1.547862774445386488e-02 1.825137061924457862e-02 -1.205476725998011478e-02 1.113116055493558985e-02
3.047445528864469733e+00 1.064612398839226648e+00 9.771096667240535341e-03 1.948969006483788902e-02 1.545057884564502229e-02 1.822161113641105820e-02 -1.206250548955048116e-02 1.111920866020436709e-02
3.049585204758843204e+00 1.064587819025198945e+00 9.732373780519169154e-03 1.946520753688088176e-02 1.542247481269924843e-02 1.819212365640819271e-02 -1.206979319512820753e-02 1.110828691123902541e-02
