# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 9.948595821812977746e-01 3.146434457563405170e-03 7.580457538624915149e-03 4.110929095064701048e-03 1.946195180852108961e-04 -5.251381022181013191e-05 7.828005246134348005e-03
3.011299873815032058e+00 9.948463299630047052e-01 3.138401837270074317e-03 7.579882827522482422e-03 4.201279962804650714e-03 1.965532713353283919e-04 -1.018181382189463184e-04 7.815476138628339731e-03
3.013414171081284731e+00 9.948331691267857657e-01 3.130064274382304747e-03 7.579295513619837416e-03 4.290839695292088946e-03 1.983674845753792462e-04 -1.498514926792532149e-04 7.803431633505201852e-03
3.015529952840320771e+00 9.948200993190550179e-01 3.121425085812941109e-03 7.578695339585254757e-03 4.379611178740206064e-03 2.000630304726810720e-04 -1.966224770249989581e-04 7.791867405852547813e-03
3.017647220134433095e+00 9.948071201862258572e-01 3.112487588474831517e-03 7.578082048087011677e-03 4.467597299362188919e-03 2.016407816945514555e-04 -2.421396946784531556e-04 7.780779130757971111e-03
3.019765974006647813e+00 9.947942313747124565e-01 3.103255099280813681e-03 7.577455381793382801e-03 4.554800943371311098e-03 2.031016109083095818e-04 -2.864117490619285658e-04 7.770162483309068710e-03
3.021886215500722450e+00 9.947814325309279893e-01 3.093730935143736149e-03 7.576815083372636685e-03 4.641224996980730828e-03 2.044463907812724948e-04 -3.294472435976808912e-04 7.760013138593445381e-03
3.024007945661148611e+00 9.947687233012867392e-01 3.083918412976436631e-03 7.576160895493054895e-03 4.726872346403723432e-03 2.056759939807592985e-04 -3.712547817080212912e-04 7.750326771698696354e-03
3.026131165533149314e+00 9.947561033322022128e-01 3.073820849691761507e-03 7.575492560822907721e-03 4.811745877853474893e-03 2.067912931740876873e-04 -4.118429668152198881e-04 7.741099057712421197e-03
3.028255876162682991e+00 9.947435722700880278e-01 3.063441562202558026e-03 7.574809822030468057e-03 4.895848477543174662e-03 2.077931610285753557e-04 -4.512204023415481596e-04 7.732325671722224680e-03
3.030382078596442597e+00 9.947311297613581349e-01 3.052783867421663029e-03 7.574112421784016599e-03 4.979183031686095461e-03 2.086824702115412178e-04 -4.893956917093151508e-04 7.724002288815700300e-03
3.032509773881854276e+00 9.947187754524263736e-01 3.041851082261927668e-03 7.573400102751822772e-03 5.061752426495398985e-03 2.094600933903027512e-04 -5.263774383407801962e-04 7.716124584080453694e-03
3.034638963067081363e+00 9.947065089897061396e-01 3.030646523636187483e-03 7.572672607602160336e-03 5.143559548184352750e-03 2.101269032321785449e-04 -5.621742456582507147e-04 7.708688232604079225e-03
3.036769647201022604e+00 9.946943300196114945e-01 3.019173508457290156e-03 7.571929679003307385e-03 5.224607282966150547e-03 2.106837724044865372e-04 -5.967947170839989430e-04 7.701688909474179064e-03
3.038901827333312600e+00 9.946822381885561670e-01 3.007435353638082502e-03 7.571171059623538549e-03 5.304898517053979225e-03 2.111315735745446123e-04 -6.302474560402979847e-04 7.695122289778351908e-03
3.041035504514324028e+00 9.946702331429538857e-01 2.995435376091401362e-03 7.570396492131124117e-03 5.384436136661110636e-03 2.114711794096713320e-04 -6.625410659494531448e-04 7.688984048604199928e-03
3.043170679795165867e+00 9.946583145292182682e-01 2.983176892730093552e-03 7.569605719194342185e-03 5.463223028000732499e-03 2.117034625771845805e-04 -6.936841502337374185e-04 7.683269861039320088e-03
3.045307354227685170e+00 9.946464819937631541e-01 2.970663220467009355e-03 7.568798483481466513e-03 5.541262077286013450e-03 2.118292957444023504e-04 -7.236853123154159953e-04 7.677975402171313690e-03
3.047445528864469733e+00 9.946347351830023831e-01 2.957897676214979975e-03 7.567974527660769127e-03 5.618556170730266974e-03 2.118495515786430951e-04 -7.525531556168107679e-04 7.673096347087779434e-03
3.049585204758843204e+00 9.946230737433494618e-01 2.944883576886853527e-03 7.567133594400528122e-03 5.695108194546662575e-03 2.117651027472247530e-04 -7.802962835601861668e-04 7.668628370876316019e-03
3.051726382964870865e+00 9.946114973212183408e-01 2.931624239395474660e-03 7.566275426369015525e-03 5.770921034948414859e-03 2.115768219174653166e-04 -8.069232995678261378e-04 7.664567148624523880e-03
3.053869064537356959e+00 9.946000055630228598e-01 2.918122980653691922e-03 7.565399766234507696e-03 5.845997578148717615e-03 2.112855817566832123e-04 -8.324428070620070374e-04 7.660908355420005186e-03
3.056013250531847358e+00 9.945885981151764144e-01 2.904383117574343889e-03 7.564506356665276661e-03 5.920340710360811470e-03 2.108922549321964326e-04 -8.568634094650207263e-04 7.657647666350357769e-03
3.058158942004628233e+00 9.945772746240929552e-01 2.890407967070269570e-03 7.563594940329597047e-03 5.993953317797932716e-03 2.103977141113228888e-04 -8.801937101991580891e-04 7.654780756503178595e-03
3.060306140012728271e+00 9.945660347361865439e-01 2.876200846054317081e-03 7.562665259895746950e-03 6.066838286673280345e-03 2.098028319613809531e-04 -9.024423126866965668e-04 7.652303300966070698e-03
3.062454845613916898e+00 9.945548780978704650e-01 2.861765071439336273e-03 7.561717058031995793e-03 6.138998503200041208e-03 2.091084811496888077e-04 -9.236178203499113230e-04 7.650210974826632780e-03
3.064605059866707393e+00 9.945438043555583363e-01 2.847103960138157915e-03 7.560750077406620806e-03 6.210436853591481954e-03 2.083155343435642284e-04 -9.437288366111012657e-04 7.648499453172464407e-03
3.066756783830356436e+00 9.945328131556647744e-01 2.832220829063634027e-03 7.559764060687898350e-03 6.281156224060798106e-03 2.074248642103255602e-04 -9.627839648925430767e-04 7.647164411091165147e-03
3.068910018564863229e+00 9.945219041446026198e-01 2.817118995128610991e-03 7.558758750544099583e-03 6.351159500821179985e-03 2.064373434172912293e-04 -9.807918086165148472e-04 7.646201523670336300e-03
3.071064765130972152e+00 9.945110769687860452e-01 2.801801775245922610e-03 7.557733889643499132e-03 6.420449570085887299e-03 2.053538446317787675e-04 -9.977609712053115820e-04 7.645606465997575700e-03
3.073221024590171879e+00 9.945003312746286683e-01 2.786272486328423073e-03 7.556689220654372492e-03 6.489029318068095624e-03 2.041752405211068452e-04 -1.013700056081206927e-03 7.645374913160482046e-03
3.075378798004697156e+00 9.944896667085443287e-01 2.770534445288945317e-03 7.555624486244996024e-03 6.556901630981065536e-03 2.029024037525930754e-04 -1.028617666666494478e-03 7.645502540246659241e-03
3.077538086437527909e+00 9.944790829169467550e-01 2.754590969040338760e-03 7.554539429083640019e-03 6.624069395037989090e-03 2.015362069935557488e-04 -1.042522406383453301e-03 7.645985022343699915e-03
3.079698890952390133e+00 9.944685795462497868e-01 2.738445374495446314e-03 7.553433791838582573e-03 6.690535496452083494e-03 2.000775229113130479e-04 -1.055422878654366800e-03 7.646818034539211439e-03
3.081861212613756784e+00 9.944581562428670418e-01 2.722100978567116528e-03 7.552307317178095711e-03 6.756302821436546008e-03 1.985272241731835885e-04 -1.067327686901515778e-03 7.647997251920789046e-03
3.084025052486849550e+00 9.944478126532122486e-01 2.705561098168183642e-03 7.551159747770455795e-03 6.821374256204632003e-03 1.968861834464845503e-04 -1.078245434547190794e-03 7.649518349576032300e-03
3.086190411637636188e+00 9.944375484236992468e-01 2.688829050211500107e-03 7.549990826283935717e-03 6.885752686969519656e-03 1.951552733985350641e-04 -1.088184725013669829e-03 7.651377002592543372e-03
3.088357291132833637e+00 9.944273632007418762e-01 2.671908151609900597e-03 7.548800295386811840e-03 6.949440999944465208e-03 1.933353666966522010e-04 -1.097154161723242795e-03 7.653568886057920961e-03
3.090525692039908012e+00 9.944172566307534211e-01 2.654801719276237999e-03 7.547587897747355321e-03 7.012442081342643366e-03 1.914273360081551192e-04 -1.105162348098187022e-03 7.656089675059760298e-03
3.092695615427074607e+00 9.944072283601482765e-01 2.637513070123346983e-03 7.546353376033843388e-03 7.074758817377310369e-03 1.894320540003608896e-04 -1.112217887560792420e-03 7.658935044685669623e-03
3.094867062363299226e+00 9.943972780353396157e-01 2.620045521064079137e-03 7.545096472914548935e-03 7.136394094261645261e-03 1.873503933405887788e-04 -1.118329383533337405e-03 7.662100670023239829e-03
3.097040033918297741e+00 9.943874053027416116e-01 2.602402389011270432e-03 7.543816931057750926e-03 7.197350798208904284e-03 1.851832266961556681e-04 -1.123505439438111236e-03 7.665582226160079157e-03
3.099214531162536979e+00 9.943776098087678816e-01 2.584586990877766385e-03 7.542514493131715313e-03 7.257631815432280357e-03 1.829314267343802548e-04 -1.127754658697394064e-03 7.669375388183780236e-03
3.101390555167235608e+00 9.943678911998319325e-01 2.566602643576419013e-03 7.541188901804723663e-03 7.317240032144973344e-03 1.805958661225814802e-04 -1.131085644733469944e-03 7.673475831181943499e-03
3.103568107004364585e+00 9.943582491223481590e-01 2.548452664020059519e-03 7.539839899745048868e-03 7.376178334560240350e-03 1.781774175280760087e-04 -1.133507000968624447e-03 7.677879230242173718e-03
3.105747187746647153e+00 9.943486832227298455e-01 2.530140369121537322e-03 7.538467229620964688e-03 7.434449608891275166e-03 1.756769536181825920e-04 -1.135027330825140110e-03 7.682581260452067858e-03
