# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.030652493876534459e+00 5.665564771488956590e-03 1.127442087041791163e-02 7.475395344932018842e-03 1.330016128578528217e-02 5.176859050426647034e-03 5.803669523867659337e-03
3.011299873815032058e+00 1.030630794242150206e+00 5.659420599469139335e-03 1.128335274866067856e-02 7.490081891946291127e-03 1.330873394577207838e-02 5.188225962254208040e-03 5.771116409781297182e-03
3.013414171081284731e+00 1.030609261690912160e+00 5.653376769440954415e-03 1.129187084883387718e-02 7.504494778146308248e-03 1.331714939855715464e-02 5.199066866085536205e-03 5.739097766444456808e-03
3.015529952840320771e+00 1.030587895090257389e+00 5.647432656906854406e-03 1.129997852911026127e-02 7.518635247091839252e-03 1.332540870591081110e-02 5.209385703909763347e-03 5.707610095497104262e-03
3.017647220134433095e+00 1.030566693307623183e+00 5.641587637369293619e-03 1.130767914766258285e-02 7.532504542342647116e-03 1.333351292960333750e-02 5.219186417716018683e-03 5.676649898579206460e-03
3.019765974006647813e+00 1.030545655210445943e+00 5.635841086330721159e-03 1.131497606266360090e-02 7.546103907458510431e-03 1.334146313140504095e-02 5.228472949493439235e-03 5.646213677330701695e-03
3.021886215500722450e+00 1.030524779666162294e+00 5.630192379293589601e-03 1.132187263228606224e-02 7.559434585999187835e-03 1.334926037308620250e-02 5.237249241231153353e-03 5.616297933391563822e-03
3.024007945661148611e+00 1.030504065542209968e+00 5.624640891760348919e-03 1.132837221470272930e-02 7.572497821524457919e-03 1.335690571641713446e-02 5.245519234918296324e-03 5.586899168401729399e-03
3.026131165533149314e+00 1.030483511706025368e+00 5.619185999233450822e-03 1.133447816808635239e-02 7.585294857594086261e-03 1.336440022316812658e-02 5.253286872543999099e-03 5.558013884001167075e-03
3.028255876162682991e+00 1.030463117025045783e+00 5.613827077215348751e-03 1.134019385060967833e-02 7.597826937767837574e-03 1.337174495510947032e-02 5.260556096097390895e-03 5.529638581829841165e-03
3.030382078596442597e+00 1.030442880366708058e+00 5.608563501208493549e-03 1.134552262044547476e-02 7.610095305605489580e-03 1.337894097401146933e-02 5.267330847567609602e-03 5.501769763527689962e-03
3.032509773881854276e+00 1.030422800598448818e+00 5.603394646715337789e-03 1.135046783576648503e-02 7.622101204666802653e-03 1.338598934164442027e-02 5.273615068943783568e-03 5.474403930734687319e-03
3.034638963067081363e+00 1.030402876587705130e+00 5.598319889238329711e-03 1.135503285474547333e-02 7.633845878511554515e-03 1.339289111977861289e-02 5.279412702215046348e-03 5.447537585090774133e-03
3.036769647201022604e+00 1.030383107201913839e+00 5.593338604279926227e-03 1.135922103555518474e-02 7.645330570699508145e-03 1.339964737018435603e-02 5.284727689370532361e-03 5.421167228235913849e-03
3.038901827333312600e+00 1.030363491308512236e+00 5.588450167342575575e-03 1.136303573636837302e-02 7.656556524790431723e-03 1.340625915463193076e-02 5.289563972399369089e-03 5.395289361810071647e-03
3.041035504514324028e+00 1.030344027774936944e+00 5.583653953928727730e-03 1.136648031535780409e-02 7.667524984344101235e-03 1.341272753489164936e-02 5.293925493290693556e-03 5.369900487453188424e-03
3.043170679795165867e+00 1.030324715468625252e+00 5.578949339540838735e-03 1.136955813069622304e-02 7.678237192920282263e-03 1.341905357273379985e-02 5.297816194033636711e-03 5.344997106805229360e-03
3.045307354227685170e+00 1.030305553257013784e+00 5.574335699681357698e-03 1.137227254055637841e-02 7.688694394078736914e-03 1.342523832992867545e-02 5.301240016617325169e-03 5.320575721506163105e-03
3.047445528864469733e+00 1.030286540007539164e+00 5.569812409852736325e-03 1.137462690311103614e-02 7.698897831379246381e-03 1.343128286824658325e-02 5.304200903030902026e-03 5.296632833195919279e-03
3.049585204758843204e+00 1.030267674587638904e+00 5.565378845557425458e-03 1.137662457653294650e-02 7.708848748381575376e-03 1.343718824945781300e-02 5.306702795263492159e-03 5.273164943514467400e-03
3.051726382964870865e+00 1.030248955864749627e+00 5.561034382297876805e-03 1.137826891899485979e-02 7.718548388645492080e-03 1.344295553533266137e-02 5.308749635304228255e-03 5.250168554101763974e-03
3.053869064537356959e+00 1.030230382706308179e+00 5.556778395576545543e-03 1.137956328866953498e-02 7.727997995730762938e-03 1.344858578764142505e-02 5.310345365142244735e-03 5.227640166597773315e-03
3.056013250531847358e+00 1.030211953979752071e+00 5.552610260895879044e-03 1.138051104372972584e-02 7.737198813197158735e-03 1.345408006815439900e-02 5.311493926766673417e-03 5.205576282642446727e-03
3.058158942004628233e+00 1.030193668552517039e+00 5.548529353758329882e-03 1.138111554234818266e-02 7.746152084604451989e-03 1.345943943864188509e-02 5.312199262166644384e-03 5.183973403875728574e-03
3.060306140012728271e+00 1.030175525292041483e+00 5.544535049666350635e-03 1.138138014269766095e-02 7.754859053512412614e-03 1.346466496087418002e-02 5.312465313331293792e-03 5.162828031937587506e-03
3.062454845613916898e+00 1.030157523065761360e+00 5.540626724122393008e-03 1.138130820295091966e-02 7.763320963480802722e-03 1.346975769662157527e-02 5.312296022249749991e-03 5.142136668467985235e-03
3.064605059866707393e+00 1.030139660741113294e+00 5.536803752628906110e-03 1.138090308128070563e-02 7.771539058069395697e-03 1.347471870765436751e-02 5.311695330911148268e-03 5.121895815106861788e-03
3.066756783830356436e+00 1.030121937185535241e+00 5.533065510688345984e-03 1.138016813585977956e-02 7.779514580837964058e-03 1.347954905574286037e-02 5.310667181304619573e-03 5.102101973494186683e-03
3.068910018564863229e+00 1.030104351266464047e+00 5.529411373803162603e-03 1.137910672486089174e-02 7.787248775346268179e-03 1.348424980265734187e-02 5.309215515419297461e-03 5.082751645269919030e-03
3.071064765130972152e+00 1.030086901851335668e+00 5.525840717475805942e-03 1.137772220645679941e-02 7.794742885154086649e-03 1.348882201016811735e-02 5.307344275244311148e-03 5.063841332074001458e-03
3.073221024590171879e+00 1.030069587807587839e+00 5.522352917208727709e-03 1.137601793882024939e-02 7.801998153821181579e-03 1.349326674004547311e-02 5.305057402768795921e-03 5.045367535546403485e-03
3.075378798004697156e+00 1.030052408002657183e+00 5.518947348504381345e-03 1.137399728012400586e-02 7.809015824907327222e-03 1.349758505405971969e-02 5.302358839981883600e-03 5.027326757327071211e-03
3.077538086437527909e+00 1.030035361303980546e+00 5.515623386865216825e-03 1.137166358854081738e-02 7.815797141972290890e-03 1.350177801398113470e-02 5.299252528872705134e-03 5.009715499055967212e-03
3.079698890952390133e+00 1.030018446578995439e+00 5.512380407793686724e-03 1.136902022224343944e-02 7.822343348575842500e-03 1.350584668158003737e-02 5.295742411430394078e-03 4.992530262373046264e-03
