# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.050713336176248180e+00 2.902849464679116073e-02 4.509963614304159790e-02 -1.729644164778336608e-03 4.544250710580290814e-02 -1.544849956099325280e-02 4.367593761046197065e-02
3.011299873815032058e+00 1.050677380288598695e+00 2.902462016557600874e-02 4.506812252341454994e-02 -1.699184263415886610e-03 4.552232427403759413e-02 -1.542301263404811766e-02 4.360576019040494911e-02
3.013414171081284731e+00 1.050641519321280581e+00 2.902083693300471640e-02 4.503676516013801340e-02 -1.669040021025202302e-03 4.560025862151754344e-02 -1.539760220651877932e-02 4.353642316661602424e-02
3.015529952840320771e+00 1.050605752642179258e+00 2.901714434627607891e-02 4.500556267296085267e-02 -1.639208697080940134e-03 4.567632191669002140e-02 -1.537226767192135558e-02 4.346792135936625168e-02
3.017647220134433095e+00 1.050570079619179475e+00 2.901354180258887069e-02 4.497451368163194602e-02 -1.609687551057756988e-03 4.575052592800234186e-02 -1.534700842377195208e-02 4.340024958892669399e-02
3.019765974006647813e+00 1.050534499620167317e+00 2.901002869914188348e-02 4.494361680590013702e-02 -1.580473842430281557e-03 4.582288242390183952e-02 -1.532182385558666232e-02 4.333340267556833048e-02
3.021886215500722450e+00 1.050499012013026423e+00 2.900660443313387779e-02 4.491287066551424845e-02 -1.551564830673178965e-03 4.589340317283574500e-02 -1.529671336088159542e-02 4.326737543956220983e-02
3.024007945661148611e+00 1.050463616165642655e+00 2.900326840176364884e-02 4.488227388022317244e-02 -1.522957775261078771e-03 4.596209994325144155e-02 -1.527167633317284834e-02 4.320216270117937379e-02
3.026131165533149314e+00 1.050428311445900764e+00 2.900002000222997103e-02 4.485182506977575256e-02 -1.494649935668636558e-03 4.602898450359620142e-02 -1.524671216597653020e-02 4.313775928069081556e-02
3.028255876162682991e+00 1.050393097221685945e+00 2.899685863173163264e-02 4.482152285392085322e-02 -1.466638571370508558e-03 4.609406862231730378e-02 -1.522182025280874665e-02 4.307415999836760462e-02
3.030382078596442597e+00 1.050357972860883837e+00 2.899378368746740806e-02 4.479136585240731105e-02 -1.438920941841324548e-03 4.615736406786209722e-02 -1.519699998718559118e-02 4.301135967448074110e-02
3.032509773881854276e+00 1.050322937731378081e+00 2.899079456663608556e-02 4.476135268498400432e-02 -1.411494306555749001e-03 4.621888260867782622e-02 -1.517225076262318506e-02 4.294935312930127369e-02
3.034638963067081363e+00 1.050287991201054760e+00 2.898789066643642567e-02 4.473148197139976273e-02 -1.384355924988411694e-03 4.627863601321185322e-02 -1.514757197263760791e-02 4.288813518310020945e-02
3.036769647201022604e+00 1.050253132637798847e+00 2.898507138406723749e-02 4.470175233140346455e-02 -1.357503056613969077e-03 4.633663604991146434e-02 -1.512296301074497751e-02 4.282770065614860400e-02
3.038901827333312600e+00 1.050218361409495094e+00 2.898233611672728152e-02 4.467216238474396028e-02 -1.330932960907075645e-03 4.639289448722393877e-02 -1.509842327046140298e-02 4.276804436871747134e-02
3.041035504514324028e+00 1.050183676884029138e+00 2.897968426161534952e-02 4.464271075117010046e-02 -1.304642897342362697e-03 4.644742309359661814e-02 -1.507395214530296915e-02 4.270916114107784628e-02
3.043170679795165867e+00 1.050149078429285288e+00 2.897711521593022282e-02 4.461339605043073558e-02 -1.278630125394485811e-03 4.650023363747677468e-02 -1.504954902878579380e-02 4.265104579350074976e-02
3.045307354227685170e+00 1.050114565413148737e+00 2.897462837687067236e-02 4.458421690227475781e-02 -1.252891904538107727e-03 4.655133788731170147e-02 -1.502521331442598952e-02 4.259369314625724434e-02
3.047445528864469733e+00 1.050080137203505126e+00 2.897222314163548640e-02 4.455517192645097602e-02 -1.227425494247843694e-03 4.660074761154875400e-02 -1.500094439573963420e-02 4.253709801961831627e-02
3.049585204758843204e+00 1.050045793168239205e+00 2.896989890742344628e-02 4.452625974270824766e-02 -1.202228153998357099e-03 4.664847457863521146e-02 -1.497674166624284389e-02 4.248125523385498647e-02
3.051726382964870865e+00 1.050011532675235504e+00 2.896765507143332641e-02 4.449747897079545794e-02 -1.177297143264295068e-03 4.669453055701835303e-02 -1.495260451945171903e-02 4.242615960923832447e-02
3.053869064537356959e+00 1.049977355092379661e+00 2.896549103086391158e-02 4.446882823046145738e-02 -1.152629721520312530e-03 4.673892731514550647e-02 -1.492853234888237568e-02 4.237180596603936505e-02
3.056013250531847358e+00 1.049943259787556871e+00 2.896340618291398661e-02 4.444030614145508956e-02 -1.128223148241048806e-03 4.678167662146396483e-02 -1.490452454805090907e-02 4.231818912452910836e-02
3.058158942004628233e+00 1.049909246128651441e+00 2.896139992478232242e-02 4.441191132352520499e-02 -1.104074682901142780e-03 4.682279024442103504e-02 -1.488058051047340576e-02 4.226530390497856837e-02
3.060306140012728271e+00 1.049875313483548789e+00 2.895947165366771422e-02 4.438364239642066805e-02 -1.080181584975250901e-03 4.686227995246403794e-02 -1.485669962966599048e-02 4.221314512765881460e-02
3.062454845613916898e+00 1.049841461220134553e+00 2.895762076676893296e-02 4.435549797989035009e-02 -1.056541113938026149e-03 4.690015751404023880e-02 -1.483288129914476713e-02 4.216170761284086105e-02
3.064605059866707393e+00 1.049807688706292597e+00 2.895584666128474954e-02 4.432747669368306692e-02 -1.033150529264101770e-03 4.693643469759697928e-02 -1.480912491242582230e-02 4.211098618079571476e-02
3.066756783830356436e+00 1.049773995309909447e+00 2.895414873441397308e-02 4.429957715754771069e-02 -1.010007090428132696e-03 4.697112327158155937e-02 -1.478542986302527375e-02 4.206097565179444525e-02
3.068910018564863229e+00 1.049740380398869188e+00 2.895252638335536755e-02 4.427179799123313886e-02 -9.871080569047723397e-04 4.700423500444124436e-02 -1.476179554445922713e-02 4.201167084610805957e-02
3.071064765130972152e+00 1.049706843341056794e+00 2.895097900530770735e-02 4.424413781448818112e-02 -9.644506881686542741e-04 4.703578166462338978e-02 -1.473822135024377249e-02 4.196306658400757866e-02
3.073221024590171879e+00 1.049673383504357460e+00 2.894950599746978076e-02 4.421659524706170186e-02 -9.420322436944393932e-04 4.706577502057524703e-02 -1.471470667389502239e-02 4.191515768576405815e-02
