# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.035824017985271128e+00 5.357437894124560812e-02 4.167950859767777932e-02 3.804061130401046459e-02 2.825473070426005526e-02 1.566337759914779304e-02 3.423774264512641913e-02
3.011299873815032058e+00 1.035802303073808828e+00 5.350706432081515918e-02 4.181795740060335886e-02 3.796222807259558296e-02 2.836415023554246170e-02 1.568850847592035552e-02 3.422752592764507357e-02
3.013414171081284731e+00 1.035780423295193264e+00 5.344063425865477890e-02 4.195355434974141345e-02 3.788461686531435085e-02 2.847281791241345478e-02 1.571242986101068287e-02 3.421775876791468413e-02
3.015529952840320771e+00 1.035758379518067152e+00 5.337508327939423369e-02 4.208631766601832885e-02 3.780777511114075812e-02 2.858073608902915452e-02 1.573515138908625904e-02 3.420843403070089606e-02
3.017647220134433095e+00 1.035736172611072980e+00 5.331040590766325526e-02 4.221626557036051164e-02 3.773170023904880155e-02 2.868790711954567058e-02 1.575668269481456107e-02 3.419954458076936155e-02
3.019765974006647813e+00 1.035713803442853465e+00 5.324659666809154063e-02 4.234341628369448635e-02 3.765638967801238080e-02 2.879433335811922706e-02 1.577703341286309721e-02 3.419108328288570503e-02
3.021886215500722450e+00 1.035691272882050429e+00 5.318365008530882843e-02 4.246778802694659710e-02 3.758184085700549265e-02 2.890001715890588851e-02 1.579621317789932713e-02 3.418304300181553707e-02
3.024007945661148611e+00 1.035668581797307253e+00 5.312156068394485037e-02 4.258939902104338232e-02 3.750805120500204370e-02 2.900496087606188253e-02 1.581423162459075910e-02 3.417541660232452372e-02
3.026131165533149314e+00 1.035645731057265539e+00 5.306032298862931734e-02 4.270826748691122776e-02 3.743501815097604463e-02 2.910916686374332568e-02 1.583109838760487706e-02 3.416819694917826861e-02
3.028255876162682991e+00 1.035622721530568446e+00 5.299993152399198187e-02 4.282441164547654000e-02 3.736273912390143670e-02 2.921263747610633107e-02 1.584682310160915458e-02 3.416137690714243086e-02
3.030382078596442597e+00 1.035599554085858243e+00 5.294038081466254098e-02 4.293784971766582276e-02 3.729121155275216815e-02 2.931537506730710549e-02 1.586141540127109645e-02 3.415494934098264185e-02
3.032509773881854276e+00 1.035576229591777642e+00 5.288166538527076105e-02 4.304859992440547567e-02 3.722043286650221494e-02 2.941738199150174468e-02 1.587488492125818315e-02 3.414890711546453295e-02
3.034638963067081363e+00 1.035552748916968469e+00 5.282377976044630441e-02 4.315668048662196082e-02 3.715040049412550449e-02 2.951866060284644502e-02 1.588724129623789866e-02 3.414324309535372859e-02
3.036769647201022604e+00 1.035529112930074103e+00 5.276671846481895134e-02 4.326210962524172643e-02 3.708111186459601277e-02 2.961921325549734391e-02 1.589849416087773040e-02 3.413795014541587403e-02
3.038901827333312600e+00 1.035505322499736147e+00 5.271047602301841967e-02 4.336490556119115825e-02 3.701256440688772964e-02 2.971904230361054403e-02 1.590865314984517276e-02 3.413302113041659369e-02
3.041035504514324028e+00 1.035481378494597759e+00 5.265504695967442028e-02 4.346508651539677387e-02 3.694475554997455474e-02 2.981815010134225910e-02 1.591772789780770969e-02 3.412844891512153978e-02
3.043170679795165867e+00 1.035457281783301209e+00 5.260042579941667101e-02 4.356267070878495906e-02 3.687768272283046406e-02 2.991653900284861264e-02 1.592572803943282170e-02 3.412422636429632977e-02
3.045307354227685170e+00 1.035433033234489208e+00 5.254660706687495908e-02 4.365767636228211346e-02 3.681134335442947519e-02 3.001421136228567960e-02 1.593266320938800315e-02 3.412034634270660199e-02
3.047445528864469733e+00 1.035408633716803806e+00 5.249358528667892598e-02 4.375012169681479629e-02 3.674573487374546005e-02 3.011116953380974307e-02 1.593854304234074148e-02 3.411680171511798781e-02
3.049585204758843204e+00 1.035384084098888158e+00 5.244135498345835200e-02 4.384002493330937944e-02 3.668085470975240153e-02 3.020741587157688493e-02 1.594337717295852067e-02 3.411358534629613248e-02
3.051726382964870865e+00 1.035359385249383868e+00 5.238991068184292721e-02 4.392740429269229030e-02 3.661670029142427563e-02 3.030295272974324952e-02 1.594717523590883160e-02 3.411069010100666737e-02
3.053869064537356959e+00 1.035334538036934315e+00 5.233924690646242495e-02 4.401227799588997708e-02 3.655326904773504443e-02 3.039778246246496382e-02 1.594994686585915825e-02 3.410810884401521692e-02
3.056013250531847358e+00 1.035309543330181548e+00 5.228935818194654916e-02 4.409466426382888105e-02 3.649055840765866310e-02 3.049190742389820685e-02 1.595170169747698805e-02 3.410583444008741250e-02
3.058158942004628233e+00 1.035284401997767612e+00 5.224023903292498994e-02 4.417458131743545735e-02 3.642856580016904516e-02 3.058532996819914029e-02 1.595244936542980496e-02 3.410385975398890629e-02
3.060306140012728271e+00 1.035259114908336109e+00 5.219188398402752754e-02 4.425204737763614726e-02 3.636728865424019436e-02 3.067805244952390847e-02 1.595219950438511031e-02 3.410217765048532967e-02
3.062454845613916898e+00 1.035233682930528865e+00 5.214428755988386593e-02 4.432708066535735042e-02 3.630672439884607278e-02 3.077007722202861062e-02 1.595096174901038111e-02 3.410078099434230708e-02
3.064605059866707393e+00 1.035208106932988148e+00 5.209744428512372294e-02 4.439969940152555666e-02 3.624687046296060783e-02 3.086140663986945698e-02 1.594874573397309439e-02 3.409966265032546295e-02
3.066756783830356436e+00 1.035182387784357116e+00 5.205134868437684414e-02 4.446992180706718645e-02 3.618772427555777549e-02 3.095204305720257801e-02 1.594556109394075147e-02 3.409881548320045641e-02
3.068910018564863229e+00 1.035156526353277817e+00 5.200599528227296126e-02 4.453776610290866023e-02 3.612928326561154480e-02 3.104198882818407987e-02 1.594141746358084324e-02 3.409823235773291883e-02
3.071064765130972152e+00 1.035130523508392741e+00 5.196137860344176435e-02 4.460325050997645396e-02 3.607154486209584315e-02 3.113124630697017628e-02 1.593632447756084328e-02 3.409790613868846770e-02
3.073221024590171879e+00 1.035104380118344602e+00 5.191749317251299900e-02 4.466639324919695342e-02 3.601450649398465348e-02 3.121981784771695606e-02 1.593029177054824594e-02 3.409782969083274135e-02
3.075378798004697156e+00 1.035078097051775670e+00 5.187433351411640386e-02 4.472721254149665537e-02 3.595816559025191705e-02 3.130770580458062252e-02 1.592332897721053867e-02 3.409799587893138501e-02
3.077538086437527909e+00 1.035051675177328434e+00 5.183189415288167595e-02 4.478572660780198722e-02 3.590251957987159598e-02 3.139491253171729918e-02 1.591544573221520542e-02 3.409839756775003006e-02
3.079698890952390133e+00 1.035025115363645831e+00 5.179016961343858166e-02 4.484195366903937635e-02 3.584756589181765929e-02 3.148144038328314076e-02 1.590665167022973711e-02 3.409902762205430093e-02
3.081861212613756784e+00 1.034998418479369686e+00 5.174915442041683189e-02 4.489591194613525016e-02 3.579330195506406909e-02 3.156729171343425344e-02 1.589695642592162464e-02 3.409987890660983595e-02
3.084025052486849550e+00 1.034971585393143156e+00 5.170884309844611670e-02 4.494761966001607767e-02 3.573972519858475971e-02 3.165246887632684747e-02 1.588636963395834503e-02 3.410094428618228035e-02
3.086190411637636188e+00 1.034944616973608067e+00 5.166923017215621639e-02 4.499709503160826546e-02 3.568683305135371409e-02 3.173697422611702207e-02 1.587490092900739613e-02 3.410221662553725164e-02
3.088357291132833637e+00 1.034917514089407797e+00 5.163031016617682795e-02 4.504435628183829643e-02 3.563462294234485961e-02 3.182081011696098055e-02 1.586255994573625497e-02 3.410368878944040200e-02
3.090525692039908012e+00 1.034890277609183507e+00 5.159207760513768309e-02 4.508942163163255634e-02 3.558309230053217226e-02 3.190397890301480133e-02 1.584935631881241591e-02 3.410535364265734198e-02
