# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.012089929735163540e+00 9.696433151729036415e-03 -4.557205330795443057e-03 4.492983232110547669e-03 -1.236755086099333364e-02 -2.115986971545727804e-02 1.308364808733144570e-02
3.011299873815032058e+00 1.012017851127432921e+00 9.600195031166817994e-03 -4.544831540184237663e-03 4.690851401072772438e-03 -1.240051484420446291e-02 -2.093332158434636769e-02 1.313487977846795017e-02
3.013414171081284731e+00 1.011947142769641594e+00 9.504648645784824143e-03 -4.532901526973856683e-03 4.885025899401765175e-03 -1.243128855296814390e-02 -2.070978653251199370e-02 1.318336874665333378e-02
3.015529952840320771e+00 1.011877795302163818e+00 9.409792048358190872e-03 -4.521413895798514528e-03 5.075528243840526053e-03 -1.245988665983876163e-02 -2.048924614998574520e-02 1.322913649015801558e-02
3.017647220134433095e+00 1.011809799365372742e+00 9.315623291662061128e-03 -4.510367251292426473e-03 5.262379951132063055e-03 -1.248632383737070112e-02 -2.027168202679919748e-02 1.327220450725241814e-02
3.019765974006647813e+00 1.011743145599641958e+00 9.222140428471478982e-03 -4.499760198089794785e-03 5.445602538019556765e-03 -1.251061475811836472e-02 -2.005707575298372111e-02 1.331259429620701255e-02
3.021886215500722450e+00 1.011677824645344614e+00 9.129341511561608197e-03 -4.489591340824838211e-03 5.625217521245953582e-03 -1.253277409463612012e-02 -1.984540891857095729e-02 1.335032735529219534e-02
3.024007945661148611e+00 1.011613827142854971e+00 9.037224593707503251e-03 -4.479859284131759017e-03 5.801246417554433224e-03 -1.255281651947837834e-02 -1.963666311359228353e-02 1.338542518277843589e-02
3.026131165533149314e+00 1.011551143732545732e+00 8.945787727684298418e-03 -4.470562632644770745e-03 5.973710743688002804e-03 -1.257075670519951748e-02 -1.943081992807927857e-02 1.341790927693615847e-02
3.028255876162682991e+00 1.011489765054790713e+00 8.855028966267126239e-03 -4.461699990998088672e-03 6.142632016389672038e-03 -1.258660932435392080e-02 -1.922786095206351770e-02 1.344780113603578388e-02
3.030382078596442597e+00 1.011429681749963505e+00 8.764946362231042926e-03 -4.453269963825916798e-03 6.308031752402611103e-03 -1.260038904949599241e-02 -1.902776777557637147e-02 1.347512225834777456e-02
3.032509773881854276e+00 1.011370884458437702e+00 8.675537968351210508e-03 -4.445271155762472136e-03 6.469931468469783745e-03 -1.261211055318010692e-02 -1.883052198864948804e-02 1.349989414214254613e-02
3.034638963067081363e+00 1.011313363820585787e+00 8.586801837402676524e-03 -4.437702171441956951e-03 6.628352681334351466e-03 -1.262178850796066322e-02 -1.863610518131424143e-02 1.352213828569055060e-02
3.036769647201022604e+00 1.011257110476783128e+00 8.498736022160580453e-03 -4.430561615498587388e-03 6.783316907739329188e-03 -1.262943758639204807e-02 -1.844449894360220693e-02 1.354187618726221745e-02
3.038901827333312600e+00 1.011202115067401541e+00 8.411338575400060039e-03 -4.423848092566573520e-03 6.934845664427731829e-03 -1.263507246102864821e-02 -1.825568486554495287e-02 1.355912934512797791e-02
3.041035504514324028e+00 1.011148368232815731e+00 8.324607549896161085e-03 -4.417560207280126286e-03 7.082960468142723495e-03 -1.263870780442485388e-02 -1.806964453717387412e-02 1.357391925755828052e-02
3.043170679795165867e+00 1.011095860613398401e+00 8.238540998424023071e-03 -4.411696564273453157e-03 7.227682835627315637e-03 -1.264035828913505702e-02 -1.788635954852053206e-02 1.358626742282354957e-02
3.045307354227685170e+00 1.011044582849523366e+00 8.153136973758804557e-03 -4.406255768180770277e-03 7.369034283624484143e-03 -1.264003858771363918e-02 -1.770581148961655402e-02 1.359619533919421974e-02
3.047445528864469733e+00 1.010994525581563996e+00 8.068393528675506243e-03 -4.401236423636282515e-03 7.507036328877472048e-03 -1.263776337271500100e-02 -1.752798195049321689e-02 1.360372450494074133e-02
3.049585204758843204e+00 1.010945679449893886e+00 7.984308715949291896e-03 -4.396637135274201677e-03 7.641710488129255241e-03 -1.263354731669352055e-02 -1.735285252118215146e-02 1.360887641833354207e-02
3.051726382964870865e+00 1.010898035094886627e+00 7.900880588355264564e-03 -4.392456507728738704e-03 7.773078278122896347e-03 -1.262740509220359152e-02 -1.718040479171486015e-02 1.361167257764305839e-02
3.053869064537356959e+00 1.010851583156915368e+00 7.818107198668560257e-03 -4.388693145634107139e-03 7.901161215601418958e-03 -1.261935137179960240e-02 -1.701062035212290088e-02 1.361213448113972845e-02
3.056013250531847358e+00 1.010806314276354145e+00 7.735986599664262074e-03 -4.385345653624515318e-03 8.025980817307929935e-03 -1.260940082803594688e-02 -1.684348079243774485e-02 1.361028362709399038e-02
3.058158942004628233e+00 1.010762219093575665e+00 7.654516844117444443e-03 -4.382412636334168977e-03 8.147558599985529199e-03 -1.259756813346700130e-02 -1.667896770269083201e-02 1.360614151377627021e-02
