# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.045448351203017046e+00 4.198611842810723999e-02 3.596361007087735262e-02 2.482627244545882947e-02 1.471144220906294743e-02 1.232295843355371394e-02 8.493950874738967136e-03
3.011299873815032058e+00 1.045399197893874366e+00 4.198968206689877164e-02 3.596422436671917883e-02 2.488118197518422378e-02 1.479870090216172003e-02 1.226597462469167753e-02 8.721639233676614297e-03
3.013414171081284731e+00 1.045350515681025660e+00 4.199307500211395955e-02 3.596415572497577845e-02 2.493443593847642636e-02 1.488483192122437397e-02 1.221101638763877686e-02 8.946801330298114266e-03
3.015529952840320771e+00 1.045302301122194022e+00 4.199629753599745663e-02 3.596340927006623500e-02 2.498604506739598649e-02 1.496984100413347764e-02 1.215806867892526774e-02 9.169450141954469877e-03
3.017647220134433095e+00 1.045254550775102542e+00 4.199934997079389498e-02 3.596199012640965281e-02 2.503602009400344997e-02 1.505373388877160636e-02 1.210711645508139728e-02 9.389598645996703047e-03
3.019765974006647813e+00 1.045207261197474091e+00 4.200223260874790671e-02 3.595990341842510152e-02 2.508437175035944933e-02 1.513651631302139963e-02 1.205814467263737789e-02 9.607259819776031717e-03
3.021886215500722450e+00 1.045160428947030873e+00 4.200494575210411002e-02 3.595715427053165075e-02 2.513111076852450609e-02 1.521819401476539810e-02 1.201113828812347233e-02 9.822446640643401478e-03
3.024007945661148611e+00 1.045114050581496423e+00 4.200748970310715091e-02 3.595374780714841872e-02 2.517624788055922852e-02 1.529877273188624820e-02 1.196608225806988779e-02 1.003517208595003721e-02
3.026131165533149314e+00 1.045068122658592502e+00 4.200986476400166147e-02 3.594968915269445425e-02 2.521979381852418323e-02 1.537825820226652179e-02 1.192296153900687834e-02 1.024544913304695389e-02
3.028255876162682991e+00 1.045022641736042646e+00 4.201207123703227381e-02 3.594498343158887554e-02 2.526175931447991602e-02 1.545665616378878032e-02 1.188176108746468937e-02 1.045329075928516475e-02
3.030382078596442597e+00 1.044977604371569502e+00 4.201410942444361307e-02 3.593963576825073836e-02 2.530215510048704208e-02 1.553397235433567197e-02 1.184246585997353156e-02 1.065870994201589123e-02
3.032509773881854276e+00 1.044933007122895718e+00 4.201597962848032525e-02 3.593365128709915396e-02 2.534099190860610376e-02 1.561021251178974258e-02 1.180506081306367111e-02 1.086171965859008409e-02
3.034638963067081363e+00 1.044888846547744388e+00 4.201768215138702856e-02 3.592703511255319199e-02 2.537828047089769889e-02 1.568538237403362817e-02 1.176953090326531524e-02 1.106233288635895436e-02
3.036769647201022604e+00 1.044845119203838157e+00 4.201921729540836897e-02 3.591979236903193595e-02 2.541403151942239064e-02 1.575948767894990582e-02 1.173586108710871628e-02 1.126056260267352047e-02
3.038901827333312600e+00 1.044801821648899454e+00 4.202058536278897860e-02 3.591192818095448325e-02 2.544825578624073867e-02 1.583253416442113870e-02 1.170403632112411961e-02 1.145642178488481128e-02
3.041035504514324028e+00 1.044758950440651368e+00 4.202178665577348260e-02 3.590344767273989657e-02 2.548096400341335124e-02 1.590452756832997847e-02 1.167404156184174459e-02 1.164992341034403259e-02
