# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.014626885151330260e+00 7.620590709804445258e-03 6.996695399439833464e-03 1.124520988953544957e-02 1.432849620693531049e-02 -3.042278423234806833e-03 -1.326450313199989059e-02
3.011299873815032058e+00 1.014633629868143094e+00 7.547280304273066773e-03 7.057102185664217500e-03 1.136601913673502239e-02 1.436370000183282911e-02 -2.894762739147957627e-03 -1.309486277930445655e-02
3.013414171081284731e+00 1.014640023496461430e+00 7.474868737727523998e-03 7.117222324828305184e-03 1.148546698702054836e-02 1.439947224332199793e-02 -2.747908276807420162e-03 -1.292743270495588445e-02
3.015529952840320771e+00 1.014646068518704869e+00 7.403351243585173588e-03 7.177055294856135061e-03 1.160355811409615953e-02 1.443580534459262994e-02 -2.601715047397714763e-03 -1.276220022124679825e-02
3.017647220134433095e+00 1.014651767417292794e+00 7.332723055263375665e-03 7.236600573671746542e-03 1.172029719166598448e-02 1.447269171883454157e-02 -2.456183062103364356e-03 -1.259915264046980454e-02
3.019765974006647813e+00 1.014657122674644141e+00 7.262979406179422698e-03 7.295857639199234551e-03 1.183568889343427147e-02 1.451012377923757875e-02 -2.311312332108750485e-03 -1.243827727491736250e-02
3.021886215500722450e+00 1.014662136773177181e+00 7.194115529750687819e-03 7.354825969362616817e-03 1.194973789310510917e-02 1.454809393899154230e-02 -2.167102868598439879e-03 -1.227956143688211689e-02
3.024007945661148611e+00 1.014666812195311518e+00 7.126126659394466101e-03 7.413505042085989996e-03 1.206244886438274239e-02 1.458659461128628335e-02 -2.023554682756818855e-03 -1.212299243865654422e-02
3.026131165533149314e+00 1.014671151423466311e+00 7.059008028528114195e-03 7.471894335293390900e-03 1.217382648097130315e-02 1.462561820931161313e-02 -1.880667785768405133e-03 -1.196855759253324242e-02
3.028255876162682991e+00 1.014675156940060274e+00 6.992754870568988756e-03 7.529993326908858940e-03 1.228387541657492005e-02 1.466515714625734115e-02 -1.738442188817720339e-03 -1.181624421080481983e-02
3.030382078596442597e+00 1.014678831227512568e+00 6.927362418934381386e-03 7.587801494856489908e-03 1.239260034489784133e-02 1.470520383531332374e-02 -1.596877903089149488e-03 -1.166603960576374256e-02
3.032509773881854276e+00 1.014682176768242572e+00 6.862825907041670420e-03 7.645318317060302397e-03 1.250000593964415915e-02 1.474575068966935479e-02 -1.455974939767257356e-03 -1.151793108970265885e-02
3.034638963067081363e+00 1.014685196044668780e+00 6.799140568308148329e-03 7.702543271444391333e-03 1.260609687451811484e-02 1.478679012251528715e-02 -1.315733310036429826e-03 -1.137190597491403478e-02
3.036769647201022604e+00 1.014687891539210574e+00 6.736301636151171765e-03 7.759475835932794392e-03 1.271087782322384042e-02 1.482831454704093208e-02 -1.176153025081186788e-03 -1.122795157369048044e-02
3.038901827333312600e+00 1.014690265734286889e+00 6.674304343988094780e-03 7.816115488449551854e-03 1.281435345946547316e-02 1.487031637643610078e-02 -1.037234096086047481e-03 -1.108605519832459550e-02
3.041035504514324028e+00 1.014692321112316886e+00 6.613143925236215914e-03 7.872461706918758642e-03 1.291652845694724397e-02 1.491278802389065135e-02 -8.989765342353989814e-04 -1.094620416110884779e-02
3.043170679795165867e+00 1.014694060155719280e+00 6.552815613312887484e-03 7.928513969264451566e-03 1.301740748937329530e-02 1.495572190259438633e-02 -7.613803507137603113e-04 -1.080838577433584392e-02
3.045307354227685170e+00 1.014695485346913673e+00 6.493314641635480021e-03 7.984271753410650957e-03 1.311699523044772449e-02 1.499911042573710308e-02 -6.244455567056926689e-04 -1.067258735029822346e-02
3.047445528864469733e+00 1.014696599168318558e+00 6.434636243621259105e-03 8.039734537281491636e-03 1.321529635387483359e-02 1.504294600650869264e-02 -4.881721633954994835e-04 -1.053879620128837791e-02
3.049585204758843204e+00 1.014697404102353762e+00 6.376775652687592666e-03 8.094901798800988729e-03 1.331231553335872689e-02 1.508722105809894021e-02 -3.525601819677419532e-04 -1.040699963959895204e-02
3.051726382964870865e+00 1.014697902631437110e+00 6.319728102251817407e-03 8.149773015893200731e-03 1.340805744260356765e-02 1.513192799369767610e-02 -2.176096236068937270e-04 -1.027718497752249868e-02
3.053869064537356959e+00 1.014698097237988650e+00 6.263488825731287381e-03 8.204347666482168788e-03 1.350252675531350179e-02 1.517705922649471156e-02 -8.332049949747454573e-05 -1.014933952735162272e-02
3.056013250531847358e+00 1.014697990404427319e+00 6.208053056543318474e-03 8.258625228491968742e-03 1.359572814519272380e-02 1.522260716967988384e-02 5.030717917608450331e-05 -1.002345060137883534e-02
3.058158942004628233e+00 1.014697584613171166e+00 6.153416028105227441e-03 8.312605179846671230e-03 1.368766628594542990e-02 1.526856423644302845e-02 1.832734012293500562e-04 -9.899505511896661628e-03
3.060306140012728271e+00 1.014696882346640683e+00 6.099572973834370936e-03 8.366286998470322603e-03 1.377834585127576603e-02 1.531492283997396703e-02 3.155781554778043572e-04 -9.777491571197697781e-03
3.062454845613916898e+00 1.014695886087254140e+00 6.046519127148096071e-03 8.419670162286957069e-03 1.386777151488786768e-02 1.536167539346249868e-02 4.472214307369300440e-04 -9.657396091574540001e-03
