# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.037404130964607374e+00 5.024611141589149788e-02 4.280758006121657133e-02 3.334074163836623500e-02 2.682390841509598930e-02 1.894389678973848121e-02 2.629021206491006374e-02
3.011299873815032058e+00 1.037374064047158484e+00 5.018507812688676600e-02 4.293865082182678899e-02 3.321456197791282372e-02 2.693089015598881114e-02 1.898056969173493938e-02 2.631444736421902075e-02
3.013414171081284731e+00 1.037343986285590658e+00 5.012477340273012449e-02 4.306696699827847891e-02 3.308971710148846113e-02 2.703721303193960465e-02 1.901608541294098897e-02 2.633884322867374381e-02
3.015529952840320771e+00 1.037313897394742890e+00 5.006519309886107300e-02 4.319254635402246245e-02 3.296620185804885472e-02 2.714287879681664267e-02 1.905045293463988876e-02 2.636339448479745398e-02
3.017647220134433095e+00 1.037283797089453286e+00 5.000633307071904177e-02 4.331540665250956101e-02 3.284401109654975365e-02 2.724788920448818416e-02 1.908368123811490444e-02 2.638809595911335154e-02
3.019765974006647813e+00 1.037253685084559951e+00 4.994818917374346801e-02 4.343556565719072782e-02 3.272313966594676826e-02 2.735224600882258175e-02 1.911577930464932254e-02 2.641294247814466797e-02
3.021886215500722450e+00 1.037223561094900770e+00 4.989075726337379585e-02 4.355304113151672180e-02 3.260358241519563383e-02 2.745595096368804930e-02 1.914675611552638448e-02 2.643792886841460701e-02
3.024007945661148611e+00 1.037193424835313849e+00 4.983403319504944862e-02 4.366785083893848923e-02 3.248533419325196764e-02 2.755900582295296719e-02 1.917662065202937680e-02 2.646304995644639321e-02
3.026131165533149314e+00 1.037163276020637737e+00 4.977801282420988432e-02 4.378001254290685845e-02 3.236838984907152578e-02 2.766141234048558051e-02 1.920538189544156518e-02 2.648830056876323724e-02
3.028255876162682991e+00 1.037133114365710096e+00 4.972269200629456098e-02 4.388954400687265084e-02 3.225274423160997411e-02 2.776317227015414474e-02 1.923304882704620841e-02 2.651367553188833937e-02
3.030382078596442597e+00 1.037102939585369477e+00 4.966806659674288110e-02 4.399646299428680574e-02 3.213839218982297158e-02 2.786428736582701945e-02 1.925963042812659648e-02 2.653916967234494148e-02
3.032509773881854276e+00 1.037072751394454428e+00 4.961413245099434433e-02 4.410078726860010290e-02 3.202532857266625343e-02 2.796475938137243933e-02 1.928513567996596387e-02 2.656477781665623344e-02
3.034638963067081363e+00 1.037042549507801725e+00 4.956088542448832540e-02 4.420253459326348167e-02 3.191354822909543698e-02 2.806459007065874658e-02 1.930957356384761792e-02 2.659049479134545022e-02
3.036769647201022604e+00 1.037012333640250805e+00 4.950832137266431010e-02 4.430172273172776343e-02 3.180304600806625054e-02 2.816378118755421059e-02 1.933295306105480699e-02 2.661631542293579206e-02
3.038901827333312600e+00 1.036982103506639330e+00 4.945643615096174256e-02 4.439836944744378344e-02 3.169381675853441549e-02 2.826233448592708683e-02 1.935528315287079332e-02 2.664223453795047658e-02
3.041035504514324028e+00 1.036951858821805850e+00 4.940522561482003916e-02 4.449249250386245330e-02 3.158585532945554220e-02 2.836025171964573488e-02 1.937657282057885649e-02 2.666824696291272834e-02
3.043170679795165867e+00 1.036921599300588026e+00 4.935468561967865098e-02 4.458410966443462214e-02 3.147915656978534510e-02 2.845753464257840676e-02 1.939683104546226569e-02 2.669434752434576147e-02
3.045307354227685170e+00 1.036891324657823965e+00 4.930481202097706378e-02 4.467323869261107666e-02 3.137371532847958028e-02 2.855418500859333714e-02 1.941606680880426580e-02 2.672053104877276236e-02
3.047445528864469733e+00 1.036861034608352217e+00 4.925560067415465926e-02 4.475989735184280477e-02 3.126952645449380952e-02 2.865020457155894457e-02 1.943428909188816417e-02 2.674679236271698332e-02
3.049585204758843204e+00 1.036830728867010887e+00 4.920704743465089542e-02 4.484410340558060704e-02 3.116658479678378196e-02 2.874559508534345331e-02 1.945150687599720915e-02 2.677312629270163502e-02
3.051726382964870865e+00 1.036800407148637637e+00 4.915914815790521641e-02 4.492587461727533954e-02 3.106488520430517042e-02 2.884035830381515356e-02 1.946772914241466299e-02 2.679952766524991079e-02
3.053869064537356959e+00 1.036770069168071462e+00 4.911189869935709412e-02 4.500522875037784448e-02 3.096442252601370668e-02 2.893449598084230773e-02 1.948296487242380526e-02 2.682599130688503170e-02
3.056013250531847358e+00 1.036739714640150023e+00 4.906529491444594493e-02 4.508218356833900570e-02 3.086519161086503579e-02 2.902800987029324070e-02 1.949722304730789474e-02 2.685251204413021883e-02
3.058158942004628233e+00 1.036709343279711204e+00 4.901933265861118522e-02 4.515675683460970008e-02 3.076718730781480629e-02 2.912090172603626348e-02 1.951051264835020754e-02 2.687908470350868981e-02
