# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.017670259360082152e+00 1.090171732478390464e-02 -4.292089754383497310e-03 4.423391091536809858e-03 -1.178949289341495177e-02 -2.107666806108408550e-02 1.258947856260309722e-02
3.011299873815032058e+00 1.017598183094000630e+00 1.080241356192727237e-02 -4.283736782508506570e-03 4.627164322328114303e-03 -1.182904335722935289e-02 -2.083543702544624412e-02 1.263875695961922188e-02
3.013414171081284731e+00 1.017527470054178096e+00 1.070389093141899117e-02 -4.275767267094091398e-03 4.827151458314765491e-03 -1.186624818097301026e-02 -2.059745776304736792e-02 1.268532260731779909e-02
3.015529952840320771e+00 1.017458110836224616e+00 1.060614690054543195e-02 -4.268180191943366474e-03 5.023374622029446769e-03 -1.190112306620801780e-02 -2.036271045385374193e-02 1.272919697325091207e-02
3.017647220134433095e+00 1.017390096035749369e+00 1.050917893659295867e-02 -4.260974540859447345e-03 5.215855936004851028e-03 -1.193368371449647115e-02 -2.013117527783164426e-02 1.277040152497064228e-02
3.019765974006647813e+00 1.017323416248362422e+00 1.041298450684784160e-02 -4.254149297645439150e-03 5.404617522773849832e-03 -1.196394582740048854e-02 -1.990283241494714139e-02 1.280895773002911284e-02
3.021886215500722450e+00 1.017258062069671842e+00 1.031756107859647074e-02 -4.247703446104454834e-03 5.589681504869071019e-03 -1.199192510648215346e-02 -1.967766204516657388e-02 1.284488705597838960e-02
3.024007945661148611e+00 1.017194024095287919e+00 1.022290611912511811e-02 -4.241635970039605609e-03 5.771070004823385287e-03 -1.201763725330358412e-02 -1.945564434845600821e-02 1.287821097037059395e-02
3.026131165533149314e+00 1.017131292920820274e+00 1.012901709572015113e-02 -4.235945853254000949e-03 5.948805145169482923e-03 -1.204109796942687619e-02 -1.923675950478172594e-02 1.290895094075780909e-02
3.028255876162682991e+00 1.017069859141877419e+00 1.003589147566792857e-02 -4.230632079550757270e-03 6.122909048440059419e-03 -1.206232295641411836e-02 -1.902098769410999132e-02 1.293712843469212344e-02
3.030382078596442597e+00 1.017009713354069644e+00 9.943526726254727638e-03 -4.225693632732979710e-03 6.293403837167975932e-03 -1.208132791582743754e-02 -1.880830909640688123e-02 1.296276491972564796e-02
3.032509773881854276e+00 1.016950846153005683e+00 9.851920314766934861e-03 -4.221129496603784684e-03 6.460311633885875045e-03 -1.209812854922891374e-02 -1.859870389163873275e-02 1.298588186341046065e-02
3.034638963067081363e+00 1.016893248134295602e+00 9.761069708490827460e-03 -4.216938654966277331e-03 6.623654561126610975e-03 -1.211274055818065999e-02 -1.839215225977162277e-02 1.300650073329867248e-02
3.036769647201022604e+00 1.016836909893548357e+00 9.670972374712767661e-03 -4.213120091623573198e-03 6.783454741422883551e-03 -1.212517964424477714e-02 -1.818863438077181899e-02 1.302464299694237361e-02
3.038901827333312600e+00 1.016781822026373350e+00 9.581625780719110752e-03 -4.209672790378783495e-03 6.939734297307392601e-03 -1.213546150898336430e-02 -1.798813043460559952e-02 1.304033012189365071e-02
3.041035504514324028e+00 1.016727975128380201e+00 9.493027393796146102e-03 -4.206595735035016832e-03 7.092515351312988006e-03 -1.214360185395852582e-02 -1.779062060123903083e-02 1.305358357570461300e-02
3.043170679795165867e+00 1.016675359795178535e+00 9.405174681230220324e-03 -4.203887909395387888e-03 7.241820025972368728e-03 -1.214961638073236080e-02 -1.759608506063839450e-02 1.306442482592734544e-02
3.045307354227685170e+00 1.016623966622377084e+00 9.318065110307728605e-03 -4.201548297263004404e-03 7.387670443818195563e-03 -1.215352079086697012e-02 -1.740450399277000335e-02 1.307287534011394338e-02
3.047445528864469733e+00 1.016573786205585916e+00 9.231696148314890923e-03 -4.199575882440980193e-03 7.530088727383401660e-03 -1.215533078592446158e-02 -1.721585757759983362e-02 1.307895658581651084e-02
3.049585204758843204e+00 1.016524809140414209e+00 9.146065262538097262e-03 -4.197969648732423863e-03 7.669096999200647816e-03 -1.215506206746693255e-02 -1.703012599509421202e-02 1.308269003058713797e-02
3.051726382964870865e+00 1.016477026022471142e+00 9.061169920263676889e-03 -4.196728579940448359e-03 7.804717381802679828e-03 -1.215273033705648563e-02 -1.684728942521932990e-02 1.308409714197791666e-02
