# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.046993426274123618e+00 4.106847790684338417e-02 3.429723918036865077e-02 2.596636528598240262e-02 1.407143649529844776e-02 1.216344468467957067e-02 9.909906110177281804e-03
3.011299873815032058e+00 1.046943776395237391e+00 4.107780350575592626e-02 3.433284493277108385e-02 2.602954189001130056e-02 1.415690478768172160e-02 1.212692183160567899e-02 1.009215996718869357e-02
3.013414171081284731e+00 1.046894637645765958e+00 4.108696458398441304e-02 3.436717400407970913e-02 2.609064790050155333e-02 1.424132554018454726e-02 1.209198564266243843e-02 1.027226687711733054e-02
3.015529952840320771e+00 1.046846006266564100e+00 4.109596103372407938e-02 3.440023513836756169e-02 2.614969766375117508e-02 1.432470428625949588e-02 1.205862438760254771e-02 1.045023856740929895e-02
3.017647220134433095e+00 1.046797878498486156e+00 4.110479274717016018e-02 3.443203707970771132e-02 2.620670552605820075e-02 1.440704655935913861e-02 1.202682633617871075e-02 1.062608676551070677e-02
3.019765974006647813e+00 1.046750250582387354e+00 4.111345961651786951e-02 3.446258857217324167e-02 2.626168583372070695e-02 1.448835789293612293e-02 1.199657975814359678e-02 1.079982319886782331e-02
3.021886215500722450e+00 1.046703118759122031e+00 4.112196153396240755e-02 3.449189835983716007e-02 2.631465293303669045e-02 1.456864382044298876e-02 1.196787292324990801e-02 1.097145959492668889e-02
3.024007945661148611e+00 1.046656479269544970e+00 4.113029839169903695e-02 3.451997518677258486e-02 2.636562117030423133e-02 1.464790987533238706e-02 1.194069410125032059e-02 1.114100768113357974e-02
3.026131165533149314e+00 1.046610328354510733e+00 4.113847008192297178e-02 3.454682779705255113e-02 2.641460489182134719e-02 1.472616159105688549e-02 1.191503156189753325e-02 1.130847918493460037e-02
3.028255876162682991e+00 1.046564662254873879e+00 4.114647649682941916e-02 3.457246493475010785e-02 2.646161844388606951e-02 1.480340450106905348e-02 1.189087357494423604e-02 1.147388583377585529e-02
3.030382078596442597e+00 1.046519477211489191e+00 4.115431752861362785e-02 3.459689534393833865e-02 2.650667617279647489e-02 1.487964413882153850e-02 1.186820841014311206e-02 1.163723935510360859e-02
3.032509773881854276e+00 1.046474769465211230e+00 4.116199306947079806e-02 3.462012776869028557e-02 2.654979242485056359e-02 1.495488603776688567e-02 1.184702433724685831e-02 1.179855147636392140e-02
3.034638963067081363e+00 1.046430535256894778e+00 4.116950301159617159e-02 3.464217095307901839e-02 2.659098154634640873e-02 1.502913573135773728e-02 1.182730962600815269e-02 1.195783392500304396e-02
3.036769647201022604e+00 1.046386770827394619e+00 4.117684724718494865e-02 3.466303364117760688e-02 2.663025788358204179e-02 1.510239875304666621e-02 1.180905254617969219e-02 1.211509842846709636e-02
3.038901827333312600e+00 1.046343472417565756e+00 4.118402566843239188e-02 3.468272457705909306e-02 2.666763578285548733e-02 1.517468063628624707e-02 1.179224136751417205e-02 1.227035671420218486e-02
3.041035504514324028e+00 1.046300636268261863e+00 4.119103816753370145e-02 3.470125250479656059e-02 2.670312959046481152e-02 1.524598691452911867e-02 1.177686435976427019e-02 1.242362050965456315e-02
3.043170679795165867e+00 1.046258258620338388e+00 4.119788463668411227e-02 3.471862616846305150e-02 2.673675365270804238e-02 1.531632312122785736e-02 1.176290979268268186e-02 1.257490154227034612e-02
3.045307354227685170e+00 1.046216335714649670e+00 4.120456496807882452e-02 3.473485431213162167e-02 2.676852231588320100e-02 1.538569478983500653e-02 1.175036593602209710e-02 1.272421153949559493e-02
3.047445528864469733e+00 1.046174863792050269e+00 4.121107905391309389e-02 3.474994567987535476e-02 2.679844992628837089e-02 1.545410745380325704e-02 1.173922105953519729e-02 1.287156222877666040e-02
3.049585204758843204e+00 1.046133839093395634e+00 4.121742678638212753e-02 3.476390901576729975e-02 2.682655083022156620e-02 1.552156664658515574e-02 1.172946343297468115e-02 1.301696533755960714e-02
3.051726382964870865e+00 1.046093257859539438e+00 4.122360805768113950e-02 3.477675306388051946e-02 2.685283937398083229e-02 1.558807790163329980e-02 1.172108132609322832e-02 1.316043259329059342e-02
3.053869064537356959e+00 1.046053116331336907e+00 4.122962276000537857e-02 3.478848656828806285e-02 2.687732990386420412e-02 1.565364675240026385e-02 1.171406300864354100e-02 1.330197572341573591e-02
3.056013250531847358e+00 1.046013410749642825e+00 4.123547078555006573e-02 3.479911827306300665e-02 2.690003676616973399e-02 1.571827873233867107e-02 1.170839675037829881e-02 1.344160645538123450e-02
3.058158942004628233e+00 1.045974137355311084e+00 4.124115202651040812e-02 3.480865692227840674e-02 2.692097430719544646e-02 1.578197937490111863e-02 1.170407082105019182e-02 1.357933651663329605e-02
3.060306140012728271e+00 1.045935292389197357e+00 4.124666637508164757e-02 3.481711126000732598e-02 2.694015687323940769e-02 1.584475421354020544e-02 1.170107349041191007e-02 1.371517763461804068e-02
3.062454845613916898e+00 1.045896872092155538e+00 4.125201372345899120e-02 3.482449003032281332e-02 2.695759881059963878e-02 1.590660878170848877e-02 1.169939302821614360e-02 1.384914153678157463e-02
3.064605059866707393e+00 1.045858872705040632e+00 4.125719396383766696e-02 3.483080197729795241e-02 2.697331446557417814e-02 1.596754861285860916e-02 1.169901770421557900e-02 1.398123995057014290e-02
3.066756783830356436e+00 1.045821290468707421e+00 4.126220698841293055e-02 3.483605584500578528e-02 2.698731818446109196e-02 1.602757924044314469e-02 1.169993578816291326e-02 1.411148460342987257e-02
3.068910018564863229e+00 1.045784121624010465e+00 4.126705268937994747e-02 3.484026037751938171e-02 2.699962431355838743e-02 1.608670619791467346e-02 1.170213554981082774e-02 1.423988722280687506e-02
3.071064765130972152e+00 1.045747362411804326e+00 4.127173095893400812e-02 3.484342431891179065e-02 2.701024719916412728e-02 1.614493501872582559e-02 1.170560525891201596e-02 1.436645953614739193e-02
3.073221024590171879e+00 1.045711009072943565e+00 4.127624168927027798e-02 3.484555641325608188e-02 2.701920118757634992e-02 1.620227123632915836e-02 1.171033318521916278e-02 1.449121327089750166e-02
3.075378798004697156e+00 1.045675057848283185e+00 4.128058477258401970e-02 3.484666540462532519e-02 2.702650062509309031e-02 1.625872038417730189e-02 1.171630759848496343e-02 1.461416015450344406e-02
3.077538086437527909e+00 1.045639504978677747e+00 4.128476010107044042e-02 3.484676003709255565e-02 2.703215985801239035e-02 1.631428799572283775e-02 1.172351676846210278e-02 1.473531191441133752e-02
3.079698890952390133e+00 1.045604346704982035e+00 4.128876756692476807e-02 3.484584905473086386e-02 2.703619323263229540e-02 1.636897960441836136e-02 1.173194896490327259e-02 1.485468027806734377e-02
3.081861212613756784e+00 1.045569579268049942e+00 4.129260706234223754e-02 3.484394120161329877e-02 2.703861509525083695e-02 1.642280074371645082e-02 1.174159245756115598e-02 1.497227697291757947e-02
3.084025052486849550e+00 1.045535198908737362e+00 4.129627847951805597e-02 3.484104522181290936e-02 2.703943979216606730e-02 1.647575694706972932e-02 1.175243551618845167e-02 1.508811372640828444e-02
3.086190411637636188e+00 1.045501201867898189e+00 4.129978171064745823e-02 3.483716985940277927e-02 2.703868166967602835e-02 1.652785374793077147e-02 1.176446641053783930e-02 1.520220226598554408e-02
3.088357291132833637e+00 1.045467584386387649e+00 4.130311664792567228e-02 3.483232385845595747e-02 2.703635507407875158e-02 1.657909667975219700e-02 1.177767341036201759e-02 1.531455431909559128e-02
3.090525692039908012e+00 1.045434342705059194e+00 4.130628318354790524e-02 3.482651596304549291e-02 2.703247435167227194e-02 1.662949127598656318e-02 1.179204478541366619e-02 1.542518161318450452e-02
3.092695615427074607e+00 1.045401473064768938e+00 4.130928120970939893e-02 3.481975491724446925e-02 2.702705384875464523e-02 1.667904307008650708e-02 1.180756880544548380e-02 1.553409587569852361e-02
3.094867062363299226e+00 1.045368971706370553e+00 4.131211061860536743e-02 3.481204946512592852e-02 2.702010791162390985e-02 1.672775759550459290e-02 1.182423374021015008e-02 1.564130883408372877e-02
3.097040033918297741e+00 1.045336834870719267e+00 4.131477130243104562e-02 3.480340835076294742e-02 2.701165088657810076e-02 1.677564038569344038e-02 1.184202785946036549e-02 1.574683221578636327e-02
3.099214531162536979e+00 1.045305058798669418e+00 4.131726315338164063e-02 3.479384031822856799e-02 2.700169711991525986e-02 1.682269697410563453e-02 1.186093943294881138e-02 1.585067774825253337e-02
3.101390555167235608e+00 1.045273639731076010e+00 4.131958606365239428e-02 3.478335411159586693e-02 2.699026095793342905e-02 1.686893289419376038e-02 1.188095673042817435e-02 1.595285715892837825e-02
3.103568107004364585e+00 1.045242573908793604e+00 4.132173992543852065e-02 3.477195847493790709e-02 2.697735674693065369e-02 1.691435367941043072e-02 1.190206802165115485e-02 1.605338217526012384e-02
3.105747187746647153e+00 1.045211857572676761e+00 4.132372463093525461e-02 3.475966215232773743e-02 2.696299883320497220e-02 1.695896486320823751e-02 1.192426157637043772e-02 1.615226452469389201e-02
3.107927798467560176e+00 1.045181486963580042e+00 4.132554007233779636e-02 3.474647388783842772e-02 2.694720156305442302e-02 1.700277197903975190e-02 1.194752566433869914e-02 1.624951593467580807e-02
3.110109940241333693e+00 1.045151458322358229e+00 4.132718614184140160e-02 3.473240242554302692e-02 2.692997928277703762e-02 1.704578056035760403e-02 1.197184855530864650e-02 1.634514813265209449e-02
