# s     Q0     Q2     Q4     Q6     Q8     Q10     Q12
3.009187059999999914e+00 1.074639911086956223e+00 9.437508540179790489e-03 7.861348825334799409e-03 2.380842204699469924e-04 5.721099596509668372e-03 -8.626726570052376322e-03 7.993807095149012276e-03
3.011299873815032058e+00 1.074617661133636881e+00 9.481308965330809135e-03 7.794782973530266050e-03 2.871087985684902004e-04 5.859727868732453500e-03 -8.609380702247084946e-03 7.865557929675377064e-03
3.013414171081284731e+00 1.074595399292362252e+00 9.524277829653341951e-03 7.729592885062315510e-03 3.355223889810309695e-04 5.996413047009744972e-03 -8.592821761507071429e-03 7.739905224328204499e-03
3.015529952840320771e+00 1.074573125968832921e+00 9.566420089683296338e-03 7.665769677725866107e-03 3.833280942035136420e-04 6.131165408809076921e-03 -8.577043239740917563e-03 7.616829564596777624e-03
3.017647220134433095e+00 1.074550841568749249e+00 9.607740701956574494e-03 7.603304469315832689e-03 4.305290167318831019e-04 6.263995231597978275e-03 -8.562038628857198200e-03 7.496311535970378616e-03
3.019765974006647813e+00 1.074528546497812043e+00 9.648244623009123722e-03 7.542188377627070256e-03 4.771282590621289026e-04 6.394912792844107199e-03 -8.547801420764472580e-03 7.378331723938175157e-03
3.021886215500722450e+00 1.074506241161722109e+00 9.687936809376834074e-03 7.482412520454509268e-03 5.231289236901813999e-04 6.523928370014955326e-03 -8.534325107371320759e-03 7.262870713989480649e-03
3.024007945661148611e+00 1.074483925966179365e+00 9.726822217595652853e-03 7.423968015593008195e-03 5.685341131120292798e-04 6.651052240578174748e-03 -8.521603180586307183e-03 7.149909091613472316e-03
3.026131165533149314e+00 1.074461601316884840e+00 9.764905804201485726e-03 7.366845980837483619e-03 6.133469298236178058e-04 6.776294682001302201e-03 -8.509629132318006703e-03 7.039427442299426262e-03
3.028255876162682991e+00 1.074439267619538896e+00 9.802192525730236625e-03 7.311037533982844318e-03 6.575704763208925670e-04 6.899665971751870082e-03 -8.498396454474992437e-03 6.931406351536619458e-03
3.030382078596442597e+00 1.074416925279842561e+00 9.838687338717847647e-03 7.256533792823952229e-03 7.012078550998417613e-04 7.021176387297531352e-03 -8.487898638965828829e-03 6.825826404814229996e-03
3.032509773881854276e+00 1.074394574703495975e+00 9.874395199700217521e-03 7.203325875155736080e-03 7.442621686563969914e-04 7.140836206105780244e-03 -8.478129177699095936e-03 6.722668187621568675e-03
3.034638963067081363e+00 1.074372216296200166e+00 9.909321065213290078e-03 7.151404898773056941e-03 7.867365194865458050e-04 7.258655705644267986e-03 -8.469081562583354733e-03 6.621912285447810985e-03
3.036769647201022604e+00 1.074349850463655054e+00 9.943469891792964047e-03 7.100761981470825324e-03 8.286340100862337908e-04 7.374645163380531311e-03 -8.460749285527181807e-03 6.523539283782236499e-03
3.038901827333312600e+00 1.074327477611561665e+00 9.976846635975152033e-03 7.051388241043952607e-03 8.699577429514078388e-04 7.488814856782103485e-03 -8.453125838439152009e-03 6.427529768114114382e-03
3.041035504514324028e+00 1.074305098145620807e+00 1.000945625429579787e-02 7.003274795287304198e-03 9.107108205780537619e-04 7.601175063316635734e-03 -8.446204713227828051e-03 6.333864323932632268e-03
3.043170679795165867e+00 1.074282712471532841e+00 1.004130370329080549e-02 6.956412761995789742e-03 9.508963454621184499e-04 7.711736060451661323e-03 -8.439979401801786518e-03 6.242523536727063657e-03
3.045307354227685170e+00 1.074260320994997908e+00 1.007239393949607188e-02 6.910793258964328424e-03 9.905174200995365413e-04 7.820508125654688364e-03 -8.434443396069597060e-03 6.153487991986704604e-03
3.047445528864469733e+00 1.074237924121717258e+00 1.010273191944755997e-02 6.866407403987763967e-03 1.029577146986317918e-03 7.927501536393422726e-03 -8.429590187939829324e-03 6.066738275200690700e-03
3.049585204758843204e+00 1.074215522257391475e+00 1.013232259968116326e-02 6.823246314861017292e-03 1.068078628618396786e-03 8.032726570135375124e-03 -8.425413269321054693e-03 5.982254971858317998e-03
3.051726382964870865e+00 1.074193115807720256e+00 1.016117093673280306e-02 6.781301109378982429e-03 1.106024967491733802e-03 8.136193504348116987e-03 -8.421906132121846286e-03 5.900018667448831376e-03
3.053869064537356959e+00 1.074170705178405738e+00 1.018928188713839368e-02 6.740562905336569023e-03 1.143419266102276184e-03 8.237912616499188517e-03 -8.419062268250775485e-03 5.820009947461501736e-03
3.056013250531847358e+00 1.074148290775146952e+00 1.021666040743385642e-02 6.701022820528656360e-03 1.180264626945996083e-03 8.337894184056199309e-03 -8.416875169616408470e-03 5.742209397385545332e-03
3.058158942004628233e+00 1.074125873003645371e+00 1.024331145415511776e-02 6.662671972750126327e-03 1.216564152518864348e-03 8.436148484486746812e-03 -8.415338328127320092e-03 5.666597602710180155e-03
3.060306140012728271e+00 1.074103452269601799e+00 1.026923998383809551e-02 6.625501479795891172e-03 1.252320945316829498e-03 8.532685795258383374e-03 -8.414445235692081734e-03 5.593155148924677106e-03
3.062454845613916898e+00 1.074081028978715491e+00 1.029445095301869187e-02 6.589502459460855333e-03 1.287538107835839180e-03 8.627516393838643993e-03 -8.414189384219261311e-03 5.521862621518301012e-03
3.064605059866707393e+00 1.074058603536688361e+00 1.031894931823284373e-02 6.554666029539884219e-03 1.322218742571876606e-03 8.720650557695164284e-03 -8.414564265617433675e-03 5.452700605980249915e-03
3.066756783830356436e+00 1.074036176349220550e+00 1.034274003601646889e-02 6.520983307827895280e-03 1.356365952020890074e-03 8.812098564295491390e-03 -8.415563371795171943e-03 5.385649687799792112e-03
3.068910018564863229e+00 1.074013747822012865e+00 1.036582806290547130e-02 6.488445412119786884e-03 1.389982838678828318e-03 8.901870691107167249e-03 -8.417180194661038825e-03 5.320690452466188963e-03
3.071064765130972152e+00 1.073991318360765668e+00 1.038821835543578265e-02 6.457043460210432247e-03 1.423072505041672597e-03 8.989977215597820537e-03 -8.419408226123610908e-03 5.257803485468645448e-03
3.073221024590171879e+00 1.073968888371179098e+00 1.040991587014331032e-02 6.426768569894750552e-03 1.455638053605361887e-03 9.076428415234974109e-03 -8.422240958091457841e-03 5.196969372296443741e-03
3.075378798004697156e+00 1.073946458258954850e+00 1.043092556356399123e-02 6.397611858967614147e-03 1.487682586865875928e-03 9.161234567486253172e-03 -8.425671882473152741e-03 5.138168698438787957e-03
3.077538086437527909e+00 1.073924028429792621e+00 1.045125239223372929e-02 6.369564445223928340e-03 1.519209207319164538e-03 9.244405949819201398e-03 -8.429694491177265256e-03 5.081382049384942923e-03
3.079698890952390133e+00 1.073901599289393216e+00 1.047090131268845099e-02 6.342617446458588895e-03 1.550221017461188375e-03 9.325952839701400626e-03 -8.434302276112365035e-03 5.026590010624152650e-03
3.081861212613756784e+00 1.073879171243457220e+00 1.048987728146406027e-02 6.316761980466499386e-03 1.580721119787895524e-03 9.405885514600389324e-03 -8.439488729187025196e-03 4.973773167645675029e-03
3.084025052486849550e+00 1.073856744697685217e+00 1.050818525509649402e-02 6.291989165042534762e-03 1.610712616795266809e-03 9.484214251983797903e-03 -8.445247342309815386e-03 4.922912105938722846e-03
3.086190411637636188e+00 1.073834320057778458e+00 1.052583019012165964e-02 6.268290117981609004e-03 1.640198610979242072e-03 9.560949329319147483e-03 -8.451571607389303520e-03 4.873987410992568735e-03
3.088357291132833637e+00 1.073811897729436637e+00 1.054281704307548362e-02 6.245655957078602265e-03 1.669182204835801273e-03 9.636101024074065005e-03 -8.458455016334069654e-03 4.826979668296426350e-03
3.090525692039908012e+00 1.073789478118360119e+00 1.055915077049387162e-02 6.224077800128419852e-03 1.697666500860883386e-03 9.709679613716066388e-03 -8.465891061052676497e-03 4.781869463339570060e-03
3.092695615427074607e+00 1.073767061630250819e+00 1.057483632891276226e-02 6.203546764925946255e-03 1.725654601550467284e-03 9.781695375712783774e-03 -8.473873233453700637e-03 4.738637381611216122e-03
3.094867062363299226e+00 1.073744648670807544e+00 1.058987867486805255e-02 6.184053969266088517e-03 1.753149609400495197e-03 9.852158587531736553e-03 -8.482395025445704784e-03 4.697264008600634567e-03
3.097040033918297741e+00 1.073722239645732657e+00 1.060428276489567764e-02 6.165590530943728526e-03 1.780154626906944480e-03 9.921079526640546459e-03 -8.491449928937270727e-03 4.657729929797040785e-03
3.099214531162536979e+00 1.073699834960725408e+00 1.061805355553155535e-02 6.148147567753767251e-03 1.806672756565766034e-03 9.988468470506764105e-03 -8.501031435836964648e-03 4.620015730689693532e-03
3.101390555167235608e+00 1.073677435021487048e+00 1.063119600331158959e-02 6.131716197491105663e-03 1.832707100872910978e-03 1.005433569659794184e-02 -8.511133038053352723e-03 4.584101996767846361e-03
3.103568107004364585e+00 1.073655040233718605e+00 1.064371506477171381e-02 6.116287537950629988e-03 1.858260762324355584e-03 1.011869148238169966e-02 -8.521748227495015010e-03 4.549969313520721599e-03
3.105747187746647153e+00 1.073632651003119776e+00 1.065561569644784407e-02 6.101852706927238593e-03 1.883336843416051837e-03 1.018154610532558298e-02 -8.532870496070519423e-03 4.517598266437575401e-03
3.107927798467560176e+00 1.073610267735391144e+00 1.066690285487589297e-02 6.088402822215828979e-03 1.907938446643951290e-03 1.024290984289714934e-02 -8.544493335688430405e-03 4.486969441007656982e-03
3.110109940241333693e+00 1.073587890836233960e+00 1.067758149659178354e-02 6.075929001611287371e-03 1.932068674504029346e-03 1.030279297256400835e-02 -8.556610238257328013e-03 4.458063422720193875e-03
3.112293614142952247e+00 1.073565520711348364e+00 1.068765657813142839e-02 6.064422362908518209e-03 1.955730629492230185e-03 1.036120577179370020e-02 -8.569214695685778427e-03 4.430860797064446570e-03
3.114478821248155338e+00 1.073543157766434941e+00 1.069713305603075745e-02 6.053874023902408585e-03 1.978927414104529429e-03 1.041815851805383449e-02 -8.582300199882353028e-03 4.405342149529642599e-03
3.116665562633437414e+00 1.073520802407194497e+00 1.070601588682567988e-02 6.044275102387861205e-03 2.001662130836871258e-03 1.047366148881194448e-02 -8.595860242755621466e-03 4.381488065605039853e-03
3.118853839376049208e+00 1.073498455039327615e+00 1.071431002705211868e-02 6.035616716159766630e-03 2.023937882185223702e-03 1.052772496153563109e-02 -8.609888316214158593e-03 4.359279130779875402e-03
3.121043652553997738e+00 1.073476116068534658e+00 1.072202043324599514e-02 6.027889983013017157e-03 2.045757770645552191e-03 1.058035921369247442e-02 -8.624377912166535792e-03 4.338695930543386321e-03
3.123235003246046304e+00 1.073453785900516433e+00 1.072915206194322360e-02 6.021086020742508552e-03 2.067124898713810447e-03 1.063157452275003204e-02 -8.639322522521324446e-03 4.319719050384822692e-03
3.125427892531715823e+00 1.073431464940973301e+00 1.073570986967972013e-02 6.015195947143139182e-03 2.088042368885950455e-03 1.068138116617587015e-02 -8.654715639187085530e-03 4.302329075793433731e-03
3.127622321491286161e+00 1.073409153595606291e+00 1.074169881299141122e-02 6.010210880009803081e-03 2.108513283657947185e-03 1.072978942143758968e-02 -8.670550754072406038e-03 4.286506592258452174e-03
3.129818291205794356e+00 1.073386852270115543e+00 1.074712384841420947e-02 6.006121937137393410e-03 2.128540745525751322e-03 1.077680956600273951e-02 -8.686821359085846947e-03 4.272232185269128971e-03
3.132015802757036838e+00 1.073364561370202086e+00 1.075198993248403269e-02 6.002920236320807672e-03 2.148127856985317888e-03 1.082245187733889280e-02 -8.703520946135976169e-03 4.259486440314706399e-03
3.134214857227570317e+00 1.073342281301565615e+00 1.075630202173680564e-02 6.000596895354934693e-03 2.167277720532619252e-03 1.086672663291364353e-02 -8.720643007131373761e-03 4.248249942884426734e-03
3.136415455700710453e+00 1.073320012469907603e+00 1.076006507270843744e-02 5.999143032034678046e-03 2.185993438663602195e-03 1.090964411019453885e-02 -8.738181033980604168e-03 4.238503278467536592e-03
3.138617599260534519e+00 1.073297755280928634e+00 1.076328404193485980e-02 5.998549764154924822e-03 2.204278113874238217e-03 1.095121458664917967e-02 -8.756128518592245710e-03 4.230227032553273044e-03
3.140821288991880511e+00 1.073275510140329070e+00 1.076596388595198184e-02 5.998808209510574259e-03 2.222134848660481908e-03 1.099144833974512875e-02 -8.774478952874862833e-03 4.223401790630885305e-03
3.143026525980347596e+00 1.073253277453809051e+00 1.076810956129572311e-02 5.999909485896519519e-03 2.239566745518287855e-03 1.103035564694994017e-02 -8.793225828737025185e-03 4.218008138189617388e-03
3.145233311312298330e+00 1.073231057627069385e+00 1.076972602450200663e-02 6.001844711107655501e-03 2.256576906943625390e-03 1.106794678573122005e-02 -8.812362638087309352e-03 4.214026660718708968e-03
3.147441646074856880e+00 1.073208851065811320e+00 1.077081823210674499e-02 6.004605002938877972e-03 2.273168435432444331e-03 1.110423203355651728e-02 -8.831882872834281514e-03 4.211437943707406657e-03
3.149651531355911693e+00 1.073186658175734998e+00 1.077139114064586296e-02 6.008181479185081830e-03 2.289344433480715313e-03 1.113922166789342409e-02 -8.851780024886519993e-03 4.210222572644952733e-03
3.151862968244114604e+00 1.073164479362540558e+00 1.077144970665527661e-02 6.012565257641161107e-03 2.305108003584391621e-03 1.117292596620950151e-02 -8.872047586152590967e-03 4.210361133020592075e-03
3.154075957828880838e+00 1.073142315031929250e+00 1.077099888667090374e-02 6.017747456102009833e-03 2.320462248239428711e-03 1.120535520597231924e-02 -8.892679048541058881e-03 4.211834210323566093e-03
3.156290501200392562e+00 1.073120165589601660e+00 1.077004363722866044e-02 6.023719192362525510e-03 2.335410269941797217e-03 1.123651966464946778e-02 -8.913667903960508995e-03 4.214622390043121399e-03
3.158506599449595775e+00 1.073098031441257927e+00 1.076858891486447145e-02 6.030471584217600434e-03 2.349955171187446089e-03 1.126642961970849947e-02 -8.935007644319498815e-03 4.218706257668499403e-03
3.160724253668202977e+00 1.073075912992599079e+00 1.076663967611425458e-02 6.037995749462132106e-03 2.364100054472345093e-03 1.129509534861701178e-02 -8.956691761526610132e-03 4.224066398688944984e-03
3.162943464948693606e+00 1.073053810649325035e+00 1.076420087751392071e-02 6.046282805891011955e-03 2.377848022292447950e-03 1.132252712884256399e-02 -8.978713747490409125e-03 4.230683398593701287e-03
3.165164234384312714e+00 1.073031724817137267e+00 1.076127747559940152e-02 6.055323871299136615e-03 2.391202177143711850e-03 1.134873523785272231e-02 -9.001067094119460238e-03 4.238537842872008854e-03
3.167386563069074956e+00 1.073009655901735693e+00 1.075787442690660095e-02 6.065110063481401852e-03 2.404165621522103957e-03 1.137372995311507901e-02 -9.023745293322350466e-03 4.247610317013116032e-03
3.169610452097761488e+00 1.072987604308820897e+00 1.075399668797144548e-02 6.075632500232700829e-03 2.416741457923579292e-03 1.139752155209718988e-02 -9.046741837007635581e-03 4.257881406506266835e-03
3.171835902565922627e+00 1.072965570444094352e+00 1.074964921532986159e-02 6.086882299347929313e-03 2.428932788844096347e-03 1.142012031226664545e-02 -9.070050217083895638e-03 4.269331696840697465e-03
3.174062915569878740e+00 1.072943554713255310e+00 1.074483696551775322e-02 6.098850578621983071e-03 2.440742716779619684e-03 1.144153651109100500e-02 -9.093663925459696817e-03 4.281941773505661478e-03
3.176291492206718914e+00 1.072921557522005243e+00 1.073956489507104685e-02 6.111528455849753530e-03 2.452174344226103024e-03 1.146178042603784517e-02 -9.117576454043608766e-03 4.295692221990392475e-03
